plan_row_id,내용,넘긴곳(t51),판정,정정대상시스템,근거,근거 요지
STD-FIN-020,"가상계좌 정산한도 1,000만 원 초과 시 처리 방안",외부(토스),불필요,-,t48/shopby-decisions.md:26,화면·기능 없는 외부 회신 대기 안건(보충 4) — 토스 정산한도는 BLK-S3-7 「정산한도·환불계좌 절차」로 이미 선행 입력에 실재
STD-FIN-021,적립금·증빙 데이터의 MS·이카운트 연동 방식,외부,불필요,-,t48/huni-mall-decisions.md:5,「연동 방식」 결정 안건(보충 4 명시 제외 대상) · MES 이카운트 매출전송(t50/screens.csv:71)은 [오픈분모밖] 기존 자산으로 별도 실재
STD-SYS-001,관리자 계정 등록·관리,webadmin,라우팅 대상 오류,webadmin,t49/screens.csv:210,auth_user_admin 관리자 계정 등록·비밀번호·권한 관리(build/완료·plan_row_id=NEW) — NEW→STD-SYS-001 재연결
STD-SYS-002,역할 기반 세분 권한 제어,webadmin,라우팅 대상 오류,webadmin,t49/screens.csv:210,같은 행이 「그룹·개별 permission」을 담당 · MES 측 짝 t50/screens.csv:2~6(권한그룹·메뉴권한 5행)
STD-SYS-003,관리자 작업 감사로그,webadmin,빠진 일,webadmin,t52/ledger-index.txt,원장 747행에 관리자 감사로그 행 0(grep 「감사」 = pitstop PS-20·pagebuilder 백업 2건뿐)
STD-SYS-010,원고 저장소(스토리지) 연동,widget·webadmin,라우팅 대상 오류,webadmin,t49/screens.csv:224,wapi_presign 원고 단일 업로드 presign(STD-ART-001·integrate/완료) + rt_upload(t49/screens.csv:247·248) + comp_file(t49/screens.csv:265) — 원고 S3 저장소 배선 실재
STD-SYS-011,디자인 에디터 외부 서비스 연동,edicus,라우팅 대상 오류,edicus,t50/screens.csv:90,edicus 레인 23행(t50/screens.csv:90~112 EDI-01~23)이 편집기 외부 서비스 연동 일체
STD-SYS-025,[구IA#44] 관리자 등록/관리,webadmin,라우팅 대상 오류,webadmin,t49/screens.csv:210,STD-SYS-001 과 같은 행 — [구IA#44] 관리자 등록/관리의 구IA 표기
STD-SYS-028,webadmin 영역 분리(쇼핑몰 관리자 영역 / DB·생산 영역),webadmin,불필요,-,t48/huni-mall-decisions.md:5,화면 없는 구조·작업범위 결정 안건(보충 4) — webadmin-decisions.md 로 이관 대상
STD-MFG-022,주문 상태머신(REGISTERED/PROMOTING/PROMOTED/HOLD/PAID/FILE_CHECK/FILE_HOLD/MES_SENT/IN_PRODUCTION/PRODUCED/SHIPPED/DONE/CANCELED),webadmin,빠진 일,webadmin,t49/screens.csv:199,13상태 상태머신 정의 행 0(shopby_webhook STD-PAY-031 은 수신구 · PS-25 t50/screens.csv:132 STD-MFG-057 은 한 상태 유지 규칙)
STD-MFG-023,상태 단위=주문상품옵션(orderProductOptionNo)·주문 단위는 롤업,webadmin,빠진 일,webadmin,t49/screens.csv:208,wapi_order_register 는 주문번호 단위 저장 — orderProductOptionNo 단위 상태·롤업 행 0
STD-MFG-024,3시스템 매핑 테이블(handoff_id·orderNo+orderProductOptionNo·MES 작업번호),webadmin,빠진 일,webadmin,t50/screens.csv:85,MES-ITF-Shopby-04 는 상품 매핑 — handoff_id×orderNo+옵션번호×MES 작업번호 3시스템 매핑 행 0
STD-MFG-025,FR-1 MES 주문 상태 변경 통보 수신(접수완료/생산대기/생산중/생산완료),mes,빠진 일,mes,t48/screens.csv:66,FR-3(STD-MFG-031)·FR-5(t48/screens.csv:67)·FR-6(t50/screens.csv:128)·FR-7(t48/screens.csv:54)은 실재 — FR-1 수신 행만 0
STD-MFG-026,접수완료 시 취소 잠금 원자적 전환(cancelable CAS),webadmin,빠진 일,webadmin,t48/screens.csv:52,샵바이 측 짝 TO-2 취소 창구 닫기(STD-MFG-027)만 실재 — webadmin 측 cancelable CAS 행 0
STD-MFG-028,FR-2 MES 송장번호 등록 수신,mes,빠진 일,mes,t48/screens.csv:53,샵바이 측 짝 TO-3 배송처리(STD-MFG-029)·송장번호 등록(t48/screens.csv:59 STD-SHP-012)만 실재 — FR-2 수신 행 0
STD-MFG-033,생산 시작 후 도착한 취소는 자동 처리하지 않고 담당자 에스컬레이션,webadmin,빠진 일,webadmin,t48/screens.csv:64,SB-CLAIM 판매자 클레임 승인·거부(STD-CLM-013)는 샵바이 화면 — 생산 착수 후 에스컬레이션 분기 행 0
STD-MFG-035,MES 화면 신규 버튼(취소·재업로드 요청·취소요청 승인거부)+사유 입력,mes,빠진 일,mes,t52/ledger-index.txt,t50 mes 88행에 취소·재업로드요청·승인거부 버튼 화면 0 — 상대측 회신 대기 중이나 행 자체는 필요
STD-MFG-106,1차포장 처리,mes,빠진 일,mes,t50/screens.csv:12,MES-DLV-FrmDelivery 출고 처리(패킹·송장 STD-MFG-111)만 실재 — 1차포장 처리 행 0
STD-MFG-107,박스포장 처리(실사·대형 상품군),mes,빠진 일,mes,t50/screens.csv:12,박스포장(실사·대형) 처리 행 0
STD-MFG-108,제작번호별 바코드 입력→포장완료 상태변경,mes,빠진 일,mes,t50/screens.csv:12,제작번호 바코드 입력→포장완료 상태변경 행 0
STD-MFG-109,전 상품 포장완료 시 제작완료 자동 전환,mes,빠진 일,mes,t50/screens.csv:12,전 상품 포장완료 시 제작완료 자동 전환 행 0
STD-MFG-112,납품명세서 출력(퀵),mes,빠진 일,mes,t50/screens.csv:13,송장 출력(RptHJInvoiceFS·STD-MFG-111)만 실재 — 납품명세서(퀵) 출력 행 0
STD-MFG-113,출고명세서 출력(직접방문),mes,빠진 일,mes,t50/screens.csv:13,출고명세서(직접방문) 출력 행 0
STD-MFG-115,합배송 리스트 식별,mes,빠진 일,mes,t50/screens.csv:16,MES-DLV-FrmDeliveryReadyList 출고대기 목록(STD-MFG-116)은 분모 — 합배송 식별 행 0(재사용 후보)
STD-MFG-117,재고상품(상품 액세서리) 관리,mes,빠진 일,mes,t50/screens.csv:38,MES-PRD-FrmMaterial 자재 관리(재고관리여부·적정재고수량)는 생산자재 — 판매 액세서리 재고상품 행 0(재사용 후보)
STD-MFG-118,제작완료 썸네일 확인 화면,mes,빠진 일,mes,t50/screens.csv:73,MES-ITF-DesignFile-ThumbnailCreate(STD-MFG-061)는 생성측 — 제작완료 썸네일 확인 화면 행 0
STD-MFG-119,일부 재제작+재배송 지시(MES 주문복사),mes,빠진 일,mes,t52/ledger-index.txt,t50 mes 88행에 주문복사·재제작 지시 행 0 · 상위 정책은 STD-CLM-015(t48/huni-mall-decisions.md:11) 미결
STD-MFG-120,전체 재제작+재배송 지시,mes,빠진 일,mes,t52/ledger-index.txt,전체 재제작+재배송 지시 행 0
STD-MFG-121,반송 접수·반송여부 체크,mes,빠진 일,mes,t52/ledger-index.txt,원장 747행 「반송」 0건(grep 실측)
STD-MFG-122,주문 내 정산 메모필드(반송비·재제작 비용 부담),mes,빠진 일,mes,t48/screens.csv:54,FR-7 주문 메모→샵바이 업무메시지(STD-MFG-034)는 커머스축 — MES 주문 내 정산 메모필드 행 0
STD-MFG-125,파일 오류 재업로드 요청 알림톡 발송(자동·담당자 발),webadmin,라우팅 대상 오류,pitstop,t50/screens.csv:129,PS-22 치명 오류 자동 재업로드 요청(알림톡+링크·STD-MFG-054) + PS-30 담당자 발 알림톡 발송(t50/screens.csv:135 STD-MFG-049) — 자동·담당자 발 양쪽 실재
STD-MFG-126,재업로드 접수 확인 알림,webadmin,빠진 일,pitstop,t50/screens.csv:131,PS-24 재업로드 시 회차 증가+자동 재검사(STD-MFG-056)만 실재 — 고객 접수 확인 알림 행 0
STD-MFG-127,편집상품 수정요청 알림(주문번호·편집번호·안내),webadmin,라우팅 대상 오류,edicus,t50/screens.csv:104,EDI-16 편집기 상품 수정요청·수정완료 왕복(STD-MFG-064·manual/미착수)
STD-MFG-128,알림톡 템플릿 사전 심사·승인 관리,webadmin,라우팅 대상 오류,shopby,t48/screens.csv:46,SB-NOTIFY 알림톡 사용여부+템플릿 검수(STD-SYS-035) + 알림 템플릿 설정(t48/screens.csv:42 STD-SYS-006)
STD-MFG-129,알림톡 발송 실패 시 SMS/LMS 자동 대체,webadmin,빠진 일,webadmin,t48/screens.csv:42,SB-NOTIFY 11행에 발송 실패 시 SMS/LMS 자동 대체 행 0
BLK-S2-1,[선행 입력] Railway 운영 변수 4종 설정 여부(값 아님) — `WAPI_SERVER_KEY_REQUIRED`·`SHOPBY_WEBHOOK_SECRET`·`SHOPBY_SYSTEM_KEY`·`SHOPBY_ACCESS_TOKEN`,webadmin,불필요,-,t48/shopby-decisions.md:22,「[선행 입력]」 계열은 t48 이 이미 decisions.md 로 분류한 형식(BLK-S2-2 등) — 화면·기능 없는 선행 입력 확인 안건(보충 4)
