gap_uid,card,process_ref,process_name,L1_대분류,종류,종류설명,내용,제안담당,담당_근거,선행,관련_row_id,root_cause_id,root_cause,걸린낱말
GX-t62-037,t62,P15,내 문의 조회(상품Q&A·1:1),마이페이지,가,가 — 원장에 행 없음,문의 답변 등록 시 고객 알림(메일·알림톡) 발송이 원장에 행으로 없다.,최숙진,,알림 채널 확정(P22),G-t62-037,RC-09,알림 채널 결정·카카오 심사(리드타임이 우리 통제 밖),알림톡
GX-t62-038,t62,P16,증빙서류 발급(세금계산서·현금영수증),마이페이지,다,다 — 코드는 있는데 연결 안 됨,`/mypage/document` 는 구 화면(`fe_source mypage.jsx`)을 1:1 로 옮긴 정적 화면이다 — 탭·표·안내문만 있고 데이터 호출이 없다(`document-section.tsx`).,김동학,,발행 방식 결정(`STD-MYP-039`),G-t62-038,RC-14,증빙·세무 규칙 미확정(세금계산서·현금영수증),증빙
GX-t62-039,t62,P16,증빙서류 발급(세금계산서·현금영수증),마이페이지,라,라 — 결정 미정,프린트머니 증빙 발행 시점(충전 시 vs 사용 시)이 세무 확인 전이라 미정이고 담당도 `미정` 이다.,신우진,,P10 원장 소유 결정,G-t62-039,RC-01,프린팅머니 원장 소유 미결(A 샵바이 적립금 vs B′ 후니 원장+외부포인트),프린트머니
GX-t62-040,t62,P16,증빙서류 발급(세금계산서·현금영수증),마이페이지,라,라 — 결정 미정,"세금계산서 API 자동 발행 여부가 미결이다 — 수동이면 운영 화면이, 자동이면 외부 API 계약이 필요하다.",최숙진·신우진,,세무 확인,G-t62-040,RC-14,증빙·세무 규칙 미확정(세금계산서·현금영수증),세금계산서
GX-t62-041,t62,P16,증빙서류 발급(세금계산서·현금영수증),마이페이지,나,나 — 행은 있는데 코드 0,사업자정보 등록·목록(`STD-MYP-020`·`021`)의 저장처를 찾지 못했다 — 샵바이 `/companies/business-exist` 는 존재 확인용이라 저장 그릇이 아니다.,김동학,,발행 방식 결정,G-t62-041,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-042,t62,P17,배송지 주소록 관리,마이페이지,라,라 — 결정 미정,"주소록 최대 저장 개수·""최근 배송지"" 노출 규칙이 정해져 있지 않다.",최숙진,,없음,G-t62-042,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t62-043,t62,P18,마이페이지 정보구조 정비,마이페이지,라,라 — 결정 미정,같은 몰에 `/mypage/point`(샵바이 적립금 실연동)와 `/mypage/money`(UI 전용 정적)가 동시에 있다 — 고객에게 잔액이 둘로 보인다. 노출 메뉴·명칭이 미확정.,최숙진·지니,,P10 원장 소유 결정,G-t62-043,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-044,t62,P18,마이페이지 정보구조 정비,마이페이지,라,라 — 결정 미정,프린트머니 화면의 피그마가 없어 디자인 기준이 없다.,최숙진,,명칭·범위 확정,G-t62-044,RC-01,프린팅머니 원장 소유 미결(A 샵바이 적립금 vs B′ 후니 원장+외부포인트),프린트머니
GX-t62-045,t62,P19,쿠폰 기획·발행·소진(운영자),프로모션,나,나 — 행은 있는데 코드 0,자동발행 4종(신규·리뷰·재구매·등급) 모두 발행 트리거의 설정 지점·호출 지점을 찾지 못했다. 샵바이 server API `/coupons/issues` 는 있다.,최숙진,,쿠폰 정책(금액·조건) 확정,G-t62-045,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-046,t62,P19,쿠폰 기획·발행·소진(운영자),프로모션,라,라 — 결정 미정,쿠폰 종류·할인 폭·유효기간 같은 실제 프로모션 정책을 원장 131행과 t61 결정 문서에서 찾지 못했다 — 기능 행만 있고 내용이 비어 있다.,지니·최숙진,,없음,G-t62-046,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t62-047,t62,P19,쿠폰 기획·발행·소진(운영자),프로모션,나,나 — 행은 있는데 코드 0,구IA 3행(`STD-PRM-018`~`020`)은 `미실측` 이다 — 셀러어드민의 어느 화면이 대응하는지 대조하지 못했다.,최숙진,,셀러어드민 접근,G-t62-047,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,셀러어드민
GX-t62-048,t62,P20,기획전·배너 운영,프로모션,나,나 — 행은 있는데 코드 0,"기획전 페이지 라우트를 huni-mall 에서 찾지 못했다 — `mega-menu.tsx` 에 ""기획전"" 문구만 있다. 샵바이 display `/events`·`/banners` 는 있다.",김동학,,기획전 IA·디자인,G-t62-048,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-049,t62,P20,기획전·배너 운영,프로모션,라,라 — 결정 미정,런칭 시 기획전을 쓸지 자체가 결정되지 않았다(1차 범위 여부).,신우진·지니,,없음,G-t62-049,RC-21,1차 런칭 범위·오픈 일정 미확정(무엇을 빼는가가 먼저다),1차 범위
GX-t62-050,t62,P21,체험단 모집·운영,프로모션,나,나 — 행은 있는데 코드 0,"고객 화면·운영자 화면·저장 그릇 모두 찾지 못했다. 샵바이 명세 20개 yml 전수 검색에서 ""체험단""·""서포터즈"" 0건이라 대응 API 도 찾지 못했다 — 게시판(`/boards`)을 빌려 쓰거나 직접 만들어야 한다.",김동학,,1차 런칭 포함 여부 결정,G-t62-050,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-051,t62,P21,체험단 모집·운영,프로모션,라,라 — 결정 미정,1차 런칭 범위인지 미결이다. 구 사이트 기능(구IA#71)을 그대로 옮길지 결정이 없다.,신우진·지니,,없음,G-t62-051,RC-10,구 사이트 회원·잔액 이관과 컷오버 동결 창,구 사이트
GX-t62-052,t62,P22,마케팅 발송·수신동의 관리,프로모션,다,다 — 코드는 있는데 연결 안 됨,"`STD-PRM-014` 는 `작동` 판정이지만, 가입 폼이 수집한 `mkt.sms`·`mkt.email` 이 가입 요청에 실리지 않는다(`signup-form.tsx:51,135`·`api/auth/signup/route.ts` 본문 필드 5개). 가입 시점 동의가 저장되지 않는다.",김동학,,없음,G-t62-052,RC-09,알림 채널 결정·카카오 심사(리드타임이 우리 통제 밖),수신동의
GX-t62-053,t62,P22,마케팅 발송·수신동의 관리,프로모션,나,나 — 행은 있는데 코드 0,알림톡·뉴스레터 발송의 운영 화면·호출 지점을 찾지 못했다. 샵바이 manage `/kakao/send` 는 있다.,최숙진,,발송 채널 계약,G-t62-053,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-054,t62,P22,마케팅 발송·수신동의 관리,프로모션,라,라 — 결정 미정,`STD-PRM-015` 는 IA 원본(`후니프린팅_IA.xlsx` r59)의 기능명이 공란이라 무슨 일인지조차 미상이다. 실측 전 배정 불가.,신우진,,IA 원본 재확인,G-t62-054,RC-09,알림 채널 결정·카카오 심사(리드타임이 우리 통제 밖),수신동의
GX-t62-055,t62,P23,거래처(기업회원) 등록·관리,B2B,나,나 — 행은 있는데 코드 0,"샵바이 명세 20개 yml 전수에서 ""거래처""·""기업회원"" 0건 — 대응 API 를 찾지 못했다(`/partners` 는 입점사라 뜻이 다르다). webadmin 저장소 전수에서도 ""거래처""·""여신""·""미수금"" 0건이라 그릇을 찾지 못했다.",신우진,,시스템 경계 결정,G-t62-055,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-056,t62,P23,거래처(기업회원) 등록·관리,B2B,라,라 — 결정 미정,"거래처를 샵바이 회원그룹(`/member-groups`)으로 흉내 낼지, webadmin 에 원장을 만들지가 미결이다.",신우진·지니,,없음,G-t62-056,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-057,t62,P23,거래처(기업회원) 등록·관리,B2B,가,가 — 원장에 행 없음,거래처 소속 담당자의 권한 구분(대표 vs 실무자·주문 승인권)이 원장에 행으로 없다.,신우진,,거래처 시스템 결정,G-t62-057,RC-18,회원·인증·권한 정책 미확정,권한
GX-t62-058,t62,P24,거래처 단가·대량견적,B2B,나,나 — 행은 있는데 코드 0,"webadmin 저장소 전수에서 ""거래처"" 0건 — 거래처별 단가를 받을 축을 가격엔진(`use_dims`·단가행)에서 찾지 못했다. 그릇 신설이 필요하다.",서희항,,P23 거래처 시스템 결정,G-t62-058,RC-17,옵션·제약·위젯 배선(가격 축),use_dims
GX-t62-059,t62,P24,거래처 단가·대량견적,B2B,나,나 — 행은 있는데 코드 0,대량견적 요청 폼·견적서 양식 모두 코드를 찾지 못했다.,김동학·최숙진,,없음,G-t62-059,RC-20,B2B 거래처·후불 여신 범위 미확정,대량견적
GX-t62-060,t62,P24,거래처 단가·대량견적,B2B,라,라 — 결정 미정,"거래처 할인을 단가로 줄지 쿠폰/할인율로 줄지 미결이다 — 전자는 가격엔진, 후자는 샵바이 프로모션으로 시스템이 갈린다.",지니·신우진,,없음,G-t62-060,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-061,t62,P25,후불 주문·여신 관리,B2B,라,라 — 결정 미정,t56 판정이 `미정` 이다 — 범위·시스템 경계가 확정되지 않았다(t61 결정 안건에도 같은 내용이 올라 있다).,신우진·지니,,P23 거래처 시스템 결정,G-t62-061,RC-20,B2B 거래처·후불 여신 범위 미확정,거래처
GX-t62-062,t62,P25,후불 주문·여신 관리,B2B,나,나 — 행은 있는데 코드 0,"샵바이 명세 전수에서 ""후불""은 `order-server-public.yml:5393,6368` 의 네이버페이 후불결제 금액 필드뿐이다 — B2B 여신 후불 결제 타입을 찾지 못했다. 후불을 쓰려면 0원 주문 + 외부 원장이 필요하다.",서희항·김동학,,여신 시스템 결정,G-t62-062,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-063,t62,P26,B2B 정산·거래처 원장,B2B,라,라 — 결정 미정,"`STD-B2B-008`·`009` 는 t56 판정이 `미정` 이다 — 원장을 어느 시스템에 둘지, `.txt` 를 받는 외부 시스템이 무엇인지 확정되지 않았다.",신우진·지니,,P23 거래처 시스템 결정,G-t62-063,RC-20,B2B 거래처·후불 여신 범위 미확정,B2B
GX-t62-064,t62,P26,B2B 정산·거래처 원장,B2B,나,나 — 행은 있는데 코드 0,청구서·미수금을 다룰 API·화면·테이블을 샵바이·webadmin 어디에서도 찾지 못했다.,서희항,,원장 시스템 결정,G-t62-064,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-065,t62,P26,B2B 정산·거래처 원장,B2B,가,가 — 원장에 행 없음,"오프라인 거래 입력 경로(운영자가 수기로 넣는 화면)가 원장에 행으로 없다 — ""온·오프라인 통합""이 성립하려면 필요하다.",신우진,,원장 시스템 결정,G-t62-065,RC-20,B2B 거래처·후불 여신 범위 미확정,B2B
GX-t62-066,t62,P27,회원 운영(조회·탈퇴회원),운영자·회원CS,나,나 — 행은 있는데 코드 0,"구IA#73(`STD-ADC-017`)은 `미실측` 이다 — 셀러어드민 회원 상세가 구 사이트의 ""주문내역/정보확인""을 대체하는지 대조하지 못했다.",최숙진,,셀러어드민 접근,G-t62-066,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,셀러어드민
GX-t62-067,t62,P27,회원 운영(조회·탈퇴회원),운영자·회원CS,라,라 — 결정 미정,운영자 계정 권한 분리(회원 개인정보 열람 권한)가 원장에 없고 결정도 없다 — 개인정보 취급 범위 문제다.,신우진·최숙진,,없음,G-t62-067,RC-18,회원·인증·권한 정책 미확정,권한
GX-t62-068,t62,P28,게시판·문의 응대 운영,운영자·회원CS,나,나 — 행은 있는데 코드 0,"운영자 쪽은 셀러어드민이 받지만, 고객 쪽 화면이 huni-mall 에 `/notice` 하나뿐이다 — FAQ·상품Q&A·1:1문의 화면을 찾지 못했다.",김동학,,게시판 번호(boardNo) 확정,G-t62-068,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,셀러어드민
GX-t62-069,t62,P28,게시판·문의 응대 운영,운영자·회원CS,나,나 — 행은 있는데 코드 0,대량견적·기업상담·디자인상담 접수 폼과 관리 화면을 찾지 못했다(`STD-ADC-012` 미착수).,김동학·최숙진,,P24 대량견적 설계,G-t62-069,RC-19,게시판·문의·리뷰 응대 운영,게시판
GX-t62-070,t62,P28,게시판·문의 응대 운영,운영자·회원CS,라,라 — 결정 미정,상담 3종을 게시판으로 받을지 1:1 문의 유형으로 받을지 미결이다.,최숙진·신우진,,없음,G-t62-070,RC-19,게시판·문의·리뷰 응대 운영,게시판
GX-t62-071,t62,P29,인쇄 가이드 콘텐츠 운영,운영자·회원CS,다,다 — 코드는 있는데 연결 안 됨,"webadmin 에 업로드·측정·저장·삭제가 모두 있으나(`catalog/guide_views.py`), 이것이 huni-mall `/guide` 화면과 실제로 이어져 있는지 확인하지 못했다 — 판정도 `구현-미검증` 이다.",서희항 + 최숙진,,없음,G-t62-071,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),확인하지 못했
GX-t63-001,t63,P01,카테고리로 상품 찾기,상품·카탈로그,가,가 — 원장에 행 없음,카테고리 트리 ↔ webadmin 상품군의 매핑 규약 — 몰 카테고리와 webadmin 상품군을 무엇으로 잇는지 규약이 원장에 없다,김동학+서희항,,원장 735행에 행을 새로 섞지 않는다 — 이 제안으로만 남긴다,,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-002,t63,P01,카테고리로 상품 찾기,상품·카탈로그,다,다 — 코드는 있는데 연결 안 됨,카테고리별 상품 리스팅(정렬·페이징) — 서버가 shopby 카탈로그를 정렬순으로 내려주고 shop-list.tsx 가 정렬(신상품-리뷰순-인기순)-페이지네이션(PER=8)을 클라이언트에서 처리. 부분=정렬 옵션이 3종뿐.,김동학,,코드는 있는데 원장 상태가 「부분」다,STD-CAT-002,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,shopby
