mat_cd,mat_nm,mat_typ_cd,mat_typ_nm,wire,disposition,canonical_mat_cd,근거,돈영향
MAT_000154,유포지,MAT_TYPE.11,스티커용지,2,BLOCKED-CONFIRM,,"낱장/대형 자유형 스티커 소재. upr_mat_cd=MAT_000152(유포·삭제). 활성 .11에 유포스티커(153) 등 존재하나 ''유포지''와 의미축 동일 단정 불가 → CONFIRM. COMP_STK_PRINT가 mat_cd 차원이나 154 단가행 0=현재 가격 미도달",0원(단가행0)
MAT_000262,무광 75mm,MAT_TYPE.12,사입자재,2,BLOCKED-CONFIRM,,"틴거울/컴팩트거울 사입 본체(USAGE.07). 명칭=사이즈 라벨(75mm)·실물 사입자재. 활성 정본 동일명 부재 → REVIVE 후보이나 명칭이 사이즈옵션성 → CONFIRM",0원(단가행0)
MAT_000270,워터북보틀 500ml,MAT_TYPE.12,사입자재,1,REWIRE,MAT_000343,"동일명 활성 정본 MAT_000343(워터북보틀 500ml) 존재. 워터북보틀 상품 본체. 양쪽 단가행 0 → 청구 불변. (정본 MAT_000269 워터북보틀도 활성)",0원(양쪽 단가행0)
MAT_000255,화이트,MAT_TYPE.08,실사소재,5,BLOCKED-CONFIRM,,"시트커팅/아크릴스티커/머그/매트의 색=옵션값(실사소재 색 라벨). 활성 .08 정본은 인화지/PVC 등 실소재로 색 아님 → 색은 옵션화(W2) 대상. MAT_TYPE.09 라벨군과 동일 성격",0원(단가행0)
MAT_000256,블랙,MAT_TYPE.08,실사소재,6,BLOCKED-CONFIRM,,"색 옵션값. 255와 동일",0원(단가행0)
MAT_000257,홀로그램,MAT_TYPE.08,실사소재,1,BLOCKED-CONFIRM,,"색/효과 옵션값. 255와 동일",0원(단가행0)
MAT_000258,골드,MAT_TYPE.08,실사소재,1,BLOCKED-CONFIRM,,"미러아크릴 색 옵션값. 255와 동일",0원(단가행0)
MAT_000259,실버,MAT_TYPE.08,실사소재,1,BLOCKED-CONFIRM,,"미러아크릴 색 옵션값. 255와 동일",0원(단가행0)
MAT_000069,양면테입,MAT_TYPE.07,포장부자재,1,BLOCKED-CONFIRM,,"일반현수막 추가물(dflt_yn=N). 활성 .07에 동일명 ''양면테입'' 부재. 현수막 마감 추가옵션 → REVIVE vs 옵션화 결정 필요(RC-2 현수막 추가물 트랙과 연계)",0원(단가행0)
MAT_000070,끈,MAT_TYPE.07,포장부자재,2,BLOCKED-CONFIRM,,"일반/메쉬현수막 추가물(dflt_yn=N). 활성 .07 ''끈''은 캘린더부자재 끈/행택끈 등 다른 의미. RC-2 현수막 끈 트랙과 연계 → CONFIRM",0원(단가행0)
MAT_000337,큐방,MAT_TYPE.07,포장부자재,1,BLOCKED-CONFIRM,,"일반현수막 추가물(dflt_yn=N). 메모리상 RC-2 메쉬 큐방 추가물 별도 COMMIT 이력 → 중복/대체 확인 필요. CONFIRM",0원(단가행0)
MAT_000338,각목,MAT_TYPE.07,포장부자재,1,BLOCKED-CONFIRM,,"일반현수막 추가물(dflt_yn=N). 메모리상 RC-2 각목 모델 별도 COMMIT 이력(택1 900이하/초과·세로가로) → 정본/대체 확인 필요. CONFIRM",0원(단가행0)
MAT_000340,봉제사,MAT_TYPE.07,포장부자재,1,BLOCKED-CONFIRM,,"일반현수막 추가물(dflt_yn=N). 활성 정본 부재. 현수막 봉제 추가옵션 → CONFIRM",0원(단가행0)
MAT_000214,2개1세트,MAT_TYPE.10,악세사리상품(추가상품),1,BLOCKED-CONFIRM,,"천정고리 추가상품 수량 묶음 라벨(2개1세트). 묶음수=옵션값 성격. 활성 .10에 동일 부재 → 추가상품 옵션 설계 트랙 의존. CONFIRM",0원(단가행0)
MAT_000223,우드거치대,MAT_TYPE.10,악세사리상품(추가상품),1,BLOCKED-CONFIRM,,"PET배너 추가상품(dflt_yn=N). 활성 .10에 ''우드거치대''(MAT_000222 우드거치대 120mm)와 규격 미특정 매칭 모호. 추가상품 트랙 의존. CONFIRM",0원(단가행0)
MAT_000319,M,MAT_TYPE.09,봉제부자재,14,BLOCKED-CONFIRM,,"봉제부자재 사이즈 라벨(M)=옵션값. option_items 미등록(0건)·dflt_yn=Y로 product_materials에 박힘. W2 사이즈 옵션화 트랙 의존",0원(단가행0)
MAT_000320,L,MAT_TYPE.09,봉제부자재,13,BLOCKED-CONFIRM,,"사이즈 라벨(L) 옵션값. 319와 동일. W2 의존",0원(단가행0)
MAT_000332,세로형,MAT_TYPE.09,봉제부자재,5,BLOCKED-CONFIRM,,"형상 라벨(세로형) 옵션값. W2 의존",0원(단가행0)
MAT_000263,원형 90mm,MAT_TYPE.09,봉제부자재,3,BLOCKED-CONFIRM,,"형상/사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000272,양면,MAT_TYPE.09,봉제부자재,3,BLOCKED-CONFIRM,,"인쇄면 라벨(양면) 옵션값. W2 의존(인쇄면=도수/옵션)",0원(단가행0)
MAT_000333,가로형,MAT_TYPE.09,봉제부자재,3,BLOCKED-CONFIRM,,"형상 라벨(가로형) 옵션값. W2 의존",0원(단가행0)
MAT_000264,사각 90mm,MAT_TYPE.09,봉제부자재,2,BLOCKED-CONFIRM,,"형상/사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000271,단면,MAT_TYPE.09,봉제부자재,2,BLOCKED-CONFIRM,,"인쇄면 라벨(단면) 옵션값. W2 의존",0원(단가행0)
MAT_000277,2구,MAT_TYPE.09,봉제부자재,2,BLOCKED-CONFIRM,,"구성/수량 라벨(2구) 옵션값. W2 의존",0원(단가행0)
MAT_000278,3구,MAT_TYPE.09,봉제부자재,2,BLOCKED-CONFIRM,,"구성/수량 라벨(3구) 옵션값. W2 의존",0원(단가행0)
MAT_000279,4구,MAT_TYPE.09,봉제부자재,2,BLOCKED-CONFIRM,,"구성/수량 라벨(4구) 옵션값. W2 의존",0원(단가행0)
MAT_000288,블랙 XL,MAT_TYPE.09,봉제부자재,2,BLOCKED-CONFIRM,,"색+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000327,XL,MAT_TYPE.09,봉제부자재,2,BLOCKED-CONFIRM,,"사이즈 라벨(XL) 옵션값. W2 의존",0원(단가행0)
MAT_000329,직사각,MAT_TYPE.09,봉제부자재,2,BLOCKED-CONFIRM,,"형상 라벨(직사각) 옵션값. W2 의존",0원(단가행0)
MAT_000330,정사각,MAT_TYPE.09,봉제부자재,2,BLOCKED-CONFIRM,,"형상 라벨(정사각) 옵션값. W2 의존",0원(단가행0)
MAT_000265,사각 110mm,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"형상/사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000266,원형 102mm,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"형상/사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000267,사각 100mm,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"형상/사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000275,미니 50mm,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000276,일반 100mm,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000280,1구,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"구성/수량 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000282,화이트 M,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000283,화이트 L,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000284,화이트 XL,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000285,화이트 XXL,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000286,블랙 M,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000287,블랙 L,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000289,블랙 XXL,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000290,양면 가로형,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"인쇄면+형상 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000291,양면 세로형,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"인쇄면+형상 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000292,멜란지 XL,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000294,2개1팩,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"묶음수 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000295,A5용,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"규격 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000296,A4용,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"규격 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000297,청보라,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000298,빨강,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000299,검정,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000300,파랑,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000301,초록,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000302,핑크,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000303,노랑,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000309,양면인쇄,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"인쇄면 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000310,핑크글리터,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색/효과 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000311,전면만 인쇄,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"인쇄면 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000312,화이트글리터,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색/효과 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000313,배면만 인쇄,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"인쇄면 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000314,블루글리터,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색/효과 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000315,블랙글리터,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색/효과 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000316,양면유광,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"인쇄면+마감 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000317,양면유광 M,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"인쇄면+마감+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000318,양면유광 L,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"인쇄면+마감+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000321,정사각M,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"형상+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000322,직사각M,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"형상+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000323,11인치,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000324,13인치,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000325,15인치,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000326,S,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"사이즈 라벨(S) 옵션값. W2 의존",0원(단가행0)
MAT_000328,직사각L,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"형상+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000331,마카롱,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"형상/종류 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000334,세로M,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"형상+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000335,블랙M,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"색+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
MAT_000336,가로L,MAT_TYPE.09,봉제부자재,1,BLOCKED-CONFIRM,,"형상+사이즈 라벨 옵션값. W2 의존",0원(단가행0)
