no,영역,기능,phase,판정,shopby근거,개발위치,개발방안요약,규모,선행조건,확인필요
14,마이페이지,프린팅머니,2차,PARTIAL,부분(설정·BFF) — 적립금=구매적립형·충전식 선불 모델 상이,설정+BFF,Shopby 적립금 도메인 운용 or 충전식 잔액·원장 커스텀 BFF(돈 무결성),M,PG 연동·legacy 머니 마이그레이션,프린팅머니=Shopby 적립금 재해석 vs 별도 원장
15,마이페이지,머니충전,2차,CUSTOM,적립금에 선불 충전 개념 부재·머니충전=PG연동,BFF+외부연동,PG 결제→잔액 적립 충전 BFF(충전 트랜잭션 원장),M,결제대행 PG 연동,
16,마이페이지,나의 상품Q&A+문의,2차,SOLVED,상품문의 NATIVE(feature-matrix:37-38),Aurora 스킨,native 상품문의,M,,
17,마이페이지,나의 리뷰,3차,SOLVED,상품후기 NATIVE,Aurora 스킨,native 후기,M,,
18,마이페이지,리뷰쓰기(사진업로드)수정/삭제,3차,PARTIAL,후기 native+사진업로드 UI,Aurora 스킨,native 후기 위에 사진업로드 스킨·쿠폰자동발행 룰,M,,리뷰 쿠폰 자동발행/회수 룰
19,마이페이지,나의 체험단 활동내역+후기,3차,CUSTOM,Shopby 표준 체험단 도메인 미발견,BFF+게시판,체험단 신청/당첨/후기 커스텀 게시판,M,,Shopby 체험단 native 존재 여부
20,마이페이지,1:1문의+문의하기,2차,SOLVED,게시판 1:1문의 NATIVE,Aurora 스킨,native 1:1문의,M,,
21,마이페이지,회원정보수정,1차,PARTIAL,member put-profile(개인 표준)·사업자정보 확장,Aurora 스킨+BFF,표준 수정+사업자/다중주소 확장필드 결선,M,,
22,마이페이지,회원정보수정_비밀번호입력,1차,SOLVED,member post-profile-check-password,Aurora 스킨,표준 비번 확인,S,,
23,마이페이지,비밀번호변경,1차,SOLVED,member post-profile-change-password-after-cert,Aurora 스킨,표준 비번변경,S,,변경전 본인확인 방법 결정
24,마이페이지,회원탈퇴,1차,SOLVED,member put-profile-expel,Aurora 스킨,표준 탈퇴,S,,탈퇴전 본인확인 방법 결정
25,마이페이지,증빙서류발급내역,2차,PARTIAL,정산 세금계산서 NATIVE+put-guest-orders cash-receipt,Aurora 스킨+설정,native 발행 위에 4상태(신청가능/완료/불가/카드) 발급내역 화면 스킨,M,증빙서류 발급 규칙 결정,미발행건 발급가능 여부
26,마이페이지,사업자정보(목록),2차,PARTIAL,Shopby 회원 사업자정보 저장 모델,BFF/customField,회원 사업자정보 다건 저장·조회,S,,
27,마이페이지,사업자정보등록(쓰기),2차,PARTIAL,동(쓰기),BFF/customField,사업자정보 등록 API,M,,
28,마이페이지,현금영수증정보,2차,PARTIAL,order put-guest-orders cash-receipt(native)+회원 저장,BFF,현금영수증 정보 회원 저장·발행 연동,M,현금영수증 정보 수집 여부,
29,마이페이지,메인(대시보드),1차,PARTIAL,마이페이지 native+후니 대시보드 위젯,Aurora 스킨,회원할인율·프린팅머니·옵션보관 요약을 대시보드 스킨으로 조립,S,,
30,마이페이지,서브메인(랜딩페이지),3차,PARTIAL,전시/기획전 native 진열,Aurora 스킨,프로모션 이미지 진열 랜딩 스킨,M,,
31,마이페이지,LIST(검색결과),1차,PARTIAL,상품 리스트/검색 표준+전시 진열,Aurora 스킨,2depth 리스트 랜딩 스킨,M,,
32,인쇄상품,A1 상품 기본정보 세팅,1차,PARTIAL,product-server post-product-v2(salePrice 등록 표준)·상품등록 UI CUSTOM,webadmin+BFF,후니 상품마스터↔Shopby productNo 매핑 마스터·기본정보 동기화,S,,prd_cd↔productNo 매핑 운영자산
33,인쇄상품,A2 상품별 옵션 목록 불러오기,1차,CUSTOM,미제공(옵션위젯↔Shopby 옵션 5축 제한 E1·상품별 가변구성),위젯+BFF,★후니 CPQ option_groups를 위젯이 직접 렌더(Shopby 옵션모델 우회)·상품별 옵션 메타 BFF 제공,L,,옵션위젯 핵심 격차
34,인쇄상품,B1 규격(사이즈) 선택,1차,CUSTOM,옵션위젯(siz_cd 차원·Shopby 고정옵션 불일치),위젯,위젯 사이즈 선택→selections.siz_cd,M,,
35,인쇄상품,B2 비규격 사용자입력(가로×세로),1차,CUSTOM,미제공(연속 면적입력·Shopby 옵션 고정값),위젯,위젯 가로×세로 입력→면적 계산(siz_width/height),M,,
36,인쇄상품,B3 수량 선택+직접입력,1차,CUSTOM,미제공(구간단가 모델·Shopby 수량할인 상이 OQ-5),위젯,위젯 수량 입력→qty(구간단가는 final_price에 반영),M,,
37,인쇄상품,B4 종이/소재 선택(+평량),1차,CUSTOM,옵션위젯(mat_cd 차원),위젯,위젯 소재 선택→selections.mat_cd,M,,
38,인쇄상품,B5 인쇄 도수(단/양면)+별색·화이트,1차,CUSTOM,옵션위젯(print_opt_cd),위젯,위젯 도수 선택→selections.print_opt_cd,M,,
39,인쇄상품,B6 코팅,2차,CUSTOM,옵션위젯(coat 차원),위젯,위젯 코팅 옵션,S,,
40,인쇄상품,B7 커팅/조각수/모서리,2차,CUSTOM,옵션위젯(proc_cd),위젯,위젯 가공 옵션,M,,
41,인쇄상품,B8 접지/오시/미싱,2차,CUSTOM,옵션위젯(proc_cd),위젯,위젯 후가공 옵션,M,,
42,인쇄상품,B9 제본(방향·면지·링·커버),1차,CUSTOM,옵션위젯(책자 셋트·evaluate_set_price),위젯,위젯 제본 옵션군(책자 셋트 구성),L,,
43,인쇄상품,B10 내지/표지 그룹 분리,1차,CUSTOM,옵션위젯(셋트 구성원),위젯,위젯 내지/표지 그룹 UI,M,,
44,인쇄상품,B11 박/형압,2차,CUSTOM,옵션위젯(면적→등급 proc),위젯,위젯 박/형압 옵션,M,,
45,인쇄상품,B12 캘린더 가공/장수,2차,CUSTOM,옵션위젯,위젯,위젯 캘린더 옵션,M,,
46,인쇄상품,B13 추가상품(봉투 등),2차,PARTIAL,extra-products/baseProductNo native+위젯,위젯+native,추가상품을 native extra-product로 등록·위젯이 baseProductNo 결선,M,,
47,인쇄상품,B14 개별포장,3차,PARTIAL,native 선택옵션 addPrice,위젯,위젯 포장 옵션,S,,
48,인쇄상품,B15 옵션 제약·조건부 노출,1차,CUSTOM,미제공(JSONLogic 제약·Shopby 옵션 제약 모델 부재),위젯+BFF,★위젯 제약엔진(같이 못 고르는 조합·조건부 노출)·constraints 데이터 BFF,L,,제약규칙 데이터 정리
49,인쇄상품,C1 옵션 변경 시 가격 실시간 재계산,1차,CUSTOM,미제공(라인 동적가 주입 불가·evaluate_price 단일권위),위젯+BFF,★evaluate_price를 BFF API화→위젯 옵션변경마다 실시간 호출(장수/면적/단가 방식별),XL,,돈 크리티컬·서버권위 가격
50,인쇄상품,C2 수량별 가격표 보기,2차,CUSTOM,미제공(evaluate_price 다회 호출),위젯+BFF,수량배열 일괄 가격산출 BFF,M,,
51,인쇄상품,C3 견적서 생성·다운로드,2차,CUSTOM,미제공,BFF,견적서 PDF 생성·다운로드 BFF,M,,
52,인쇄상품,D1 파일 업로드(PDF),1차,CUSTOM,미제공(feature-matrix 파일업로드 CUSTOM),위젯+외부(S3),위젯 파일 업로드→S3·주문라인 첨부(optionInputs 텍스트로 식별 전달),L,,파일 검수 기준
53,인쇄상품,D2 편집상품 미리보기·썸네일,1차,CUSTOM,미제공,위젯+BFF,업로드/편집결과 썸네일 생성·표시,M,,
54,인쇄상품,D3 온라인 에디터 연동(Edicus),3차,CUSTOM,미제공(Edicus 외부 SaaS),외부연동,Edicus SDK 연동(편집→주문라인 첨부),XL,온라인 에디터 도입 결정,
55,인쇄상품,D4 가변데이터 인쇄(VDP),3차,CUSTOM,미제공,외부연동,Edicus VDP 기능 연동,L,,
56,인쇄상품,D5 표지/작업 템플릿 다운로드,2차,PARTIAL,정적자원 다운로드,Aurora 스킨+CDN,템플릿 파일 CDN 게시·다운로드,S,,
57,인쇄상품,E1 규격 가이드 모달,2차,PARTIAL,위젯/스킨 정적 콘텐츠,위젯,규격 가이드 모달,S,,
58,인쇄상품,E2 인쇄영역·도련 가이드,2차,PARTIAL,위젯 정적 콘텐츠,위젯,도련/블리드 가이드,M,,
59,인쇄상품,E3 주문가능 자재 목록 모달,2차,CUSTOM,후니 자재DB 노출,위젯+BFF,상품별 주문가능 자재 목록 BFF,M,,
60,인쇄상품,E4 작업/재단/블리드 안내,1차,PARTIAL,위젯 정적 콘텐츠,위젯,작업사이즈 안내,S,,
61,인쇄상품,F1 주문 전 검증(필수옵션·파일·로그인),1차,PARTIAL,get-cart-validate(sanity)+위젯 필수옵션/파일 검증,위젯+BFF,위젯 클라 검증+카트 validate 게이트 결선,M,,
62,인쇄상품,F2 주문 데이터 생성(선택옵션→주문 변환),1차,CUSTOM,미제공(동적 계산가 카트 무손실 주입 불가·P-A/P-B 의존),BFF+위젯,★selections+final_price를 Shopby 옵션동기화(P-A) 또는 직전 동적옵션(P-B)으로 환원·수량1+옵션금액 placeholder 검토,L,,돈 크리티컬·P-B 심사관문(OQ-3)
63,인쇄상품,F3 우측 플로팅 주문박스(가격·CTA),1차,PARTIAL,위젯 UI(evaluate_price 표시+CTA),위젯,플로팅 주문박스 위젯,M,,
64,인쇄상품,F4 장바구니 담기,1차,PARTIAL,order post-cart(표준)·동적가 주입 불가→브리지 의존,위젯+BFF,★위젯 selections→productNo/optionNo 환원 후 post-cart(가격=동기화 등록가),M,,돈 크리티컬·옵션 환원 정합
65,인쇄상품,F5 옵션 보관함 저장·불러오기,2차,CUSTOM,미제공,BFF,No11과 동일 selections 저장소,M,,
66,인쇄상품,G1 상세설명 콘텐츠(하단 detail),1차,PARTIAL,상품 상세 native+스킨,Aurora 스킨,상품 상세 콘텐츠 스킨,M,,
67,고객센터,공지사항,2차,SOLVED,게시판 native,Aurora 스킨,native 공지(이벤트/공지/상품 구분),S,,
68,고객센터,자주묻는질문,2차,SOLVED,FAQ native,Aurora 스킨,native FAQ(카테고리 구분),S,,
69,고객센터,상품Q&A+문의하기,2차,SOLVED,상품문의 NATIVE,Aurora 스킨,native 상품문의,S,,
70,고객센터,대량주문 견적문의,2차,PARTIAL,게시판 native+견적 양식 커스텀,Aurora 스킨+BFF,native 게시판 위에 B2B 대량견적 입력양식,M,대량견적 사용자측 IA 보완,
71,고객센터,기업인쇄상담,2차,SOLVED,게시판 native,Aurora 스킨,native 게시판(기업서비스 연계),S,,
72,고객센터,디자인상담,3차,SOLVED,게시판 native,Aurora 스킨,native 게시판,S,,
73,고객센터,비회원 주문조회,2차,SOLVED,order get-guest-orders-order-no(guestToken),Aurora 스킨,native 비회원 주문조회,S,,증빙서류 발급 연동 누락
74,결제,수동카드결제(PC+모바일),3차,CUSTOM,Shopby 표준 외 오프라인 수동결제,백오피스,오프라인 전용 수동결제 처리(우선순위 낮음),M,,
75,주문,파일/편집 정보입력,1차,CUSTOM,미제공(인쇄 파일·편집정보),위젯+외부(S3/Edicus),주문 파일/편집정보 입력·첨부 흐름,XL,,
76,주문,보관함/장바구니,1차,PARTIAL,order post-cart(표준)+옵션보관함 커스텀,위젯+BFF,native 카트+옵션보관함 결선,M,,
77,주문,배송정보입력,1차,PARTIAL,배송설정 NATIVE+order shipping(표준),native+설정,native 배송지+도서산간 추가비 데이터,M,배송비·도서산간 규칙 결정,
78,주문,배송지목록,1차,SOLVED,order get-profile-shipping-addresses,Aurora 스킨,native 배송지 주소록,S,,
79,주문,배송지입력,1차,SOLVED,order post-profile-shipping-addresses,Aurora 스킨,native 배송지 등록,S,,
80,주문,결제하기(이니시스),1차,SOLVED,order post-payments-reserve payType INICIS(native),native+외부연동,native 결제 reserve+이니시스 PG 결선,L,이니시스 결제 계약,간편결제 다음단계
81,주문,주문완료+메일,1차,SOLVED,주문 native+알림 템플릿,native+설정,native 주문완료+알림 메일,M,,
82,주문,디자인 의뢰하기,3차,CUSTOM,Shopby 표준 외(수작/상상 브랜드),외부/커스텀,디자인 의뢰 외부 연계,M,수작 브랜드 유지 여부 결정,
83,정보,회사소개,2차,SOLVED,콘텐츠/스킨,Aurora 스킨,정적 콘텐츠,S,,
84,정보,이용약관,1차,SOLVED,native 약관 도메인,설정,native 약관,S,,
85,정보,개인정보보호,1차,SOLVED,native 약관 도메인,설정,native 개인정보처리방침,S,,
86,정보,찾아오시는 길,3차,SOLVED,콘텐츠/스킨,Aurora 스킨,정적 콘텐츠,S,,
87,가이드,작업시 유의사항(11개),2차,PARTIAL,스킨 콘텐츠 페이지,Aurora 스킨,11개 가이드 정적 페이지,M,,
88,마케팅,랜딩페이지 5종,3차,PARTIAL,기획전/전시 native+스킨,Aurora 스킨,상품군별 마케팅 랜딩 스킨,L,,
89,마케팅,이용후기 메인,3차,PARTIAL,후기 native+스킨,Aurora 스킨,후기 모음 메인 스킨,M,,
90,마케팅,체험단 모집 메인,3차,CUSTOM,Shopby 체험단 도메인 미발견,BFF+스킨,체험단 모집 커스텀,M,,
91,상품,포장재상품 주문하기,2차,CUSTOM,옵션위젯(포장재 옵션)+문의/견적인쇄,위젯+BFF,포장재 상품 위젯 주문,L,,
92,상품,굿즈상품 주문하기+파우치&백,2차,CUSTOM,옵션위젯/카탈로그형,위젯+BFF,굿즈 상품 위젯/카탈로그 주문,L,,
93,상품,수작 상품(메인+상품페이지),3차,CUSTOM,Shopby 표준 외 브랜드,외부/커스텀,수작 브랜드 상품,L,수작 브랜드 유지 여부 결정,
94,관리자,관리자 등록/관리,1차,SOLVED,Shopby admin 계정/권한(native),설정,native 관리자 계정·권한,M,,Shopby admin 권한 세분화 범위
95,거래처,거래처관리,2차,CUSTOM,Shopby 표준 외(오프라인 B2B 거래처),백오피스,오프라인 거래처 관리·업체목록 생성,M,,
96,거래처,매장게시판,3차,PARTIAL,게시판 native,Aurora 스킨,native 게시판,S,,
97,원장관리,계좌관리,2차,CUSTOM,Shopby 표준 외(원장용 계좌),백오피스,원장 계좌 등록,S,,
98,원장관리,원장관리(오프라인 거래),2차,CUSTOM,Shopby 표준 외(오프라인 원장),백오피스,오프라인 거래 원장·청구서·판매내역 매칭,L,,
99,원장관리,업체별 미수금,2차,CUSTOM,Shopby 표준 외,백오피스,업체별 미수금 집계·Excel,M,,
100,상품관리,인쇄/제본 상품등록,1차,CUSTOM,미제공(상품등록 UI CUSTOM·파일/인쇄옵션),webadmin,★현 webadmin 상품등록 유지(미리보기/등록/수정·기본값),L,,webadmin↔Shopby 동기화 범위
101,상품관리,사이즈선택 팝업,1차,CUSTOM,webadmin,webadmin,사이즈 선택 팝업,M,,
102,상품관리,소재선택 팝업,1차,CUSTOM,webadmin,webadmin,소재 선택 팝업,M,,
103,상품관리,종이선택 팝업,1차,CUSTOM,webadmin,webadmin,종이 선택 팝업,M,,
104,상품관리,가격관리 팝업 8종,1차,CUSTOM,webadmin(가격엔진),webadmin,가격관리 팝업 8종(DP/GD/PK/PR),L,,
105,상품관리,사이즈관리,1차,CUSTOM,webadmin,webadmin,사이즈 마스터 관리,S,,
106,상품관리,소재관리,1차,CUSTOM,webadmin,webadmin,소재 마스터 관리,S,,
107,상품관리,용지관리,1차,CUSTOM,webadmin,webadmin,용지 마스터 관리,S,,
108,상품관리,가격관리(출력/코팅/후가공/제본),1차,CUSTOM,webadmin(가격 시뮬레이터 핵심·evaluate_price),webadmin,★가격공식·구성요소·단가행 관리+시뮬레이터,XL,,
109,상품관리,굿즈 카테고리관리,2차,CUSTOM,webadmin,webadmin,굿즈 카테고리 관리,M,,
110,상품관리,굿즈 상품등록,2차,CUSTOM,webadmin,webadmin,굿즈 상품등록(카테고리/옵션),L,,
111,상품관리,수작 상품등록,3차,CUSTOM,webadmin,webadmin,수작 상품등록,M,수작 브랜드 유지 여부 결정,
112,상품관리,포장재 상품등록,2차,CUSTOM,webadmin,webadmin,포장재 상품등록,M,,
113,상품관리,디자인 상품등록,3차,CUSTOM,webadmin,webadmin,디자인 상품등록,M,수작 브랜드 유지 여부 결정,
114,게시판,공지사항 관리,2차,SOLVED,admin 게시판 native,설정,native 공지 관리,S,,
115,게시판,자주묻는질문 관리,2차,SOLVED,admin FAQ native,설정,native FAQ 관리,S,,
116,게시판,대량주문 견적문의(확인/답변),2차,PARTIAL,게시판 native+견적 커스텀,Aurora 스킨+BFF,native 게시판+대량견적 답변,M,대량견적 사용자측 IA 보완,
117,게시판,기업인쇄상담(확인/답변),2차,SOLVED,admin 게시판 native,설정,native 상담 답변,S,,
118,게시판,디자인상담(확인/답변),3차,SOLVED,admin 게시판 native,설정,native 답변,S,,
119,게시판,상품Q&A(확인/답변),2차,SOLVED,admin 상품문의 native,설정,native 답변,S,,
120,게시판,1:1문의(확인/답변),2차,SOLVED,admin 1:1문의 native,설정,native 답변,S,,
121,게시판,체험단관리,3차,CUSTOM,Shopby 체험단 미발견,BFF,체험단 등록/당첨처리 커스텀,M,,
122,게시판,이용후기관리,3차,PARTIAL,후기 native+관리자 임의등록 커스텀,설정+BFF,native 후기+관리자 임의등록,M,,
123,회원관리,회원관리(주문/정보),1차,SOLVED,admin 회원관리 NATIVE,설정,native 회원관리,M,,
124,회원관리,탈퇴회원 관리,2차,SOLVED,member 휴면/탈퇴 native,설정,native 탈퇴회원 관리,S,,
125,회원관리,프린팅머니 관리,2차,PARTIAL,적립금관리 NATIVE·충전식 선불 모델 상이,설정+BFF,native 적립금 운용 or 충전 잔액 원장 BFF 관리,M,PG 연동,No14와 동일 모델 결정 종속
126,회원관리,쿠폰관리(발행/매칭),2차,PARTIAL,쿠폰관리 NATIVE·출력상품/굿즈카테고리 매칭 커스텀,설정+BFF,native 쿠폰+상품/카테고리 매칭 룰,L,,쿠폰-인쇄상품 매칭 모델
127,회원관리,쿠폰등록내역,2차,SOLVED,promotion native,설정,native 등록내역,S,,
128,회원관리,쿠폰사용내역,2차,SOLVED,promotion native,설정,native 사용내역,S,,
129,통계,인쇄/제본 상품통계,2차,PARTIAL,Shopby 통계 native+인쇄 분류,설정/BFF,native 통계+인쇄 상품 분류 집계,S,,
130,통계,굿즈 상품통계,2차,PARTIAL,Shopby 통계 native,설정/BFF,native 통계 굿즈 집계,S,,
131,통계,패키지 상품통계,2차,PARTIAL,Shopby 통계 native,설정/BFF,native 통계 패키지 집계,S,,
132,통계,수작 상품통계,3차,PARTIAL,Shopby 통계 native,설정/BFF,native 통계,S,,
133,통계,월별 매출통계,2차,SOLVED,Shopby 매출통계 native,설정,native 매출통계,M,,
134,통계,굿즈 발주/정산(Excel),2차,CUSTOM,Shopby 표준 외(외주 정산),백오피스,외주 발주/정산 Excel 커스텀,M,,
135,통계,제작상품 팀별통계,3차,CUSTOM,Shopby 표준 외(공정관리 연계),백오피스,팀별 제작 통계 커스텀,M,,
136,주문관리,주문관리-인쇄/제본/굿즈,1차,PARTIAL,주문관리 NATIVE·인쇄 생산정보/파일확인 커스텀,백오피스+BFF,★native 주문관리+인쇄 생산정보·파일확인 결선,XL,,
137,주문관리,파일확인처리,1차,CUSTOM,미제공(인쇄파일 확인 커스텀),BFF+백오피스,주문건 인쇄파일 검수·확인 처리,L,파일 검수 기준,
138,주문관리,재업로드요청 문자,2차,PARTIAL,외부 SMS/알림톡,외부연동,재업로드 요청 알림톡/SMS,M,알림톡/SMS 선행,
139,주문관리,주문서출력,1차,PARTIAL,주문 native+인쇄 작업지시서 커스텀,BFF,주문 native+작업지시서 출력,M,,
140,주문관리,주문상태변경 처리(+문자),1차,PARTIAL,주문상태 native(SPEC-SKIN-006 갭)+문자 외부,백오피스+외부,native 상태변경+알림톡 문자,M,,주문상태 native 커스터마이즈 범위
141,주문관리,주문관리-후불결제,2차,PARTIAL,결제상태 native+후불 정책,백오피스,native 결제상태+후불 미결제/완료 관리,M,,
142,주문관리,증빙서류발급 관리,2차,PARTIAL,정산/세금계산서 native+발급 관리,설정+BFF,native 정산+발급 상태 관리,M,증빙발급 정책 확정,
143,주문관리,주문상태변경(일괄),2차,PARTIAL,native 일괄 상태변경,백오피스,native 일괄 처리,S,,
144,주문관리,고객 SMS 발송,2차,PARTIAL,외부 SMS/알림톡,외부연동,고객 SMS/알림톡 발송,M,알림톡 통합 선행,
145,회원,간편로그인(네이버/카카오),2차,SOLVED,auth get-oauth-login-url/post-oauth-openid(native),외부연동,native 소셜 로그인,M,소셜 OAuth 앱등록·검수,
146,회원,회원등급(VIP·B2B 등급가),2차,PARTIAL,member get-member-grades(조회 표준)·등급가는 memberGrade 도메인,설정+BFF,native 등급+등급별 가격을 evaluate_price grade_cd와 정합,M,등급별 할인 정책,후니 grade_cd↔Shopby memberGrade 매핑
147,회원,휴면회원 전환/해제,2차,SOLVED,member get/put-profile-dormancy(native),설정,native 휴면 처리(법적 필수),S,,
148,결제,무통장입금/가상계좌+입금확인,2차,SOLVED,order reserve bankAccountToDeposit(native),native+외부,native 가상계좌+입금확인,M,이니시스 가상계좌 계약,
149,결제,간편결제(네이버페이),2차,SOLVED,order post-payments-naver-ordersheet(native),native+외부,native 네이버페이 경로,M,네이버페이 가맹,
150,주문,도서산간 추가배송비 데이터화,1차,PARTIAL,배송설정 NATIVE+calculate remoteDeliveryAmt,native+설정,native 지역추가배송비 데이터화,M,권역·배송비 정책 확정,
151,주문,배송비 템플릿/조건부 무료배송,2차,PARTIAL,배송설정 native,설정,native 배송비 템플릿/조건부 무료,M,상품군별 배송비 정책,
152,정보,세금계산서 발행 플로우(B2B),2차,PARTIAL,정산/세금계산서 NATIVE+팝빌 연동,native+외부,native 세금계산서+팝빌 결선,M,국세청/팝빌 연동,
153,상품,전시 카테고리 트리 운영툴,1차,PARTIAL,전시 카테고리 native 진열+다depth 운영,설정+스킨,native 전시 카테고리+다depth 진열 운영,M,카테고리 구조 확정,
154,상품,상품 검색·필터 엔진,2차,PARTIAL,get-products-search native+인쇄 필터축 커스텀,Aurora 스킨+BFF,native 검색+인쇄 필터축(소재/사이즈/도수),M,검색 대상·필터축 정의,
155,마케팅,베스트/기획전 진열 운영툴,3차,SOLVED,기획전 native 진열,설정,native 기획전/베스트 진열,M,진열 운영정책,
156,마이페이지,첫구매/생일 자동쿠폰,3차,PARTIAL,쿠폰 native+자동발급 룰,설정/BFF,native 쿠폰+자동발급 트리거,S,자동발급 룰 정의,
157,주문관리,생산정보 전달(주문→생산BOM 환원),1차,CUSTOM,미제공(주문→생산 BOM 환원·외부 MES),BFF+MES연동,★결제완료 주문의 selections→생산BOM 환원·MES 전달,L,MES↔Front 통신 규격,돈/주문 크리티컬·생산브릿지
158,상품관리,MES_ITEM_CD 전상품 채번,1차,CUSTOM,미제공(라이브 16/275만 채번),webadmin,전상품 MES_ITEM_CD 채번 체계,M,,94% 미채번 일괄채번 규칙
159,주문관리,생산파일명 일관화(Rename),1차,CUSTOM,미제공,BFF,주문파일 자동 rename(품목_사이즈_소재_고객_번호_수량),M,파일명 규칙 확정,
160,주문관리,접수파일 썸네일 자동생성,2차,CUSTOM,미제공,BFF,접수파일 썸네일 자동생성,M,,
161,주문,주문상태 추적(고객 마이페이지),1차,PARTIAL,order 주문조회 native+주문상태머신 정의,Aurora 스킨+BFF,native 주문조회+인쇄 생산 상태머신(미입금→제작중→출고),M,주문상태머신 정의,Shopby 상태 vs 인쇄 생산상태 매핑
162,주문,주문/주문상세 런타임 그릇 구축,1차,PARTIAL,Shopby 주문 도메인이 to-be 그릇(라이브 주문테이블 전무),native+BFF,★Shopby 주문 도메인 채택+인쇄 사양/파일/BOM 라인 결선,XL,,커머스 백엔드 그릇
