prd_cd,prd_nm,cluster,target_frm_cd,status,evidence,apply_bgn_ymd,confirm
PRD_000111,벽걸이캘린더,캘린더,(DESIGN_BLOCKED),DESIGN_BLOCKED,"§18 정찰가 역산 비정수 보류",,DESIGN_BLOCKED: §18
PRD_000112,와이드벽걸이캘린더,캘린더,(DESIGN_BLOCKED),DESIGN_BLOCKED,"§18 정찰가 역산 비정수 보류",,DESIGN_BLOCKED: §18
PRD_000147,아크릴마그넷,투명3T아크릴,PRF_CLR_ACRYL,BIND_ONLY,"dflt mat MAT_043(CLR_ACRYL 20-200mm 커버). 7사이즈 전건 covered(50x50→4800·PRICE≠0). comp배선OK·165행·미바인딩",2026-06-15,
PRD_000148,아크릴뱃지,투명3T아크릴,PRF_CLR_ACRYL,BIND_ONLY,"dflt MAT_043. 3사이즈 전건 covered. 추가mat 047/048=옵션addon(본체매트릭스 무관)",2026-06-15,
PRD_000149,아크릴집게,투명3T아크릴,PRF_CLR_ACRYL,BIND_ONLY,"dflt MAT_043. 3사이즈 전건 covered",2026-06-15,
PRD_000150,아크릴스마트톡,투명3T아크릴,PRF_CLR_ACRYL,BIND_ONLY,"dflt MAT_043. 3사이즈 전건 covered",2026-06-15,
PRD_000151,맥세이프 스마트톡,투명3T아크릴,PRF_CLR_ACRYL,BIND_ONLY,"dflt MAT_043. 3사이즈 전건 covered",2026-06-15,
PRD_000152,아크릴명찰,투명3T아크릴,PRF_CLR_ACRYL,BIND_ONLY,"dflt MAT_043. 3사이즈 전건 covered. 추가mat 046/049=옵션addon",2026-06-15,
PRD_000153,아크릴명찰(골드실버),특수아크릴,(없음),MINT,"mat MAT_195/196=가격매트릭스 전무(0행). 골드실버 전용 단가 결손",,BLOCKED: 골드실버 단가행 mint(§18)
PRD_000154,아크릴 머리끈,특수아크릴,(COMP_ACRYL_BLACK_HAIR_BAND 0행),MINT,"머리끈 comp 0행·0배선. 단가/공식 결손",,BLOCKED: 머리끈 단가행+공식 mint(§18)
PRD_000155,아크릴볼펜,투명3T아크릴,PRF_CLR_ACRYL,BIND_ONLY,"dflt MAT_043. 3사이즈 전건 covered",2026-06-15,
PRD_000156,아크릴지비츠,투명3T아크릴,PRF_CLR_ACRYL,BIND_ONLY,"dflt MAT_043. 5사이즈 전건 covered",2026-06-15,
PRD_000157,아크릴네임택,투명3T아크릴,PRF_CLR_ACRYL,BIND_ONLY,"dflt MAT_043. 2사이즈 전건 covered",2026-06-15,
PRD_000158,아크릴 포카키링,투명3T아크릴,PRF_CLR_ACRYL,BIND_ONLY,"dflt MAT_043. 1사이즈 covered. ★키링고리 부속(C4-D07)은 본체 견적 후 별경로—본체 바인딩은 안전",2026-06-15,
PRD_000159,아크릴 코스터,투명3T아크릴,PRF_CLR_ACRYL,BIND_ONLY,"dflt MAT_043. 2사이즈 전건 covered",2026-06-15,
PRD_000160,아크릴자유형스탠드,투명3T아크릴,PRF_CLR_ACRYL,BIND_ONLY,"dflt MAT_043. 5사이즈 전건 covered",2026-06-15,
PRD_000161,판아크릴,투명3T아크릴,PRF_CLR_ACRYL,BIND_ONLY,"dflt MAT_043. 2사이즈 전건 covered",2026-06-15,
PRD_000162,아크릴포카스탠드,투명3T아크릴,PRF_CLR_ACRYL,BIND_ONLY,"dflt MAT_043. 1사이즈 covered",2026-06-15,
PRD_000163,아크릴미니파츠,투명3T아크릴,PRF_CLR_ACRYL,WIRE_BIND,"★dflt mat MAT_042(100mm 한계)인데 사이즈 120x50→width 120 off-grid(ERR_ABOVE_MAX). CLR_ACRYL MAT_043은 120x50 커버하나 상품에 MAT_043 미등록. 자재 교정/추가 선행 필요→BIND_ONLY 강등",,CONFIRM-163: 상품에 MAT_043 추가 or 사이즈 재검토 후 바인딩
PRD_000164,아크릴코롯토,아크릴코롯토,PRF_COROTTO_ACRYL,BIND_ONLY,"고아공식 PRF_COROTTO_ACRYL(21행 면적매트릭스). 6사이즈(30~80 square) 전건 covered(30x30→3600·PRICE≠0). A2 D04 '마지막 한 칸'",2026-06-15,CONFIRM-164-ymd: COROTTO 기존바인딩0→apply_bgn_ymd 아크릴군 2026-06-15 정합 가정
PRD_000165,포카코롯토,아크릴코롯토,(COROTTO off-grid),MINT,"★55x86. COROTTO 매트릭스 max 80x80→height 86 off-grid(ERR_ABOVE_MAX). dflt mat MAT_044=코롯토/CLR 어느 경로도 정합 단가 부재",,CONFIRM-165: 코롯토 86mm tier 확장 or 별 단가행 mint(§18)
PRD_000166,아크릴카라비너,투명3T아크릴,PRF_CLR_ACRYL,BIND_ONLY,"dflt MAT_043. 4사이즈 전건 covered",2026-06-15,
PRD_000169,아크릴입체블럭,특수아크릴,(없음),MINT,"mat MAT_192=가격매트릭스 전무(0행). n_dosu=0 입체블럭 전용단가 결손",,BLOCKED: 입체블럭 단가행 mint(§18)
PRD_000172,만년다이어리(소프트커버),문구,(없음),MINT,"다이어리 comp/공식 전무(0행). §18 문구시트 설계분 미적재",,BLOCKED: 문구 공식+단가 mint(§18)
PRD_000173,만년다이어리(하드커버),문구,(없음),MINT,"다이어리 comp/공식 전무",,BLOCKED: §18
PRD_000174,만년다이어리(레더하드커버),문구,(없음),MINT,"다이어리 comp/공식 전무",,BLOCKED: §18
PRD_000175,만년다이어리(레더소프트커버),문구,(없음),MINT,"다이어리 comp/공식 전무·n_proc=0",,BLOCKED: §18
PRD_000176,먼슬리플래너,문구,(없음),MINT,"플래너 comp/공식 전무",,BLOCKED: §18
PRD_000178,스프링수첩,문구,(없음),MINT,"수첩 comp/공식 전무",,BLOCKED: §18
PRD_000179,메모패드,문구,(없음),MINT,"메모패드 comp/공식 전무",,BLOCKED: §18
PRD_000181,중철노트,문구,(없음),MINT,"중철노트 comp/공식 전무",,BLOCKED: §18
PRD_000197,미니매트,굿즈,(없음),MINT,"매트 comp/공식 전무·n_proc=0",,BLOCKED: §18 굿즈
PRD_000198,피크닉매트,굿즈,(없음),MINT,"매트 comp/공식 전무·n_proc=0",,BLOCKED: §18 굿즈
PRD_000202,키캡키링,굿즈,(없음),MINT,"키캡키링 comp/공식 전무·n_dosu=0",,BLOCKED: §18 굿즈
PRD_000217,만년스탬프,문구,(없음),MINT,"스탬프 comp/공식 전무·n_proc=0",,BLOCKED: §18 문구
PRD_000241,캔버스 스트랩 라벨파우치,굿즈,(없음),MINT,"파우치 comp/공식 전무·n_dosu/proc=0",,BLOCKED: §18 굿즈
