prd_cd,product_group,axis,needed,owner_inspector,verdict,confidence,evidence,note
PRD_000057,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000057,스티커,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·커팅·별색 택일
PRD_000057,스티커,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음
PRD_000057,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000058,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000058,스티커,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·커팅·별색 택일
PRD_000058,스티커,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음
PRD_000058,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000059,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000059,스티커,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·커팅·별색 택일
PRD_000059,스티커,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음
PRD_000059,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000060,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000060,스티커,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·커팅·별색 택일
PRD_000060,스티커,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음
PRD_000060,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000061,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000061,스티커,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·커팅·별색 택일
PRD_000061,스티커,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음
PRD_000061,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000062,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000062,스티커,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·커팅·별색 택일
PRD_000062,스티커,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음
PRD_000062,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000063,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000063,스티커,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·커팅·별색 택일
PRD_000063,스티커,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음
PRD_000063,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000064,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000064,스티커,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·커팅·별색 택일
PRD_000064,스티커,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,소량(*1조각)·자유형 제약 별표
PRD_000064,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000065,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000065,스티커,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·커팅·별색 택일
PRD_000065,스티커,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음
PRD_000065,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000066,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000066,스티커,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·커팅·별색 택일
PRD_000066,스티커,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음
PRD_000066,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000067,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000067,스티커,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·커팅·별색 택일
PRD_000067,스티커,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음
PRD_000067,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000118,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000118,실사,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·소재·가공 택일
PRD_000118,실사,제약규칙,Y,cpq-link,MATCH,HIGH,라이브 constraint RULE_TYPE.01 JSONLogic(사용자입력 치수 width/height min·max) 존재,비규격(최소/최대) 가로세로 경계·블리드
PRD_000118,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000119,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000119,실사,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공 택일
PRD_000119,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000119,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000120,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000120,실사,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·소재·가공 택일
PRD_000120,실사,제약규칙,Y,cpq-link,MATCH,HIGH,라이브 constraint RULE_TYPE.01 JSONLogic(사용자입력 치수 width/height min·max) 존재,비규격(최소/최대) 가로세로 경계·블리드
PRD_000120,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000121,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000121,실사,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·소재·가공 택일
PRD_000121,실사,제약규칙,Y,cpq-link,MATCH,HIGH,라이브 constraint RULE_TYPE.01 JSONLogic(사용자입력 치수 width/height min·max) 존재,비규격(최소/최대) 가로세로 경계·블리드
PRD_000121,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000122,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000122,실사,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·소재·가공 택일
PRD_000122,실사,제약규칙,Y,cpq-link,MATCH,HIGH,라이브 constraint RULE_TYPE.01 JSONLogic(사용자입력 치수 width/height min·max) 존재,비규격(최소/최대) 가로세로 경계·블리드
PRD_000122,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000123,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000123,실사,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공 택일
PRD_000123,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000123,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000124,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000124,실사,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·소재·가공 택일
PRD_000124,실사,제약규칙,Y,cpq-link,MATCH,HIGH,라이브 constraint RULE_TYPE.01 JSONLogic(사용자입력 치수 width/height min·max) 존재,비규격(최소/최대) 가로세로 경계·블리드
PRD_000124,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000125,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000125,실사,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·소재·가공 택일
PRD_000125,실사,제약규칙,Y,cpq-link,MATCH,HIGH,라이브 constraint RULE_TYPE.01 JSONLogic(사용자입력 치수 width/height min·max) 존재,비규격(최소/최대) 가로세로 경계·블리드
PRD_000125,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000126,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000126,실사,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공 택일
PRD_000126,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000126,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000127,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000127,실사,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공 택일
PRD_000127,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000127,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000128,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000128,실사,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공 택일
PRD_000128,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000128,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000129,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000129,실사,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공 택일
PRD_000129,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000129,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000130,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000130,실사,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공 택일
PRD_000130,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000130,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000131,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000131,실사,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공 택일
PRD_000131,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000131,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000132,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000132,실사,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공 택일
PRD_000132,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000132,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000133,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000133,실사,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·소재·가공 택일
PRD_000133,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000133,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000134,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000134,실사,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·소재·가공 택일
PRD_000134,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000134,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000135,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000135,실사,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·소재·가공 택일
PRD_000135,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000135,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000136,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000136,실사,옵션그룹,Y,cpq-link,MISMATCH,HIGH,거치대구매여부 그룹 mand_yn=Y인데 min/max_sel_cnt NULL; 실외용거치대(OPV-000020) option_item 0행=차원 미배선(실내용만 MAT_000178 연결),주문방법·소재·가공 택일
PRD_000136,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000136,실사,추가상품 템플릿,N,cpq-link,EXTRA,HIGH,TMPL-000013(테스트 템플릿 base=PRD_000136 PET배너) 라이브 존재; needed=N; selection이 PROC_000015 1건만 묶음(추가상품 아님)=테스트 잔재,추가상품 미동반
PRD_000137,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000137,실사,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·소재·가공 택일
PRD_000137,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000137,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000138,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000138,실사,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·소재·가공 택일
PRD_000138,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000138,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000139,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000139,실사,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·소재·가공 택일
PRD_000139,실사,제약규칙,Y,cpq-link,MATCH,HIGH,라이브 constraint RULE_TYPE.01 JSONLogic(사용자입력 치수 width/height min·max) 존재,비규격(최소/최대) 가로세로 경계·블리드
PRD_000139,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000140,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000140,실사,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공 택일
PRD_000140,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000140,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000141,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000141,실사,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공 택일
PRD_000141,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000141,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000142,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000142,실사,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공 택일
PRD_000142,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000142,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000143,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000143,실사,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공 택일
PRD_000143,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000143,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000144,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000144,실사,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공 택일
