axis,kind,row_id,title,kdh_part,status,t56_verdict,t56_judged_by,why,evidence
1.탐색·상세+위젯임베드,원장,STD-CAT-018,찜/관심상품,김동학,미착수,담당맞음,merged-owner_side,,print-kb/wiki/policy/mypage.md 파생
1.탐색·상세+위젯임베드,원장,STD-CAT-021,메인 기획전/배너 영역,김동학,부분,담당맞음,merged-owner_side,,huni-skin-shopby/src/app/(main)/page.tsx:1 · BEST 큐레이션 stub src/lib/legacy-data/hooks.ts:60
1.탐색·상세+위젯임베드,원장,STD-CAT-022,품절/판매중지 상품 표시 및 대체 안내,김동학,미착수,담당맞음,merged-owner_side,,huni-shopby/01_research/order-to-delivery-contract.md §4.2 OUT_OF_STOCK
1.탐색·상세+위젯임베드,원장,STD-CAT-024,포장재 상품군 주문 경로(전용 옵션·주문 흐름),김동학,부분,담당맞음,evidence-path,,"L3/legacy-normalized.json#F-091,IA-091,SCOPE-091 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:92 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A92:K92 || P1판정(260902): huni-skin-shopby 에 「포장재」 전용 경로 grep 0건 · 샵바이 카테고리로 흡수됐는지 미확인"
1.탐색·상세+위젯임베드,원장,STD-CAT-025,굿즈 상품군 주문 경로(파우치·백 포함),김동학,부분,담당맞음,evidence-path,,"L3/legacy-normalized.json#F-092,IA-092,SCOPE-092 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:93 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A93:K93 || P1판정(260902): huni-skin-shopby/src/components/home/home-content.ts:120 「아크릴굿즈」 메뉴 실재 — 카탈로그 노출은 됨"
1.탐색·상세+위젯임베드,원장,STD-CAT-026,수작 상품 메인·상품페이지 경로,김동학,미착수,재배정,evidence-path,,"L3/legacy-normalized.json#F-093,IA-093,SCOPE-093 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:94 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A94:K94 || P1판정(260902): huni-skin-shopby 에 「수작」 grep 0건 · 상품 등록 여부는 셀러어드민 확인 필요"
1.탐색·상세+위젯임베드,원장,STD-CAT-027,홈 더미 콘텐츠 정리(BEST 8종 /product/1 404 · 프로모션 ZONE·새소식 영문 문구),김동학,미착수,담당맞음,merged-owner_side,,https://shopby.huniprinting.co.kr/ @ 2026-09-16 21:26
1.탐색·상세+위젯임베드,원장,STD-CAT-028,목록·검색 시작가 「10원~」 표시(샵바이 salePrice 더미),김동학,미착수,재배정,evidence-path,,https://shopby.huniprinting.co.kr/shop/1142983 @ 2026-09-16 21:26
1.탐색·상세+위젯임베드,원장,STD-CAT-029,메뉴 슬러그형 목업 상세(/product/calendar 등) 잔존 — 「(44 Reviews)」·더미 옵션,김동학,미착수,담당맞음,merged-owner_side,,https://shopby.huniprinting.co.kr/product/calendar @ 2026-09-16 21:27
1.탐색·상세+위젯임베드,원장,STD-CAT-042,레거시 mock 훅 제거 — legacy-data 참조 17파일(configurator 11종·홈 뉴스/프로모·포인트 모달),김동학,미착수,담당맞음,merged-owner_side,,`grep -rl legacy-data huni-skin-shopby/src` 17 · src/lib/legacy-data/hooks.ts:4 「순수 mock」 · SPEC-TAKEOVER-001 D-6·related SPEC-LEGACY-MOCK-001(문서 부재)
1.탐색·상세+위젯임베드,원장,STD-CAT-043,목록·검색 시작가를 webadmin `GET /api/w/v1/catalog`(게시 위젯+시작가) 로 이관 — 「10원~」 더미 대체 개발안,김동학+서희항,미착수,분할,merged-owner_side,,SPEC-TAKEOVER-001 spec.md D-2 ① · huni-skin-shopby/src/lib/api/server/catalog.ts(shopby salePrice 사용)
1.탐색·상세+위젯임베드,원장,STD-OPT-055,대량주문 견적 문의 접수,김동학,미착수,재배정,evidence-path,,huni-skin-shopby src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent)
1.탐색·상세+위젯임베드,원장,STD-OPT-056,캘린더 가공·장수(월수) 선택,김동학,구현-미검증,재배정,evidence-path,,"L3/legacy-normalized.json#F-045,IA-045,SCOPE-045 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:46 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A46:K46 || P1판정(260902): huni-skin-shopby/src/components/product/configurators/calendar-configurator.tsx:167 장수 · :196 캘린더 가공"
1.탐색·상세+위젯임베드,원장,STD-OPT-057,규격 가이드 모달(사이즈 안내 팝업),김동학+최숙진,미착수,분할,merged-owner_side,,"L3/legacy-normalized.json#IA-057,SCOPE-057 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A58:K58 || P1판정(260902): huni-skin-shopby 에 규격 가이드 모달 컴포넌트 grep 0건 · guide-data.ts:90 은 가이드 문서(모달 아님)"
1.탐색·상세+위젯임베드,원장,STD-OPT-058,주문가능 자재(용지) 목록 모달,김동학+최숙진,미착수,분할,merged-owner_side,,"L3/legacy-normalized.json#F-059,IA-059,SCOPE-059 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:60 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A60:K60 || P1판정(260902): huni-skin-shopby 에 「주문가능 자재(용지) 목록 모달」 컴포넌트 grep 0건 · guide-data.ts:161,170 은 가이드 문서"
1.탐색·상세+위젯임베드,원장,STD-SYS-023,담기 전달값의 민감정보 비노출·서명 검증(계약 준수),김동학,미착수,담당맞음,merged-owner_side,담기 전달값 서명·비노출 = 위젯 handoff 계약(t57 ② 「베끼면 안 되는 것」) — 인프라가 아니라 위젯 임베드 몫,L0/N3/ARCHITECTURE-v2.md §10 A-13 (토큰·원고 저장키·프로젝트 식별자 평문 노출) · §3.2 · §8 I-2
1.탐색·상세+위젯임베드,원장,STD-SYS-041,상품 텍스트옵션 라벨 huni_token 미등록 확정(U-2) → 스킨 담기 구현 정합,김동학+신우진,미착수,분할,rule-track,huni_token 텍스트옵션 라벨 = 담기 전달 계약(widget-order.ts:15-18 optionInputs 파싱) — 위젯 임베드 몫,"API GET /products/136578130 mallProductInputs=[huni_order, huni_item] (huni_token 없음) @ 2026-09-16 21:31 (R/R1d/evidence/api-server-product-sample.json) · Q0 label-check 226건 참조"
1.탐색·상세+위젯임베드,원장,STD-SYS-045,후니 위젯 서버키 헤더(X-Huni-Server-Key) 전송 배선 — 제공자가 WAPI_SERVER_KEY_REQUIRED 를 켜면 재견적이 403,김동학+서희항,미착수,분할,merged-owner_side,X-Huni-Server-Key 헤더 배선 = 위젯 API 호출부 전제(widget_api.py:195·203-213) — 위젯 임베드 몫,huni-skin-shopby/src grep `X-Huni-Server-Key` 0곳 · huni-skin-next/src/lib/printly/server-key.ts(포크 구현·commit 6231dc4) · SPEC-TAKEOVER-001 spec.md:43·D-4
1.탐색·상세+위젯임베드,신규제안,NEW-M1,handoff/verify 재검증 호출부 구현(몰 서버 → webadmin),김동학,원장행 없음,,t61-manual-read,grep -rn 'handoff' src/ → 호출 0건(주석 6건뿐). t48:192 가 plan_row_id=NEW 로 들고 있고 735행 원장에 대응 행 0,"/Users/innojini/Dev/huni-skin-shopby/src/components/product/huni-widget.tsx:50,78 (주석만) · 수신측 /Users/innojini/Dev/HuniWeb/raw/webadmin/webadmin/config/urls.py:256"
1.탐색·상세+위젯임베드,신규제안,NEW-M2,위젯 오리진·site_key 하드코딩을 env 로 승격(3곳),김동학,원장행 없음,,t61-manual-read,migration-plan.md:114 R6 이 「도메인 바뀌면 하드코딩 3곳 연쇄」를 위험으로 적었으나 승격 행이 원장에 0. STD-SYS-052(환경변수 정합)는 누락 키 안건이라 다른 일,"/Users/innojini/Dev/huni-skin-shopby/src/lib/printly/huni.ts:10,13 · src/app/api/printly/requote/route.ts:15 · src/app/layout.tsx:39-40"
1.탐색·상세+위젯임베드,신규제안,NEW-M3,샵바이 상품옵션 신규 경로 채택 판정(option-management-code · options/{optionNo}),김동학,원장행 없음,,t61-manual-read,최신 명세에만 있는 경로라 4월본 기준 원장에는 안건 자체가 없다. 위젯 옵션↔샵바이 옵션 매핑 설계에 영향,t61/spec-latest/product-shop-public.yml(최신본 · 4월 로컬본 대비 +7경로) · huni-mall grep -rF 'option-management-code' src/ → 0건
2.장바구니·주문·결제,원장,STD-ART-027,과거 주문 파일 재사용 재주문,서희항+김동학,미착수,분할,rule-track,,F-010/SCOPE-010/IA-010 주문상세조회(편집상품 미리보기) CUSTOM·미착수
2.장바구니·주문·결제,원장,STD-ART-029,가변데이터 인쇄(VDP) 데이터 업로드·병합,김동학,미착수,재배정,evidence-path,,"L3/legacy-normalized.json#F-055,IA-055,SCOPE-055 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:56 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A56:K56 || P1판정(260902): huni-skin-shopby 전수 grep 'vdp|가변데이터' 0건(260902)"
2.장바구니·주문·결제,원장,STD-B2B-004,후불 여신한도 설정,김동학,미착수,미정,rule-track,,print-kb/wiki/policy/custom-dev.md#CST-07 · L4 사유: F-141 후불결제(돈·주문) 미착수.
2.장바구니·주문·결제,원장,STD-B2B-005,후불 주문 승인·미결제 관리,김동학+신우진,미착수,분할,rule-track,,print-kb/wiki/policy/order-mgmt.md#OMG-04 · L4 사유: 후불 승인·미결제 관리 L2 무근거.
2.장바구니·주문·결제,원장,STD-B2B-008,거래처 원장(온·오프라인 통합),김동학,미착수,미정,rule-track,,print-kb/wiki/policy/custom-dev.md#CST-06 · L4 사유: 온·오프라인 통합 원장 + 계좌관리. 전부 CUSTOM.
2.장바구니·주문·결제,원장,STD-B2B-009,원장 데이터 파일 생성(.txt 연계),김동학,미착수,미정,rule-track,,print-quote/04_design/ia.md §2.3 SM-A-02 .txt 생성 · L4 사유: .txt 연계 생성 미구현.
2.장바구니·주문·결제,원장,STD-ORD-006,구매가능 검증(결제 전 sanity),김동학,부분,담당맞음,merged-owner_side,,raw/webadmin/webadmin/config/urls.py:249 (validate) — X-CR-ENFORCE-CLIENT-01 호출 지점 0건
2.장바구니·주문·결제,원장,STD-ORD-011,쿠폰·배송지 반영 최종 금액 계산,김동학,부분,담당맞음,merged-owner_side,,"huni-skin-shopby/src/lib/api/hooks/use-order-sheet.ts:177,252 · use-order-coupons.ts:34,69,102"
2.장바구니·주문·결제,원장,STD-ORD-014,배송 요청사항 입력,김동학,미착수,담당맞음,merged-owner_side,,F-077/SCOPE-077/IA-077 배송정보입력 PARTIAL·미착수
2.장바구니·주문·결제,원장,STD-ORD-015,나중배송(배송지 미입력) 주문,김동학,미착수,재배정,merged-owner_side,,huni-shopby/01_research/order-to-delivery-contract.md §2.2 later-input-shippings
2.장바구니·주문·결제,원장,STD-ORD-016,주문 제목/작업명 입력,김동학,부분,담당맞음,merged-owner_side,,print-story/02_capture/order-flow-steps.md §A-6 주문제목
2.장바구니·주문·결제,원장,STD-ORD-017,출고 옵션 선택(오늘출고·토요일출고),김동학,미착수,재배정,merged-owner_side,,print-story/02_capture/order-flow-steps.md §C-6 출고 옵션
2.장바구니·주문·결제,원장,STD-ORD-018,약관 동의(구매·개인정보 제3자),김동학,부분,담당맞음,merged-owner_side,,X-SHOPBY-TERMS-01 Q-MISC-1 reserve 필수 agreementTermsAgrees termsType 세트 미상
2.장바구니·주문·결제,원장,STD-ORD-019,주문 예약(reserve) 및 금액 검증,김동학,부분,담당맞음,merged-owner_side,,huni-skin-shopby/src/components/checkout/checkout-form.tsx:157-158 · src/lib/payments/ncp-pay.ts:47-70 — X-PAY-FLOW-01 reserve/paymentAmtForVerification 산식 미상
2.장바구니·주문·결제,원장,STD-ORD-021,주문 상태 조회(회원),김동학,부분,담당맞음,merged-owner_side,,"huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84,354"
2.장바구니·주문·결제,원장,STD-ORD-023,주문 상태 머신 전이 표시(결제완료→상품준비→배송준비→배송중→배송완료→구매확정),김동학,부분,담당맞음,merged-owner_side,,"huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84,354 · X-DEC-MIRROR-01 샵바이→후니 상태 미러 채널 미확인"
2.장바구니·주문·결제,원장,STD-ORD-024,인쇄 공정 단계 상태 노출(검판·출력·후가공),김동학,미착수,담당맞음,merged-owner_side,,SCOPE-162 주문/주문상세 런타임 그릇 구축 PARTIAL·미착수
2.장바구니·주문·결제,원장,STD-ORD-025,구매확정(고객·자동),김동학,미착수,재배정,merged-owner_side,,huni-shopby/01_research/order-to-delivery-contract.md §3 confirm
2.장바구니·주문·결제,원장,STD-ORD-026,재주문(동일 사양 반복),김동학,미착수,담당맞음,merged-owner_side,,F-011/SCOPE-011/IA-011 옵션보관함 CUSTOM·미착수
2.장바구니·주문·결제,원장,STD-ORD-029,결제 직전 재견적(최종 금액을 다시 확정하고 결제로 넘김),김동학,미착수,담당맞음,merged-owner_side,,L0/N3/ARCHITECTURE-v2.md §10 A-15 (cart/* 미채택 · order/register 미호출 · 결제 직전 재견적 누락)
2.장바구니·주문·결제,원장,STD-ORD-030,주문 생성 직후 후니 주문등록 S2S 호출(order/register),김동학,미착수,담당맞음,merged-owner_side,,L0/M2/interface-6.md I-4 · L0/N3/ARCHITECTURE-v2.md §10 A-15 (cart/* 미채택 · order/register 미호출) · L0/M2/contract-c2-shopby.md:396 저장소 전체 grep 결과 `order/register`·`X-Huni-Server-Key` 0건 · 수신측은 raw/webadmin/webadmin/config/urls.py:267 에 이미 있다
2.장바구니·주문·결제,원장,STD-ORD-032,비회원 주문서 무통장 계좌·입금자명 표시(회원 주문서와 동일 여부),김동학,부분,담당맞음,merged-owner_side,,https://shopby.huniprinting.co.kr/checkout/202609160243938684 @ 2026-09-16 21:33
2.장바구니·주문·결제,원장,STD-PAY-001,신용카드 결제(PG),김동학,미착수,재배정,merged-owner_side,,huni-skin-shopby/src/components/checkout/checkout-form.tsx:8-9 주석 'PG 연동은 후속 — 현재는 무통장만 동작' (SB-032 absent) · X-PG-CONTRACT-01 이니시스 계약 미체결
2.장바구니·주문·결제,원장,STD-PAY-002,실시간 계좌이체,김동학,미착수,재배정,merged-owner_side,,huni-skin-shopby/src/components/checkout/checkout-form.tsx:8-9 (SB-032 absent)
2.장바구니·주문·결제,원장,STD-PAY-007,적립금(프린팅머니) 결제,김동학,부분,재배정,merged-owner_side,,"huni-skin-shopby/src/lib/api/hooks/use-points.ts:22,62 (조회 done) · checkout-form.tsx:52 (적립/충전은 mock)"
2.장바구니·주문·결제,원장,STD-PAY-008,복합결제(적립금+PG 병용),김동학,미착수,담당맞음,merged-owner_side,,huni-skin-shopby/src/components/checkout/checkout-form.tsx:52 (mock)
2.장바구니·주문·결제,원장,STD-PAY-010,B2B 후불결제,김동학,미착수,재배정,merged-owner_side,,F-141/SCOPE-141/IA-141 주문관리-후불결제 PARTIAL·미착수
2.장바구니·주문·결제,원장,STD-PAY-011,PG 리다이렉트·결제 확정 콜백,김동학,부분,담당맞음,merged-owner_side,,huni-skin-shopby/src/lib/payments/ncp-pay.ts:47-70 · src/app/api/pay-config/route.ts:8 — X-PAY-FLOW-01 PG 콜백 흐름 미상
2.장바구니·주문·결제,원장,STD-PAY-012,결제 실패 안내·재시도,김동학,미착수,담당맞음,merged-owner_side,,X-PAY-FLOW-01 결제 확정 흐름 미상
2.장바구니·주문·결제,원장,STD-PAY-013,결제 금액 위변조 검증(서버 재계산 대조),김동학+서희항,부분,분할,manual-read,,huni-skin-shopby/src/lib/api/widget-order.ts:26-35 (10원×orderCnt 적재 — 견적가 우회 적재) · X-PRICE-BRIDGE-01 동적 계산가 무손실 환원 경로 미확정
2.장바구니·주문·결제,원장,STD-PAY-014,결제 포기 처리,김동학,미착수,담당맞음,merged-owner_side,,huni-shopby/01_research/order-to-delivery-contract.md §1 PAY_CANCEL
2.장바구니·주문·결제,원장,STD-PAY-015,현금영수증 발급,김동학,미착수,재배정,merged-owner_side,,huni-skin-shopby/src/components/mypage/document-section.tsx:1-6 (정적 표 UI만·API 호출 없음 = stub) · X-TAXDOC-01 팝빌 연동 미결
2.장바구니·주문·결제,원장,STD-PAY-016,세금계산서 발급 신청·내역,김동학,미착수,담당맞음,merged-owner_side,,huni-skin-shopby/src/components/mypage/document-section.tsx:1-6 (stub)
2.장바구니·주문·결제,원장,STD-PAY-017,사업자정보 등록·관리,김동학,부분,재배정,merged-owner_side,,F-026/027·SCOPE-026/027·IA-026/027 사업자정보 목록·등록 PARTIAL·미착수
2.장바구니·주문·결제,원장,STD-PAY-018,거래명세서 출력,김동학,부분,재배정,merged-owner_side,,F-142/SCOPE-142/IA-142 증빙서류발급 관리 PARTIAL·미착수
2.장바구니·주문·결제,원장,STD-PAY-020,카드 결제 화면 분기(비회원·회원 주문서),김동학,미착수,담당맞음,merged-owner_side,,https://shopby.huniprinting.co.kr/checkout/202609160243938684 @ 2026-09-16 21:33
2.장바구니·주문·결제,원장,STD-PAY-025,샵바이 어드민의 카카오페이 신청 경로 확인,김동학,미착수,재배정,rule-step,,후니정기미팅 정리260915.html §결제수단 · 미결 3
2.장바구니·주문·결제,원장,STD-PAY-031,위젯 총액↔shopby 청구액 「10원×수량」 모델 정합 검증(표시↔청구 불일치 알려진 이슈),김동학+서희항,미착수,분할,manual-read,,huni-skin-shopby/README.md:70 「⚠ 알려진 이슈」 · commit 223c490 `orderCnt=총액÷10` · commit 30cb88a 본문 「10원×수량 모델과 일치」
2.장바구니·주문·결제,원장,STD-PRM-007,장바구니/주문서 쿠폰 적용,김동학,부분,담당맞음,merged-owner_side,쿠폰 적용은 주문서 금액 확정 경로(order-server /orders/coupons/calculate 신설과 맞물림),huni-skin-shopby/src/lib/api/hooks/use-order-coupons.ts:34
2.장바구니·주문·결제,원장,T3-1,회원 장바구니 인증 결함 수정(서버 프록시 토큰 · D-1) — 결함 1·2·3·5 공통 뿌리,김동학,부분,담당맞음,rule-step,회원 장바구니 인증 결함(서버 프록시 토큰) = 담기 경로 본체 — 회원 축이 아니다,_workspace/huni-launch-runway/07_rebaseline/S/S6-defects/defect-code-analysis.md:5
2.장바구니·주문·결제,원장,T3-3,주문서·결제 — 결제수단 범위 결정 후 스킨 결제 분기·주문 성립 1건 종단,김동학+신우진,부분,분할,rule-track,주문서·결제 결제수단 분기·주문 성립 종단 = ②의 본체,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:12
2.장바구니·주문·결제,원장,T4-1,주문 등록 다리 — 스킨이 결제 직후 order/register 를 부르게 배선(부르는 쪽 0건),김동학,부분,담당맞음,rule-step,,_workspace/huni-launch-runway/07_rebaseline/S/S2-pipeline/pipeline-status.csv:2
2.장바구니·주문·결제,신규제안,NEW-M4,결제 직전 재견적 호출 위치 확정 — 배관은 장바구니에만 있다,김동학,원장행 없음,,t61-manual-read,STD-ORD-029 는 「미착수」 한 줄이다. 실제로는 프록시 라우트·클라이언트 헬퍼가 이미 있고 **주문서·결제 경로 호출만 0건**이다 — 남은 일의 크기가 원장 표기와 다르다(행 분할 제안),"/Users/innojini/Dev/huni-skin-shopby/src/components/cart/cart-page.tsx:126,177 (유일한 호출부) · src/app/api/printly/requote/route.ts:15 · src/lib/api/requote.ts:47"
2.장바구니·주문·결제,신규제안,NEW-M5,나중배송을 샵바이 신규 API(hold-delivery)로 구현할지 판정,김동학,원장행 없음,,t61-manual-read,STD-ORD-015(나중배송)는 4월본에 API 가 없던 시점 판정이라 자체 구현 전제다. 최신본에 경로가 생겨 work_type 이 build→integrate 로 바뀔 수 있다,t61/spec-latest/order-server-public.yml `/orders/hold-delivery`·`/orders/release-hold-delivery`(최신본 신규) · huni-mall grep -rF 'hold-delivery' src/ → 0건
2.장바구니·주문·결제,신규제안,NEW-M6,쿠폰 경로 교체 — 상품쿠폰 다운로드 2경로가 최신 명세에서 삭제됐다,김동학,원장행 없음,,t61-manual-read,삭제 2경로는 huni-mall 이 아직 안 써서 회귀는 없다. 다만 「상품 쿠폰 받기」 UI 를 설계하기 전에 대체 경로를 확정해야 한다 — 원장 행 0,t61/spec-latest/promotion-shop-public.yml(삭제: /coupons/products/download · /coupons/products/issuable/coupons · 신설: /promotion-configs/coupon) · order-server 신설 /orders/coupons/available·/orders/coupons/calculate · huni-mall grep -rF 5패턴 → 전부 0건
2.장바구니·주문·결제,신규제안,NEW-M7,앱카드 결제(app-card) 채택 판정,김동학,원장행 없음,,t61-manual-read,STD-PAY-001(신용카드 결제)의 구현 선택지가 최신본에서 하나 늘었다. 4월본 기준 원장에는 없는 갈래,t61/spec-latest/order-server-public.yml `/app-card/available`·`/app-card/payment-key`(최신본 신규) · huni-mall grep -rF 'app-card' src/ → 0건
3.회원·마이페이지·클레임,원장,STD-CLM-001,주문 전체 취소 신청,김동학,미착수,담당맞음,merged-owner_side,,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*
3.회원·마이페이지·클레임,원장,STD-CLM-002,옵션 부분 취소 신청,김동학,미착수,담당맞음,merged-owner_side,,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*
3.회원·마이페이지·클레임,원장,STD-CLM-003,비회원 취소 신청,김동학,미착수,담당맞음,merged-owner_side,,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*
3.회원·마이페이지·클레임,원장,STD-CLM-004,제작 착수 후 취소 제한·협의 안내,김동학,미착수,재배정,merged-owner_side,,print-kb/wiki/policy/operations.md#OPS-01 케이스별 협의
3.회원·마이페이지·클레임,원장,STD-CLM-005,반품 신청(단일·복수),김동학,미착수,담당맞음,merged-owner_side,,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*
3.회원·마이페이지·클레임,원장,STD-CLM-006,교환 신청(출고 전/후),김동학,미착수,담당맞음,merged-owner_side,,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*
3.회원·마이페이지·클레임,원장,STD-CLM-007,환불 예상금액 계산,김동학,미착수,담당맞음,merged-owner_side,,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*
3.회원·마이페이지·클레임,원장,STD-CLM-008,환불계좌 등록·수정,김동학,미착수,담당맞음,merged-owner_side,,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*
3.회원·마이페이지·클레임,원장,STD-CLM-009,클레임 철회,김동학,미착수,담당맞음,merged-owner_side,,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*
3.회원·마이페이지·클레임,원장,STD-CLM-010,클레임 사유 분류 선택(12종),김동학,미착수,담당맞음,merged-owner_side,,huni-shopby/01_research/order-to-delivery-contract.md §4.2 claimReasonType
3.회원·마이페이지·클레임,원장,STD-CLM-012,클레임 목록·상세 조회,김동학,미착수,담당맞음,merged-owner_side,,X-SHOPBY-CLAIM-FSM-01 클레임 상태머신 미폐합 — 수거진행 중간상태 누락·입금대기/교환대기/환불완료 전이 미정의
3.회원·마이페이지·클레임,원장,STD-CLM-014,인쇄 불량 접수(사진 첨부),김동학,미착수,담당맞음,merged-owner_side,,print-kb/wiki/policy/operations.md#OPS-04 클레임/불량
3.회원·마이페이지·클레임,원장,STD-CLM-016,1:1 문의 등록·답변,김동학,미착수,담당맞음,merged-owner_side,,huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent)
3.회원·마이페이지·클레임,원장,STD-CLM-017,상품 Q&A 등록·답변,김동학,미착수,담당맞음,merged-owner_side,,huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent)
3.회원·마이페이지·클레임,원장,STD-CLM-018,공지사항·FAQ 열람,김동학,부분,재배정,merged-owner_side,,huni-skin-shopby/src/app/(main)/notice/page.tsx:1-27 · src/lib/api/server/board.ts:1 (공지 done) — FAQ 라우트 부재(SB-056 absent)
3.회원·마이페이지·클레임,원장,STD-CLM-019,기업인쇄 상담 접수,김동학,미착수,담당맞음,merged-owner_side,,huni-skin-shopby src/app/(main) 하위 inquiry 라우트 부재 (SB-056 absent)
3.회원·마이페이지·클레임,원장,STD-CLM-020,디자인 상담 접수,김동학,미착수,담당맞음,merged-owner_side,,huni-skin-shopby src/app/(main) 하위 inquiry 라우트 부재 (SB-056 absent)
3.회원·마이페이지·클레임,원장,STD-CLM-021,디자인 의뢰하기(주문 흐름 내),김동학,미착수,재배정,merged-owner_side,,https://shopby.huniprinting.co.kr/checkout/202609160243938684 @ 2026-09-16 21:33
3.회원·마이페이지·클레임,원장,STD-MEM-002,약관 동의·전체동의,김동학,부분,담당맞음,merged-owner_side,,"[L4b보강] huni-skin-shopby/src/components/auth/signup-form.tsx:24-25,75-76"
