prd_cd,prd_nm,axis,verdict,evidence
PRD_000019,투명엽서,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['직각', '둥근'])"
PRD_000019,투명엽서,묶음수,N/A,건수 미표기·라이브 0
PRD_000019,투명엽서,페이지룰,MISSING,권위 판수(needed=Y) 라이브 page_rule 0
PRD_000020,화이트인쇄엽서,사이즈코드,MATCH,권위 4 ↔ 라이브 4 일치
PRD_000020,화이트인쇄엽서,도수,N/A,도수 미사용·라이브 0
PRD_000020,화이트인쇄엽서,인쇄옵션,MISSING,"권위 인쇄옵션 ['화이트인쇄(없음)', '화이트인쇄(단면)', '화이트인쇄(양면)']... 라이브 미적재: ['별색인쇄']"
PRD_000020,화이트인쇄엽서,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000020,화이트인쇄엽서,자재,MATCH,권위 4종 ↔ 라이브 4종 (표기차 g단위 정규화 일치)
PRD_000020,화이트인쇄엽서,공정,N/A,후가공 미사용·라이브 후가공 0
PRD_000020,화이트인쇄엽서,묶음수,N/A,건수 미표기·라이브 0
PRD_000020,화이트인쇄엽서,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000021,핑크별색엽서,사이즈코드,MATCH,권위 4 ↔ 라이브 4 일치
PRD_000021,핑크별색엽서,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000021,핑크별색엽서,인쇄옵션,MISSING,"권위 인쇄옵션 ['핑크인쇄(없음)', '핑크인쇄(단면)', '핑크인쇄(양면)']... 라이브 미적재: ['별색인쇄']"
PRD_000021,핑크별색엽서,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000021,핑크별색엽서,자재,MATCH,권위 3종 ↔ 라이브 3종 (표기차 g단위 정규화 일치)
PRD_000021,핑크별색엽서,공정,N/A,후가공 미사용·라이브 후가공 0
PRD_000021,핑크별색엽서,묶음수,N/A,건수 미표기·라이브 0
PRD_000021,핑크별색엽서,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000022,금은별색엽서,사이즈코드,MATCH,권위 4 ↔ 라이브 4 일치
PRD_000022,금은별색엽서,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000022,금은별색엽서,인쇄옵션,MISSING,"권위 인쇄옵션 ['금색인쇄(없음)', '금색인쇄(단면)', '금색인쇄(양면)']... 라이브 미적재: ['별색인쇄']"
PRD_000022,금은별색엽서,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000022,금은별색엽서,자재,MATCH,권위 3종 ↔ 라이브 3종 (표기차 g단위 정규화 일치)
PRD_000022,금은별색엽서,공정,N/A,후가공 미사용·라이브 후가공 0
PRD_000022,금은별색엽서,묶음수,N/A,건수 미표기·라이브 0
PRD_000022,금은별색엽서,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000023,모양엽서,사이즈코드,MATCH,권위 1 ↔ 라이브 1 일치
PRD_000023,모양엽서,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000023,모양엽서,인쇄옵션,MISSING,권위 인쇄옵션 ['자유형'] 라이브 0
PRD_000023,모양엽서,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000023,모양엽서,자재,MATCH,권위 3종 ↔ 라이브 3종 (표기차 g단위 정규화 일치)
PRD_000023,모양엽서,공정,N/A,후가공 미사용·라이브 후가공 0
PRD_000023,모양엽서,묶음수,N/A,건수 미표기·라이브 0
PRD_000023,모양엽서,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000024,포토카드,사이즈코드,MATCH,권위 1 ↔ 라이브 1 일치
PRD_000024,포토카드,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000024,포토카드,인쇄옵션,MISMATCH,"권위 인쇄옵션 ['화이트인쇄(단면)', '무광코팅(양면)', '유광코팅(양면)']... 라이브 미적재: ['별색인쇄']"
PRD_000024,포토카드,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000024,포토카드,자재,MATCH,권위 1종 ↔ 라이브 1종 (표기차 g단위 정규화 일치)
PRD_000024,포토카드,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['직각', '둥근'])"
PRD_000024,포토카드,묶음수,EXTRA,"needed=N인데 라이브 bundle [['20', 'QTY_UNIT.06']]"
PRD_000024,포토카드,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000025,투명포토카드,사이즈코드,MATCH,권위 1 ↔ 라이브 1 일치
PRD_000025,투명포토카드,도수,MATCH,권위 ['단면'] ↔ 라이브 print_side ['단면']·print_opt_cd 적재
PRD_000025,투명포토카드,인쇄옵션,MISMATCH,권위 인쇄옵션 ['화이트인쇄(단면)']... 라이브 미적재: ['별색인쇄']
PRD_000025,투명포토카드,판형,MATCH,"권위 판형 ['315x467'] ↔ 라이브 출력판형 ['315x467', '57x88']"
PRD_000025,투명포토카드,자재,MATCH,권위 2종 ↔ 라이브 1종 (표기차 g단위 정규화 일치)
PRD_000025,투명포토카드,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['직각', '둥근'])"
PRD_000025,투명포토카드,묶음수,N/A,건수 미표기·라이브 0
PRD_000025,투명포토카드,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000026,종이슬로건,사이즈코드,MATCH,권위 2 ↔ 라이브 2 일치
PRD_000026,종이슬로건,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000026,종이슬로건,인쇄옵션,MATCH,"권위 인쇄옵션 ↔ 라이브 processes 적재(코팅=True,접지=False,별색=False)"
PRD_000026,종이슬로건,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000026,종이슬로건,자재,MATCH,권위 1종 ↔ 라이브 1종 (표기차 g단위 정규화 일치)
PRD_000026,종이슬로건,공정,N/A,후가공 미사용·라이브 후가공 0
PRD_000026,종이슬로건,묶음수,N/A,건수 미표기·라이브 0
PRD_000026,종이슬로건,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000027,2단접지카드,사이즈코드,MATCH,권위 5 ↔ 라이브 5 일치
PRD_000027,2단접지카드,도수,MATCH,권위 ['양면'] ↔ 라이브 print_side ['양면']·print_opt_cd 적재
PRD_000027,2단접지카드,인쇄옵션,MATCH,"권위 인쇄옵션 ↔ 라이브 processes 적재(코팅=False,접지=True,별색=False)"
PRD_000027,2단접지카드,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000027,2단접지카드,자재,MATCH,권위=*별도설정·라이브 14종
PRD_000027,2단접지카드,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['금유광', '은유광', '동박', '먹유광', '청박', '적박'])"
PRD_000027,2단접지카드,묶음수,N/A,건수 미표기·라이브 0
PRD_000027,2단접지카드,페이지룰,MISSING,권위 판수(needed=Y) 라이브 page_rule 0
PRD_000028,미니접지카드,사이즈코드,MATCH,권위 4 ↔ 라이브 4 일치
PRD_000028,미니접지카드,도수,MATCH,권위 ['양면'] ↔ 라이브 print_side ['양면']·print_opt_cd 적재
PRD_000028,미니접지카드,인쇄옵션,MISSING,"권위 인쇄옵션 ['2단 가로접지\n★사이즈선택 : 90x50 / 86x52', '2단 세로접지\n★사이즈선택 : 50x90 / 53x86']... 라이브 미적재: ['접지']"
PRD_000028,미니접지카드,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000028,미니접지카드,자재,MATCH,권위=*별도설정·라이브 14종
PRD_000028,미니접지카드,공정,MISSING,"권위 공정 ['1개', '2개', '3개', '박(없음)', '박(있음)'] 라이브 0"
PRD_000028,미니접지카드,묶음수,N/A,건수 미표기·라이브 0
PRD_000028,미니접지카드,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000029,3단접지카드,사이즈코드,MATCH,권위 3 ↔ 라이브 3 일치
PRD_000029,3단접지카드,도수,MATCH,권위 ['양면'] ↔ 라이브 print_side ['양면']·print_opt_cd 적재
PRD_000029,3단접지카드,인쇄옵션,MATCH,"권위 인쇄옵션 ↔ 라이브 processes 적재(코팅=False,접지=True,별색=False)"
PRD_000029,3단접지카드,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000029,3단접지카드,자재,MATCH,권위=*별도설정·라이브 14종
PRD_000029,3단접지카드,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['금유광', '은유광', '동박', '먹유광', '청박', '적박'])"
PRD_000029,3단접지카드,묶음수,N/A,건수 미표기·라이브 0
PRD_000029,3단접지카드,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000030,지그재그엽서,사이즈코드,MATCH,권위 2 ↔ 라이브 2 일치
PRD_000030,지그재그엽서,도수,MATCH,권위 ['양면'] ↔ 라이브 print_side ['양면']·print_opt_cd 적재
PRD_000030,지그재그엽서,인쇄옵션,MATCH,"권위 인쇄옵션 ↔ 라이브 processes 적재(코팅=False,접지=True,별색=False)"
PRD_000030,지그재그엽서,판형,MISMATCH,"권위 ['330x660'] vs 라이브 ['154x604', '604x154']"
PRD_000030,지그재그엽서,자재,MATCH,권위 1종 ↔ 라이브 1종 (표기차 g단위 정규화 일치)
PRD_000030,지그재그엽서,공정,N/A,후가공 미사용·라이브 후가공 0
PRD_000030,지그재그엽서,묶음수,N/A,건수 미표기·라이브 0
PRD_000030,지그재그엽서,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000031,프리미엄명함,사이즈코드,MATCH,권위 3 ↔ 라이브 3 일치
PRD_000031,프리미엄명함,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000031,프리미엄명함,인쇄옵션,N/A,인쇄옵션 미사용(needed=N)
PRD_000031,프리미엄명함,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000031,프리미엄명함,자재,MATCH,권위=*별도설정·라이브 16종
PRD_000031,프리미엄명함,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['적박', '홀로그램', '트윙클', '은유광', '동박', '먹유광'])"
PRD_000031,프리미엄명함,묶음수,MISSING,권위 건수=Y 라이브 bundle 0
PRD_000031,프리미엄명함,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000032,코팅명함,사이즈코드,MATCH,권위 2 ↔ 라이브 2 일치
PRD_000032,코팅명함,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000032,코팅명함,인쇄옵션,MATCH,"권위 인쇄옵션 ↔ 라이브 processes 적재(코팅=True,접지=False,별색=False)"
PRD_000032,코팅명함,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000032,코팅명함,자재,MATCH,권위 2종 ↔ 라이브 2종 (표기차 g단위 정규화 일치)
PRD_000032,코팅명함,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['둥근', '직각'])"
PRD_000032,코팅명함,묶음수,MISSING,권위 건수=Y 라이브 bundle 0
PRD_000032,코팅명함,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000033,스탠다드명함,사이즈코드,MATCH,권위 2 ↔ 라이브 2 일치
PRD_000033,스탠다드명함,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000033,스탠다드명함,인쇄옵션,N/A,인쇄옵션 미사용(needed=N)
PRD_000033,스탠다드명함,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000033,스탠다드명함,자재,MATCH,권위 5종(백모조220=백색모조지220g 약어일치) ↔ 라이브 5종 매칭
PRD_000033,스탠다드명함,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['둥근', '직각', '가변텍스트', '가변이미지'])"
PRD_000033,스탠다드명함,묶음수,MISSING,권위 건수=Y 라이브 bundle 0
PRD_000033,스탠다드명함,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000034,펄명함,사이즈코드,MATCH,권위 1 ↔ 라이브 1 일치
PRD_000034,펄명함,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000034,펄명함,인쇄옵션,N/A,인쇄옵션 미사용(needed=N)
PRD_000034,펄명함,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000034,펄명함,자재,MATCH,권위 4종 ↔ 라이브 4종 (표기차 g단위 정규화 일치)
PRD_000034,펄명함,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['청박', '직각', '금유광', '둥근', '은유광', '동박'])"
PRD_000034,펄명함,묶음수,MISSING,권위 건수=Y 라이브 bundle 0
PRD_000034,펄명함,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000035,모양명함,사이즈코드,MATCH,권위 1 ↔ 라이브 1 일치
PRD_000035,모양명함,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000035,모양명함,인쇄옵션,MISSING,"권위 인쇄옵션 ['한쪽라운딩', '나뭇잎', '큰라운딩'] 라이브 0"
PRD_000035,모양명함,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000035,모양명함,자재,MATCH,권위 1종 ↔ 라이브 1종 (표기차 g단위 정규화 일치)
PRD_000035,모양명함,공정,N/A,후가공 미사용·라이브 후가공 0
PRD_000035,모양명함,묶음수,MISSING,권위 건수=Y 라이브 bundle 0
PRD_000035,모양명함,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000036,미니모양명함,사이즈코드,MATCH,권위 1 ↔ 라이브 1 일치
PRD_000036,미니모양명함,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000036,미니모양명함,인쇄옵션,MISSING,"권위 인쇄옵션 ['사각라운딩', '물방울', '원형'] 라이브 0"
PRD_000036,미니모양명함,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000036,미니모양명함,자재,MATCH,권위 1종 ↔ 라이브 1종 (표기차 g단위 정규화 일치)
PRD_000036,미니모양명함,공정,N/A,후가공 미사용·라이브 후가공 0
PRD_000036,미니모양명함,묶음수,MISSING,권위 건수=Y 라이브 bundle 0
PRD_000036,미니모양명함,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000037,오리지널박명함,사이즈코드,MATCH,권위 1 ↔ 라이브 1 일치
PRD_000037,오리지널박명함,도수,N/A,도수 미사용·라이브 0
PRD_000037,오리지널박명함,인쇄옵션,N/A,인쇄옵션 미사용(needed=N)
PRD_000037,오리지널박명함,판형,CONFIRM,권위 출력용지규격 빈값(비판형) vs 라이브 plate ['90x50'] — 체크리스트 needed=Y vs 도메인 needed=N 충돌
PRD_000037,오리지널박명함,자재,MATCH,권위 5종 ↔ 라이브 5종 (표기차 g단위 정규화 일치)
PRD_000037,오리지널박명함,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['트윙클', '먹유광', '청박', '적박', '동박', '홀로그램'])"
PRD_000037,오리지널박명함,묶음수,MISSING,권위 건수=Y 라이브 bundle 0
PRD_000037,오리지널박명함,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000038,형압명함,사이즈코드,MATCH,권위 1 ↔ 라이브 1 일치
PRD_000038,형압명함,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000038,형압명함,인쇄옵션,N/A,인쇄옵션 미사용(needed=N)
PRD_000038,형압명함,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000038,형압명함,자재,MISSING,별도설정인데 라이브 자재 0
PRD_000038,형압명함,공정,MISMATCH,"권위 공정 ['직각', '둥근', '형압(없음)', '형압(음각)', '형압(양각)'] 라이브 누락 ['형압']"
PRD_000038,형압명함,묶음수,MISSING,권위 건수=Y 라이브 bundle 0
PRD_000038,형압명함,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000039,투명명함,사이즈코드,MATCH,권위 1 ↔ 라이브 1 일치
PRD_000039,투명명함,도수,MATCH,권위 ['단면'] ↔ 라이브 print_side ['단면']·print_opt_cd 적재
PRD_000039,투명명함,인쇄옵션,MISMATCH,권위 인쇄옵션 ['화이트인쇄(단면)']... 라이브 미적재: ['별색인쇄']
PRD_000039,투명명함,판형,MATCH,"권위 판형 ['315x467'] ↔ 라이브 출력판형 ['315x467', '92x52']"
PRD_000039,투명명함,자재,MATCH,권위 2종 ↔ 라이브 1종 (표기차 g단위 정규화 일치)
PRD_000039,투명명함,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['직각', '둥근'])"
PRD_000039,투명명함,묶음수,MISSING,권위 건수=Y 라이브 bundle 0
PRD_000039,투명명함,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000040,화이트인쇄명함,사이즈코드,MATCH,권위 1 ↔ 라이브 1 일치
PRD_000040,화이트인쇄명함,도수,N/A,도수 미사용·라이브 0
PRD_000040,화이트인쇄명함,인쇄옵션,MISMATCH,"권위 인쇄옵션 ['화이트인쇄(단면)', '화이트인쇄(양면)', '클리어인쇄(없음)']... 라이브 미적재: ['별색인쇄']"
PRD_000040,화이트인쇄명함,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000040,화이트인쇄명함,자재,MATCH,권위 4종 ↔ 라이브 4종 (표기차 g단위 정규화 일치)
PRD_000040,화이트인쇄명함,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['둥근', '직각'])"
PRD_000040,화이트인쇄명함,묶음수,MISSING,권위 건수=Y 라이브 bundle 0
PRD_000040,화이트인쇄명함,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000041,스탠다드 쿠폰/상품권,사이즈코드,MATCH,권위 2 ↔ 라이브 2 일치
PRD_000041,스탠다드 쿠폰/상품권,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000041,스탠다드 쿠폰/상품권,인쇄옵션,N/A,인쇄옵션 미사용(needed=N)
PRD_000041,스탠다드 쿠폰/상품권,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000041,스탠다드 쿠폰/상품권,자재,MATCH,권위 4종 ↔ 라이브 4종 (표기차 g단위 정규화 일치)
PRD_000041,스탠다드 쿠폰/상품권,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['오시', '미싱', '가변텍스트', '가변이미지'])"
PRD_000041,스탠다드 쿠폰/상품권,묶음수,N/A,건수 미표기·라이브 0
PRD_000041,스탠다드 쿠폰/상품권,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000042,프리미엄 쿠폰/상품권,사이즈코드,MATCH,권위 2 ↔ 라이브 2 일치
PRD_000042,프리미엄 쿠폰/상품권,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000042,프리미엄 쿠폰/상품권,인쇄옵션,N/A,인쇄옵션 미사용(needed=N)
PRD_000042,프리미엄 쿠폰/상품권,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000042,프리미엄 쿠폰/상품권,자재,MATCH,권위 8종 ↔ 라이브 8종 (표기차 g단위 정규화 일치)
PRD_000042,프리미엄 쿠폰/상품권,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['은유광', '홀로그램', '동박', '적박', '청박', '먹유광'])"
PRD_000042,프리미엄 쿠폰/상품권,묶음수,N/A,건수 미표기·라이브 0
PRD_000042,프리미엄 쿠폰/상품권,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000043,인쇄배경지(OPP봉투타입),사이즈코드,MATCH,권위 6 ↔ 라이브 6 일치
PRD_000043,인쇄배경지(OPP봉투타입),도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000043,인쇄배경지(OPP봉투타입),인쇄옵션,MISSING,"권위 인쇄옵션 ['기본형(커팅없음)', '타공형', '핀고정형'] 라이브 0"
PRD_000043,인쇄배경지(OPP봉투타입),판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000043,인쇄배경지(OPP봉투타입),자재,MATCH,권위 1종 ↔ 라이브 1종 (표기차 g단위 정규화 일치)
PRD_000043,인쇄배경지(OPP봉투타입),공정,N/A,후가공 미사용·라이브 후가공 0
PRD_000043,인쇄배경지(OPP봉투타입),묶음수,N/A,건수 미표기·라이브 0
PRD_000043,인쇄배경지(OPP봉투타입),페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000044,인쇄배경지(투명케이스타입),사이즈코드,MATCH,권위 2 ↔ 라이브 2 일치
PRD_000044,인쇄배경지(투명케이스타입),도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000044,인쇄배경지(투명케이스타입),인쇄옵션,MISSING,"권위 인쇄옵션 ['기본형', '상하접지형']... 라이브 미적재: ['접지']"
PRD_000044,인쇄배경지(투명케이스타입),판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000044,인쇄배경지(투명케이스타입),자재,MATCH,권위 1종 ↔ 라이브 1종 (표기차 g단위 정규화 일치)
PRD_000044,인쇄배경지(투명케이스타입),공정,N/A,후가공 미사용·라이브 후가공 0
PRD_000044,인쇄배경지(투명케이스타입),묶음수,N/A,건수 미표기·라이브 0
PRD_000044,인쇄배경지(투명케이스타입),페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000045,인쇄헤더택,사이즈코드,MATCH,권위 4 ↔ 라이브 4 일치
PRD_000045,인쇄헤더택,도수,MATCH,권위 ['단면'] ↔ 라이브 print_side ['단면']·print_opt_cd 적재
PRD_000045,인쇄헤더택,인쇄옵션,MISSING,"권위 인쇄옵션 ['기본형(접지만)', '타공형']... 라이브 미적재: ['접지']"
PRD_000045,인쇄헤더택,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000045,인쇄헤더택,자재,MATCH,권위 1종 ↔ 라이브 1종 (표기차 g단위 정규화 일치)
PRD_000045,인쇄헤더택,공정,N/A,후가공 미사용·라이브 후가공 0
PRD_000045,인쇄헤더택,묶음수,N/A,건수 미표기·라이브 0
PRD_000045,인쇄헤더택,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000046,라벨/택,사이즈코드,MATCH,권위 3 ↔ 라이브 3 일치
PRD_000046,라벨/택,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000046,라벨/택,인쇄옵션,MISSING,"권위 인쇄옵션 ['사각', '라운딩', '삼각'] 라이브 0"
PRD_000046,라벨/택,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000046,라벨/택,자재,MATCH,권위 1종 ↔ 라이브 1종 (표기차 g단위 정규화 일치)
PRD_000046,라벨/택,공정,N/A,후가공 미사용·라이브 후가공 0
PRD_000046,라벨/택,묶음수,N/A,건수 미표기·라이브 0
PRD_000046,라벨/택,페이지룰,N/A,낱장 상품·page_rule 없음(판수=잡음)
PRD_000047,소량전단지,사이즈코드,MATCH,권위 4 ↔ 라이브 4 일치
PRD_000047,소량전단지,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
