prd_cd,prd_nm,상품군,제약시나리오,CN분류,가격영향경로,생산연관,현행상태,webadmin매핑후보,근거
PRD_000043,인쇄배경지(OPP봉투타입),디지털인쇄,커팅모양별 주문가능 사이즈 제한,CN-3 AMBIG,NONE-BOUND(경계) 사이즈=가격이나 커팅×사이즈 매핑 미명시·단가행 가름 불확정,U-3 Y(커팅),누락(AMBIG 실무진+옵션그룹0),정형(매핑 확정 후),dgp-resolution M6(Q-DGP-CUTSIZE)
PRD_000046,라벨/택,디지털인쇄,커팅모양별 주문가능 사이즈 제한,CN-3 AMBIG,NONE-BOUND(경계) 매핑 미명시,U-3 Y(커팅),누락(AMBIG 실무진),정형(매핑 확정 후),dgp-resolution M6
PRD_000027,2단접지카드,디지털인쇄,박 선택 시 박크기 ∈[30x30 90x140],CN-5,NONE-BOUND(無) 박비용=박칼라 옵션이 가름·크기범위=제조경계(단가행 불변),U-3 Y(박),누락(BLOCKED-VAR foil_w/foil_h var 부재),C-9 폼빌더 수치범위 미지원,dgp-resolution M4
PRD_000028,미니접지카드,디지털인쇄,박 선택 시 박크기 ∈[30x30 80x40],CN-5,NONE-BOUND(無) 제조경계·단가행 불변,U-3 Y(박),누락(BLOCKED-VAR),C-9 수치범위 미지원,dgp-resolution M4
PRD_000029,3단접지카드,디지털인쇄,박 선택 시 박크기 ∈[30x30 90x140],CN-5,NONE-BOUND(無) 제조경계,U-3 Y(박),누락(BLOCKED-VAR),C-9,dgp-resolution M4
PRD_000031,프리미엄명함,디지털인쇄,박 선택 시 박크기 ∈[20x20 80x40],CN-5,NONE-BOUND(無) 제조경계,U-3 Y(박),누락(BLOCKED-VAR),C-9,dgp-resolution M4
PRD_000034,펄명함,디지털인쇄,박 선택 시 박크기 ∈[20x20 80x40],CN-5,NONE-BOUND(無) 제조경계,U-3 Y(박),누락(BLOCKED-VAR),C-9,dgp-resolution M4
PRD_000038,형압명함,디지털인쇄,형압 선택 시 형압크기 ∈[20x20 80x40],CN-5,NONE-BOUND(無) 제조경계,U-3 Y(형압),누락(BLOCKED-VAR),C-9,dgp-resolution M4
PRD_000042,프리미엄 쿠폰/상품권,디지털인쇄,박 선택 시 박크기 ∈[30x30 130x58],CN-5,NONE-BOUND(無) 제조경계,U-3 Y(박),누락(BLOCKED-VAR),C-9,dgp-resolution M4
PRD_000027,2단접지카드,디지털인쇄,박 선택 시 최소수량 강제(예 10/200부),CN-5-COND(신규·이번 CN판정),有(간접) 박 on→bdl_qty≥N→수량구간 할인테이블이 총가를 가름,U-3 Y(박),누락(신규 §23발·값 미확정),C-9 조건부 수치비교(bdl_qty int·if-then) 폼빌더 한계,§23 HANDOFF item3(실무진 최소수량 확인 필요)
PRD_000029,3단접지카드,디지털인쇄,박 선택 시 최소수량 강제,CN-5-COND,有(간접) 수량구간 할인,U-3 Y(박),누락(신규 §23발),C-9 조건부 수치비교,§23 HANDOFF item3
PRD_000031,프리미엄명함,디지털인쇄,박 선택 시 최소수량 강제,CN-5-COND,有(간접) 수량구간 할인,U-3 Y(박),누락(신규 §23발),C-9 조건부 수치비교,§23 HANDOFF item3
PRD_000034,펄명함,디지털인쇄,박 선택 시 최소수량 강제,CN-5-COND,有(간접) 수량구간 할인,U-3 Y(박),누락(신규 §23발),C-9 조건부 수치비교,§23 HANDOFF item3
PRD_000069,무선책자,책자/셋트,박 선택 시 최소수량 강제,CN-5-COND,有(간접) 수량구간 할인,U-3 Y(박/형압),누락(신규 §23발),C-9 조건부 수치비교,§23 HANDOFF item3
PRD_000070,PUR책자,책자/셋트,박 선택 시 최소수량 강제,CN-5-COND,有(간접) 수량구간 할인,U-3 Y(박/형압),누락(신규 §23발),C-9 조건부 수치비교,§23 HANDOFF item3
PRD_000058,반칼원형스티커,스티커,RULE_001(siz_cd+sel_opts·죽은규칙),CN-3,NONE(현재 미발현·조건 실효),U-3 Y,제약있음(사용자 유지·테스트),점검만(재작성 금지),라이브 실측+HANDOFF
PRD_000118,아트프린트포스터,포스터/사인,자유치수 min/max 범위,CN-5,NONE-BOUND(無) 면적매트릭스 ceiling 처리·범위=주문경계(단가행 불변),U-3 Y(재단),제약있음(RULE_001·.01·nonspec 컬럼 중복 강제계층),C-9(수치범위·이미 .01 등록됨),판례P-4+라이브 실측
PRD_000120,방수포스터,포스터/사인,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,제약있음(RULE_001·.01),C-9(등록됨),판례P-4+실측
PRD_000121,접착방수포스터,포스터/사인,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,제약있음(RULE_001·.01),C-9(등록됨),판례P-4+실측
PRD_000122,접착투명포스터,포스터/사인,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,제약있음(RULE_001·.01),C-9(등록됨),판례P-4+실측
PRD_000124,린넨패브릭포스터,포스터/사인,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,제약있음(RULE_001·.01),C-9(등록됨),판례P-4+실측
PRD_000125,캔버스패브릭포스터,포스터/사인,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,제약있음(RULE_001·.01),C-9(등록됨),판례P-4+실측
PRD_000139,메쉬현수막,포스터/사인,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,제약있음(RULE_001·.01),C-9(등록됨),판례P-4+실측
PRD_000119,아트페이퍼포스터,포스터/사인,자유치수 min/max 범위,CN-5,NONE-BOUND(無) 면적매트릭스 ceiling,U-3 Y,누락(High갭·미등록),C-9 폼빌더 수치범위 미지원(BLOCKED-UI),candidates.csv
PRD_000123,아트패브릭포스터,포스터/사인,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000126,레더아트프린트,포스터/사인,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000127,타이벡프린트,포스터/사인,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000128,메쉬프린트,포스터/사인,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000138,일반현수막,포스터/사인,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000146,아크릴키링,아크릴/굿즈,자유치수 min/max 범위,CN-5,NONE-BOUND(無) 면적기반,U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000147,아크릴마그넷,아크릴/굿즈,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000148,아크릴뱃지,아크릴/굿즈,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000149,아크릴집게,아크릴/굿즈,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000150,아크릴스마트톡,아크릴/굿즈,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000151,맥세이프 스마트톡,아크릴/굿즈,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000152,아크릴명찰,아크릴/굿즈,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000153,아크릴명찰(골드실버),아크릴/굿즈,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000154,아크릴 머리끈,아크릴/굿즈,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000155,아크릴볼펜,아크릴/굿즈,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000156,아크릴지비츠,아크릴/굿즈,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000164,아크릴코롯토,아크릴/굿즈,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000171,지비츠,아크릴/굿즈,자유치수 min/max 범위,CN-5,NONE-BOUND(無),U-3 Y,누락(미등록),C-9(BLOCKED-UI),candidates.csv
PRD_000165,포카코롯토,아크릴/굿즈,단가행 전무→견적 0원,CN-2 AMBIG,ZERO-DEFECT(有·결함) 단가행 전무로 0원이나 해법=단가적재(§7) not 제약,U-3 Y,BLOCKED(실무진·미출시 가능성),제약 신설 금지(제약으로 막으면 상품 주문불가),판례P-5+wiring round22 dead_wires
PRD_000168,아크릴입체코롯토,아크릴/굿즈,단가행 전무→견적 0원,CN-2 AMBIG,ZERO-DEFECT(有·결함) 해법=단가적재(§7),U-3 Y,BLOCKED(실무진·use_yn N 정리됨),제약 신설 금지,판례P-5
PRD_000169,아크릴입체블럭,아크릴/굿즈,단가행 전무→견적 0원,CN-2 AMBIG,ZERO-DEFECT(有·결함),U-3 Y,BLOCKED(실무진·use_yn N),제약 신설 금지,판례P-5
PRD_000170,아크릴쉐이커,아크릴/굿즈,단가행 전무→견적 0원,CN-2 AMBIG,ZERO-DEFECT(有·결함),U-3 Y,BLOCKED(실무진·use_yn N),제약 신설 금지,판례P-5
PRD_000226,아크릴쉐이커코롯토,아크릴/굿즈,단가행 전무→견적 0원,CN-2 AMBIG,ZERO-DEFECT(有·결함),U-3 Y,BLOCKED(실무진),제약 신설 금지,판례P-5
GROUP_ENVELOPE,봉투/부속(PRD_000001~015),봉투/부속,해당없음(자재×사이즈 격자단순·누락셀0·조건부 관계 없음),NONE,NONE,-,해당없음,-,candidates.csv 전수 NONE
GROUP_BOOKLET,책자/포토북/셋트(065~117 중 069/070 除),책자/셋트,해당없음(페이지 범위=t_prd_product_page_rules 별도테이블·셋트 구성=§23·조건부 옵션 관계 부재),NONE,NONE-BOUND(페이지=page_rules 처리),-,해당없음(박최소수량 069/070만 별도 행),-,page_rules 재사용
GROUP_MISC,캘린더/맵/디자인캘린더/굿즈파우치/문구/실사,기타,해당없음(옵션 단순·조건부 관계 부재),NONE,NONE,-,해당없음,-,candidates.csv 전수 NONE
