row_id,track,step,title,status,owner_now,remaining,verdict,owner_proposed,judged_by,basis,note,evidence
T3-3,T3,B6,주문서·결제 — 결제수단 범위 결정 후 스킨 결제 분기·주문 성립 1건 종단,부분,김동학,Y,분할,김동학+신우진,rule-track,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:12,결정 안건이 실무 담당에게 걸려 있다 — 결정(PM)/실행(담당) 분리,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:12
T3-4,T3,D2,마이페이지 배송지 결함·비로그인 노출·홈/목록 더미 정리,부분,김동학,Y,담당맞음,김동학,rule-step,_workspace/huni-launch-runway/07_rebaseline/S/S6-defects/defect-code-analysis.md:58,사는 시스템 미확인 — 단계 D2 기본 담당과 일치(약한 근거),_workspace/huni-launch-runway/07_rebaseline/S/S6-defects/defect-code-analysis.md:58
T3-5,T3,D3,취소·반품·문의 — 범위 결정 후 스킨 버튼·문의 라우트 구현,없음,신우진,Y,분할,신우진+김동학,rule-track,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:23,「범위 결정」(PM) + 「스킨 버튼·문의 라우트 구현」(김동학)이 한 행에 섞였다 — 결정/구현 분리,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:23
T4-1,T4,C1,주문 등록 다리 — 스킨이 결제 직후 order/register 를 부르게 배선(부르는 쪽 0건),부분,김동학,Y,담당맞음,김동학,rule-step,_workspace/huni-launch-runway/07_rebaseline/S/S2-pipeline/pipeline-status.csv:2,사는 시스템 미확인 — 단계 C1 기본 담당과 일치(약한 근거),_workspace/huni-launch-runway/07_rebaseline/S/S2-pipeline/pipeline-status.csv:2
T4-2,T4,C2,원고 승격 실파일 1건 종단 + 웹훅 해석 소비자 구현(입금→PAID 전이),구현-미검증,서희항,Y,담당맞음,서희항,rule-step,_workspace/huni-launch-runway/07_rebaseline/S/S2-pipeline/pipeline-status.csv:13,사는 시스템 미확인 — 단계 C2 기본 담당과 일치(약한 근거),_workspace/huni-launch-runway/07_rebaseline/S/S2-pipeline/pipeline-status.csv:13
T4-3,T4,C4,파일 검수 경로 결정·구축 — PitStop 조달 또는 사람 검수(D-P1·D-P2),없음,서희항,Y,분할,서희항+신우진,rule-track,_workspace/huni-launch-runway/07_rebaseline/S/S2-pipeline/pipeline-status.csv:17,결정 안건이 실무 담당에게 걸려 있다 — 결정(PM)/실행(담당) 분리,_workspace/huni-launch-runway/07_rebaseline/S/S2-pipeline/pipeline-status.csv:17
T4-4,T4,C5,접수 화면·주문 상태머신·MES 접수 전송(D-P5·D-P6·D-P7),없음,서희항,Y,분할,미정+최숙진,merged-owner_side,"merged.csv t50:26,t50:28,t50:83 owner_side/system=mes,미정","두 시스템에 걸침(mes,미정) — 행을 나눠 각자에게",_workspace/huni-launch-runway/07_rebaseline/S/S2-pipeline/pipeline-status.csv:20
T4-5,T4,C6,출고·송장 — 셀러어드민 수동 등록 경로 확인 + 생산 상태의 고객 반영 방식 결정,없음,최숙진,Y,분할,최숙진+신우진,rule-track,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:19,결정 안건이 실무 담당에게 걸려 있다 — 결정(PM)/실행(담당) 분리,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:19
T5-1,T5,E1,셀러어드민 기초정보 7항목·대표전화/메일 교체·PG 신청·결제수단 노출·운영자 계정,부분,최숙진,Y,담당맞음,최숙진,rule-step,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:26,사는 시스템 미확인 — 단계 E1 기본 담당과 일치(약한 근거),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:26
T5-2,T5,D1,알림 — SMS 사용설정·알림톡 33건 개별 판단 후 켜기·템플릿 카카오 검수,부분,최숙진,Y,분할,최숙진+신우진,rule-track,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:21,결정 안건이 실무 담당에게 걸려 있다 — 결정(PM)/실행(담당) 분리,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:21
T5-3,T5,E3,법정 표기 단일화(사업자번호 206-29-88022 우세)·증빙 화면 목업 제거(D-5),부분,김동학,Y,분할,김동학+최숙진,rule-track,_workspace/huni-launch-runway/07_rebaseline/S/S6-defects/defect-code-analysis.md:68,법정 표기 단일화(표기 내용=최숙진) + 증빙 화면 목업 제거(스킨 구현=김동학). PM 은 만들지 않는다,_workspace/huni-launch-runway/07_rebaseline/S/S6-defects/defect-code-analysis.md:68
T5-4,T5,D4,현금영수증·세금계산서 발급 주체 결정(Shopby / 자체 / 외부),없음,신우진,Y,담당맞음,신우진,rule-track,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:24,발급 주체 결정 = 순수 결정 안건. 구현은 결정 뒤 별도 행,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:24
T6-1,T6,D5,프린팅머니 잔액 이관 — 추출 주체·개발 주체 결정 후 6단계,없음,채훈희,Y,담당맞음,채훈희,rule-track,_workspace/huni-launch-runway/07_rebaseline/S/S3-migration/migration-status.md:24,결정·조율 안건 — PM/대표가 맞다,_workspace/huni-launch-runway/07_rebaseline/S/S3-migration/migration-status.md:24
T6-2,T6,D5,Shopby 엔터프라이즈 플랜·외부포인트 정식 적용 회신,대기,외부(NHN커머스),Y,미정,외부(NHN커머스),rule-track,_workspace/huni-launch-runway/07_rebaseline/S/S3-migration/migration-status.md:67,사내 4담당 경계 밖(외부·미정) — 이번 재판정 대상 아님,_workspace/huni-launch-runway/07_rebaseline/S/S3-migration/migration-status.md:67
T6-3,T6,D5,토스페이먼츠 계약 4건 회신(면제·수수료·업종 심사·샌드박스),대기,외부(토스페이먼츠),Y,미정,외부(토스페이먼츠),rule-track,_workspace/huni-launch-runway/07_rebaseline/S/S3-migration/migration-status.md:54,사내 4담당 경계 밖(외부·미정) — 이번 재판정 대상 아님,_workspace/huni-launch-runway/07_rebaseline/S/S3-migration/migration-status.md:54
T7-1,T7,E4,오픈 테스트 진입 조건 9항을 리허설 체크리스트로 승격,미착수,신우진,Y,담당맞음,신우진,rule-step,_workspace/huni-launch-runway/07_rebaseline/S/S4-infra/migration-plan.md:89,사는 시스템 미확인 — 단계 E4 기본 담당과 일치(약한 근거),_workspace/huni-launch-runway/07_rebaseline/S/S4-infra/migration-plan.md:89
T7-2,T7,E4,종단 주문 테스트 — 실주문 1건이 결제→접수→MES→송장→고객 조회까지,미착수,신우진,Y,담당맞음,신우진,rule-step,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:29,사는 시스템 미확인 — 단계 E4 기본 담당과 일치(약한 근거),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:29
T7-3,T7,E4,Go/No-Go 판정 회의·컷오버·롤백 트리거 확정,미착수,채훈희,Y,담당맞음,채훈희,rule-track,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:29,결정·조율 안건 — PM/대표가 맞다,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:29
STD-CAT-001,T2,A4,대분류/중분류/소분류 다단 카테고리 트리 노출,작동,김동학,N,담당맞음,김동학,merged-owner_side,merged.csv t48:213 owner_side/system=huni-mall,,https://shopby.huniprinting.co.kr/@2026-09-16 21:33
STD-CAT-002,T2,A4,카테고리별 상품 리스팅(정렬·페이징),부분,김동학,Y,담당맞음,김동학,merged-owner_side,merged.csv t48:180 owner_side/system=huni-mall,,huni-skin-shopby/src/lib/api/server/catalog.ts:5 · src/components/shop/shop-list.tsx:18-24
STD-CAT-003,T2,A4,상품군 전용 랜딩(출력/책자/실사/패키지/굿즈),미착수,김동학,Y,담당맞음,김동학,merged-owner_side,merged.csv t48:177 owner_side/system=huni-mall,,F-088/SCOPE-088/IA-088 랜딩페이지 5종(종이·제본·캘린더·파우치·스티커) 미착수
STD-CAT-004,T3,B1,상품명 통합검색,작동,김동학,N,담당맞음,김동학,merged-owner_side,merged.csv t48:178 owner_side/system=huni-mall,,https://shopby.huniprinting.co.kr/search?q=스티커@2026-09-16 21:26
STD-CAT-005,T3,B1,종이/소재명 기준 검색(아트지·스노우지 등),미착수,김동학,Y,담당맞음,김동학,merged-owner_side,merged.csv t48:179 owner_side/system=huni-mall,,SCOPE-154 상품 검색·필터 엔진 PARTIAL
STD-CAT-006,T3,B1,검색어 자동완성·인기검색어,부분,김동학,Y,담당맞음,김동학,merged-owner_side,merged.csv t48:214 owner_side/system=huni-mall,,huni-skin-shopby/src/app/(main)/search/page.tsx:1 · 인기검색어 src/lib/api/hooks/use-search.ts:13
STD-CAT-007,T3,A5,상품 상세페이지 본문(이미지·설명 블록),부분,김동학,Y,분할,김동학+최숙진,merged-owner_side,"merged.csv t48:161,t49:40 owner_side/system=huni-mall,pagebuilder",상품 상세페이지 본문 — 이미지·설명 블록 화면=김동학 / 본문 콘텐츠=최숙진(역할②),huni-skin-shopby/src/app/(main)/product/[slug]/page.tsx:42-47 · :51-56 · src/components/product/product-sections.tsx:1
STD-CAT-008,T3,A5,동일 계열 상품 분기 안내(일반명함/고급지명함/부분UV명함 등),미착수,김동학,Y,담당맞음,김동학,merged-owner_side,merged.csv t48:162 owner_side/system=huni-mall,,print-story/02_capture/order-flow-steps.md §A-0 레드프린팅 상품 분할 전략
STD-CAT-009,T3,A5,후가공 용어 설명 툴팁(도무송·오시·형압·귀돌이),미착수,김동학,Y,분할,김동학+최숙진,merged-owner_side,merged.csv t48:163 owner_side/system=huni-mall,후가공 용어 툴팁 — 툴팁 구현=김동학 / 용어 설명 문구=최숙진(역할②),print-story/02_capture/order-flow-steps.md §E-4 3사 용어 불일치
STD-CAT-010,T3,A5,재단사이즈 vs 작업사이즈 설명 가이드,작동,김동학,N,담당맞음,김동학,merged-owner_side,merged.csv t48:164 owner_side/system=huni-mall,,https://shopby.huniprinting.co.kr/product/136578124@2026-09-16 21:29
STD-CAT-011,T3,A5,상품별 제작 소요일/출고 기준 안내,미착수,김동학,Y,분할,김동학+서희항,merged-owner_side,"merged.csv t48:165,t49:54 owner_side/system=huni-mall,webadmin","두 시스템에 걸침(huni-mall,webadmin) — 행을 나눠 각자에게",print-story/02_capture/order-flow-steps.md §C-6 출고 옵션
STD-CAT-012,T3,A5,재작업 불가 사항 고지(폰트 아웃라인 등),부분,김동학,Y,분할,김동학+최숙진,merged-owner_side,"merged.csv t48:166,t49:38 owner_side/system=huni-mall,pagebuilder",재작업 불가 고지 — guide-data.ts 스텁 채우기=김동학 / 고지 문구=최숙진(역할①),"huni-skin-shopby/src/lib/guide-data.ts:41-50,158-202 (대부분 '준비중' 스텁)"
STD-CAT-013,T3,A5,상품 Q&A 게시,미착수,김동학,Y,담당맞음,김동학,merged-owner_side,merged.csv t48:107 owner_side/system=huni-mall,,huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent)
STD-CAT-014,T3,A5,상품 리뷰 목록·평점 노출,작동,김동학,N,분할,김동학+최숙진,merged-owner_side,"merged.csv t48:167,t49:42 owner_side/system=huni-mall,shopby","두 시스템에 걸침(huni-mall,shopby) — 행을 나눠 각자에게",https://shopby.huniprinting.co.kr/product/136578124@2026-09-16 21:34
STD-CAT-015,T3,A5,사진 리뷰 갤러리,부분,김동학,Y,담당맞음,김동학,merged-owner_side,merged.csv t48:168 owner_side/system=huni-mall,,huni-skin-shopby/src/lib/api/hooks/use-product-reviews.ts:41 (목록만)
STD-CAT-016,T3,A5,관련상품/함께 주문한 상품 추천,미착수,김동학,Y,담당맞음,김동학,merged-owner_side,merged.csv t48:169 owner_side/system=huni-mall,,print-quote/04_design/ia.md §2.1 리스팅 파생
STD-CAT-017,T3,A5,최근 본 상품,미착수,김동학,Y,담당맞음,김동학,merged-owner_side,merged.csv t48:215 owner_side/system=huni-mall,,print-quote/04_design/ia.md §2.1 GNB 파생
STD-CAT-018,T3,A5,찜/관심상품,미착수,김동학,Y,담당맞음,김동학,merged-owner_side,merged.csv t48:170 owner_side/system=huni-mall,,print-kb/wiki/policy/mypage.md 파생
STD-CAT-021,T3,A5,메인 기획전/배너 영역,부분,김동학,Y,담당맞음,김동학,merged-owner_side,merged.csv t48:257 owner_side/system=huni-mall,,huni-skin-shopby/src/app/(main)/page.tsx:1 · BEST 큐레이션 stub src/lib/legacy-data/hooks.ts:60
STD-CAT-022,T2,A4,품절/판매중지 상품 표시 및 대체 안내,미착수,김동학,Y,담당맞음,김동학,merged-owner_side,merged.csv t48:181 owner_side/system=huni-mall,,huni-shopby/01_research/order-to-delivery-contract.md §4.2 OUT_OF_STOCK
STD-CAT-023,T2,A1,상품 기본정보 세팅·로드(상품코드·주문가능여부·회원전용 노출 게이팅),작동,김동학,N,담당맞음,김동학,evidence-path,https://shopby.huniprinting.co.kr/product/136578124@2026-09-16 21:29,,https://shopby.huniprinting.co.kr/product/136578124@2026-09-16 21:29
STD-CAT-024,T2,A1,포장재 상품군 주문 경로(전용 옵션·주문 흐름),부분,김동학,Y,담당맞음,김동학,evidence-path,"L3/legacy-normalized.json#F-091,IA-091,SCOPE-091 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:92 · docs/huni",,"L3/legacy-normalized.json#F-091,IA-091,SCOPE-091 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:92 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A92:K92 || P1판정(260902): huni-skin-shopby 에 「포장재」 전용 경로 grep 0건 · 샵바이 카테고리로 흡수됐는지 미확인"
STD-CAT-025,T2,A1,굿즈 상품군 주문 경로(파우치·백 포함),부분,김동학,Y,담당맞음,김동학,evidence-path,"L3/legacy-normalized.json#F-092,IA-092,SCOPE-092 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:93 · docs/huni",,"L3/legacy-normalized.json#F-092,IA-092,SCOPE-092 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:93 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A93:K93 || P1판정(260902): huni-skin-shopby/src/components/home/home-content.ts:120 「아크릴굿즈」 메뉴 실재 — 카탈로그 노출은 됨"
STD-CAT-026,T2,A1,수작 상품 메인·상품페이지 경로,미착수,신우진,Y,재배정,김동학,evidence-path,"L3/legacy-normalized.json#F-093,IA-093,SCOPE-093 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:94 · docs/huni",그 일이 사는 곳=huni-mall,"L3/legacy-normalized.json#F-093,IA-093,SCOPE-093 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:94 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A94:K94 || P1판정(260902): huni-skin-shopby 에 「수작」 grep 0건 · 상품 등록 여부는 셀러어드민 확인 필요"
STD-CAT-027,T3,A5,홈 더미 콘텐츠 정리(BEST 8종 /product/1 404 · 프로모션 ZONE·새소식 영문 문구),미착수,김동학,Y,담당맞음,김동학,merged-owner_side,merged.csv t48:258 owner_side/system=huni-mall,,https://shopby.huniprinting.co.kr/ @ 2026-09-16 21:26
STD-CAT-028,T2,A2,목록·검색 시작가 「10원~」 표시(샵바이 salePrice 더미),미착수,최숙진,Y,재배정,김동학,evidence-path,https://shopby.huniprinting.co.kr/shop/1142983 @ 2026-09-16 21:26,그 일이 사는 곳=huni-mall,https://shopby.huniprinting.co.kr/shop/1142983 @ 2026-09-16 21:26
STD-CAT-029,T3,A5,메뉴 슬러그형 목업 상세(/product/calendar 등) 잔존 — 「(44 Reviews)」·더미 옵션,미착수,김동학,Y,담당맞음,김동학,merged-owner_side,merged.csv t48:171 owner_side/system=huni-mall,,https://shopby.huniprinting.co.kr/product/calendar @ 2026-09-16 21:27
STD-CAT-030,T2,A4,상품 0개 중분류(스티커 팩 0 등) 노출 정리,미착수,최숙진,Y,담당맞음,최숙진,merged-owner_side,merged.csv t48:33 owner_side/system=shopby,셀러어드민 설정·운영(코드 0),https://shopby.huniprinting.co.kr/shop/1142983 @ 2026-09-16 21:26
STD-CAT-031,T2,A1,캘린더 4종 1차 오픈 포함 확정,부분,최숙진,Y,분할,최숙진+신우진,rule-track,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 확정 1 / 후니-오픈잔여작업-실무진안내_260909.html §항목 8 · ④ 완료 기준,결정 안건이 실무 담당에게 걸려 있다 — 결정(PM)/실행(담당) 분리,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 확정 1 / 후니-오픈잔여작업-실무진안내_260909.html §항목 8 · ④ 완료 기준
STD-CAT-032,T2,A1,포토앨범 1차 오픈 제외 — 전달·문의 멘트 통일,부분,최숙진,Y,담당맞음,최숙진,rule-step,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 확정 1 / 후니-오픈잔여작업-실무진안내_260909.html §항목 7 · ④ 완료 기준,사는 시스템 미확인 — 단계 A1 기본 담당과 일치(약한 근거),후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 확정 1 / 후니-오픈잔여작업-실무진안내_260909.html §항목 7 · ④ 완료 기준
STD-CAT-033,T2,A1,디자인 상품 화면 구조 — 카테고리 → 디자인 목록 → 상세 페이지,미착수,김동학,Y,재배정,서희항,merged-owner_side,"merged.csv t49:137,t49:230 owner_side/system=webadmin,widget","여러 시스템에 걸치나 담당은 한 사람(webadmin,widget)",후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 확정 2
STD-CAT-034,T3,A5,상세페이지 탭 6종 자동 등록(디자인가이드·디자인보기 포함),부분,김동학,Y,분할,김동학+서희항+최숙진,merged-owner_side,"merged.csv t48:172,t49:27,t49:37 owner_side/system=huni-mall,pagebuilder,webadmin",상세페이지 탭 6종 자동 등록 — 자동등록 도구=서희항(webadmin)·표시=김동학(스킨·페이지빌더) / 탭 콘텐츠=최숙진(역할②),후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 확정 3 / 후니-오픈잔여작업-실무진안내_260909.html §항목 2 · ④ 완료 기준
STD-CAT-035,T2,A1,디자인 식별 규약 — PS코드 1개 + 템플릿 경로(이름) 구분·정사각형 공용 템플릿,미착수,서희항,Y,담당맞음,서희항,merged-owner_side,"merged.csv t49:142,t49:143,t49:144 owner_side/system=webadmin",,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 확정 4
STD-CAT-036,T2,A1,디자인 목록 API — webadmin 등록분을 신규몰이 불러오는 연동,미착수,서희항,Y,담당맞음,서희항,merged-owner_side,"merged.csv t50:107,t49:203,t49:204 owner_side/system=webadmin,widget","여러 시스템에 걸치나 담당은 한 사람(webadmin,widget)",후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 확정 5
STD-CAT-037,T2,A1,디자인 그룹핑 기준(태그·그룹·복수 그룹 등록·노출 순서),미착수,최숙진,Y,담당맞음,최숙진,rule-step,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 미결 1,사는 시스템 미확인 — 단계 A1 기본 담당과 일치(약한 근거),후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 미결 1
STD-CAT-038,T2,A1,디자인 목록용 API·어드민 기능 개발자 협의,미착수,신우진,Y,담당맞음,신우진,rule-track,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 미결 5,결정·조율 안건 — PM/대표가 맞다,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 미결 5
STD-CAT-039,T2,A1,목록 시작가 자동 계산(위젯 기본값) — 오리지널 명함만 수기 입력,부분,서희항,Y,담당맞음,서희항,merged-owner_side,merged.csv t49:183 owner_side/system=webadmin,,후니정기미팅 정리260915.html §가격·템플릿 데이터 · 확정 1
STD-CAT-040,T2,A1,시작가가 API 로 샵바이에 내려가는데 쇼핑몰에 반영되지 않는 원인 확인,미착수,신우진,Y,재배정,서희항·최숙진,rule-step,후니정기미팅 정리260915.html §가격·템플릿 데이터 · 미결 2,사는 시스템 미확인 — 단계 A1 기본 담당과 불일치(약한 근거·실측 필요),후니정기미팅 정리260915.html §가격·템플릿 데이터 · 미결 2
STD-CAT-041,T2,A1,판매중 상품 수 3갈래(대시보드 291·상품목록 판매중 297/검색 291·API ONSALE 226) 기준 정리,미착수,김동학,Y,재배정,최숙진,evidence-path,https://service.shopby.co.kr/ 대시보드 「판매중인 상품 291」 · /product/list 「판매중 297건·검색결과 291」 · API saleStatusType ONSALE 226/STO,셀러어드민 설정·운영(코드 0),https://service.shopby.co.kr/ 대시보드 「판매중인 상품 291」 · /product/list 「판매중 297건·검색결과 291」 · API saleStatusType ONSALE 226/STOP 71 @ 2026-09-16 21:27~21:34 (R/R1d/evidence/00-dashboard.txt·80-product-list.txt·api-server-products-search.json)
STD-CAT-042,T3,A5,레거시 mock 훅 제거 — legacy-data 참조 17파일(configurator 11종·홈 뉴스/프로모·포인트 모달),미착수,김동학,Y,담당맞음,김동학,merged-owner_side,merged.csv t48:216 owner_side/system=huni-mall,,`grep -rl legacy-data huni-skin-shopby/src` 17 · src/lib/legacy-data/hooks.ts:4 「순수 mock」 · SPEC-TAKEOVER-001 D-6·related SPEC-LEGACY-MOCK-001(문서 부재)
STD-CAT-043,T2,A4,목록·검색 시작가를 webadmin `GET /api/w/v1/catalog`(게시 위젯+시작가) 로 이관 — 「10원~」 더미 대체 개발안,미착수,김동학,Y,분할,김동학+서희항,merged-owner_side,"merged.csv t48:182,t49:217 owner_side/system=huni-mall,webadmin","두 시스템에 걸침(huni-mall,webadmin) — 행을 나눠 각자에게",SPEC-TAKEOVER-001 spec.md D-2 ① · huni-skin-shopby/src/lib/api/server/catalog.ts(shopby salePrice 사용)
STD-CAT-019,T3,A5,인쇄 가이드 콘텐츠(11종),부분,최숙진,Y,분할,최숙진+김동학,merged-owner_side,"merged.csv t48:98,t49:41 owner_side/system=huni-mall,pagebuilder",인쇄 가이드 11종 — 원고·콘텐츠=최숙진 / guide-data.ts 스텁 채우기·화면=김동학,"huni-skin-shopby/src/lib/guide-data.ts:41-50,158-202"
STD-CAT-020,T3,A5,템플릿/샘플 다운로드 제공,미실측,미정,Y,미정,미정,merged-owner_side,"merged.csv t48:99,t49:2,t49:151 owner_side/system=huni-mall,webadmin",사내 4담당 경계 밖(외부·미정) — 이번 재판정 대상 아님,"raw/webadmin/webadmin/config/urls.py:280,283,285,287,288 (가이드파일 조회) · :72-87 (업로드/관리)"
STD-CLM-018,T3,D3,공지사항·FAQ 열람,부분,신우진,Y,재배정,김동학,merged-owner_side,merged.csv t48:96 owner_side/system=huni-mall,그 일이 사는 곳=huni-mall,huni-skin-shopby/src/app/(main)/notice/page.tsx:1-27 · src/lib/api/server/board.ts:1 (공지 done) — FAQ 라우트 부재(SB-056 absent)
STD-INF-001,T5,E3,회사소개 페이지,부분,신우진,Y,재배정,김동학,merged-owner_side,merged.csv t48:221 owner_side/system=huni-mall,그 일이 사는 곳=huni-mall,"L3/legacy-normalized.json#IA-083,SCOPE-083 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A84:K84 · L2/as-is-inventory.csv#SB-058 huni-skin-shopby/src/app/(main)/company/page.tsx:1"
STD-INF-002,T5,E3,찾아오시는 길(약도·교통 안내),작동,신우진,N,재배정,김동학,merged-owner_side,merged.csv t48:222 owner_side/system=huni-mall,그 일이 사는 곳=huni-mall,https://shopby.huniprinting.co.kr/location@2026-09-16 21:27
STD-INF-003,T5,E3,이용약관 페이지 게시,작동,신우진,N,재배정,김동학,merged-owner_side,merged.csv t48:224 owner_side/system=huni-mall,그 일이 사는 곳=huni-mall,https://shopby.huniprinting.co.kr/terms@2026-09-16 21:27
STD-INF-004,T5,E3,개인정보처리방침 페이지 게시,작동,신우진,N,재배정,김동학,merged-owner_side,merged.csv t48:223 owner_side/system=huni-mall,그 일이 사는 곳=huni-mall,https://shopby.huniprinting.co.kr/privacy@2026-09-16 21:27
