fact_id,axis,subject,yeolim_fact,huni_fact,same_or_diff,evidence
F-38,③AWS,S3 이벤트 메시지 형식,"S3 원본 알림 JSON(Records[]) — CRT.Framework.AWS/S3JsonMessage.cs","EventBridge 형식(detail-type·detail.bucket.name·detail.object.key) — 앱 프로젝트에 EventBridgeS3Message.cs 로 각자 보유",다름,"열림 CRT.Framework.AWS/S3JsonMessage.cs:6 · 후니 DesignFileCopyToNas/Common/EventBridgeS3Message.cs:12"
F-39,③AWS,SQS 소비 방식,"GetMessagesAsync 직접 호출(롱폴)·프로세스 실행 수 제한","GetMessagesAsync 와 Subscribe(콜백 폴링 루프) 둘 다 · errorAction 훅 보유",다름,"열림 SQSMonitorService/Program.cs · 후니 SqsClient.cs:28·:166"
F-40,③AWS,DLQ·재시도,"재시도 없음 · DLQ 코드/설정 없음","DLQ 운용 중 — huni-itf-trace-log-dlq(14일 보존·maxReceiveCount 5) · dlq-triage.ps1 · 30분 백오프",다름,"후니 docs/aws/create-itf-log-queue.ps1:19-36 · docs/report/dlq-triage.ps1 · git log Framework/CRT.Framework.AWS 2026-07-23"
F-41,③AWS,S3 버킷 설정 키,"AwsBucketNm (FoxConfiguration)","AwsInfo(accessKey,secretKey,bucketName,region) + GetS3Url() URL 조립",다름,"열림 FoxConfigurationServerProcess.config:14 · 후니 BackOffice.UI/CRT.EasyMES.V2.Core/AwsInfo.cs:33-56"
F-42,③AWS,리전,설정값(생략),ap-northeast-2 고정 기본값,미확인,후니 AwsInfo.cs:33 · FoxConfiguration.example.config:30
F-43,④배포,실행 파일 형태,"WinForms 클라이언트 + 콘솔 Exe 워커(SQSMonitorService·ServerProcess)","WinForms 클라이언트 + 콘솔 Exe 워커 13개 + WebApi",같음(형태),"열림 CRT.Yeolim.SQSMonitorService.csproj:8 OutputType=Exe · 후니 BackOffice.Console/ 13개"
F-44,④배포,워커 상주화 방식,"Topshelf 사용 0건 — 콘솔 Exe 를 프로세스 개수 제한(ExecuteProcessCnt)으로 다중 실행","Topshelf 로 Windows 서비스 등록(RunAsLocalSystem) 4개 + 작업 스케줄러 실행형(MAX_INSTANCES 제한) 다수",다름,"열림 grep Topshelf 0건 · SQSMonitorService/Program.cs:41-46 · 후니 ItfLogConsumer/Program.cs:41-52 · DesignFileThumbnailCreator/Program.cs:38-54"
F-45,④배포,인스톨러,"VS Setup 프로젝트(.vdproj) · TargetPlatform x64 · 선행조건 .NET FW 4.7.2 · NanumGothic 3종 + vcredist_x64.exe 동봉","VS Setup 프로젝트(.vdproj) · TargetPlatform x64 · 선행조건 .NET FW 4.7.2 · 폰트/vcredist 동봉 없음",다름(동봉물),"열림 CRT.Yeolim.Setup.vdproj:5187·6389·8582 · 후니 CRT.EasyMES.V2.Setup.vdproj:13185·20415"
F-46,④배포,자동업데이트,CRT.Console.AutoUpdateZip(6파일),동일 프로젝트 보유 — 6파일 중 3개 내용 동일(AutoUpdateZipSettings.cs·UpdateXml.cs·GenerateAutoUpdateFiles.bat)·3개 다름(App.config·설정 json·Program.cs),같음(구조),diff -q 양쪽 AutoUpdateZip 6파일
F-47,④배포,PitStop Server 설치 요건,"설정값 경로 …\Enfocus PitStop Server 23\ 의 PitStopServerCLI.exe 를 워커가 실행 — 워커와 같은 Windows 머신에 PitStop Server 23 설치·라이선스 필요",해당 없음(저장소에 PitStop 흔적 0),미확인(현장),"열림 ServerProcess/Common/ActionsSetList.cs:19 · FoxConfigurationServerProcess.config:20 · Program.cs:659"
F-48,④배포,PitStop 액션리스트 자산,".eal 액션리스트 파일 경로 22개 appSetting(PitStopAction_* 키 grep -c = 22) + .evs 변수세트 템플릿 — 파일 자체는 저장소 밖",해당 없음,열림 전용,FoxConfigurationServerProcess.config:22-50 · :19
F-49,④배포,install.cmd 오해 주의,해당 없음,"저장소 루트 install.cmd 는 MES 배포 스크립트가 아니라 Claude Code 설치 스크립트다",주의,후니 install.cmd:4
F-50,공통,후니 packages.config 보일러플레이트,해당 없음,"Framework 12개 중 8개의 packages.config 가 md5 078435635886cf070ccb2b271e298a0c 로 동일 — 프로젝트별 실제 의존이 아니라 복사된 공용 목록. 패키지 목록 차이를 의존성 차이로 읽으면 안 된다",주의,md5 /Users/innojini/Dev/TS.BackOffice.Huni/Framework/*/packages.config
