std_id,대분류,중분류,기능,상태,매핑legacy_id,매핑asis_id,돈여부,주문여부,근거,비고,담당,done_criteria
STD-OPT-016,옵션·견적,옵션축,작업 사이즈 입력·자동 도출(도련 포함),partial,IA-060;P-BLEED-32-01;SCOPE-060,,Y,N,P-BLEED-32-01 HOLD_BASIS 32건 — 라이브 완제품 사이즈에 블리드 미적용(자동제외 중),R1 · L4 판정 승계,,
STD-OPT-017,옵션·견적,옵션축,수량 선택(구간 프리셋 + 직접입력),done,F-036;IA-036;SCOPE-036,WA-035;WA-023,Y,N,"raw/webadmin/webadmin/config/urls.py:248 (price) · :137,177-181 (수량구간 할인표)",R1 · L4 판정 승계,,
STD-OPT-018,옵션·견적,옵션축,건수(디자인 종류 수) 입력 및 총량 = 건수×수량 규칙 표시,new,,,N,N,print-story/02_capture/order-flow-steps.md §A-4 A-5 건수×수량,R1 · L4 판정 승계,,
STD-OPT-019,옵션·견적,옵션축,페이지 수 입력(책자류 필수 축),partial,P-PHOTOBOOK-PAGEFEE-01;X-ENGINE-PAGE-01,WA-035,Y,N,X-ENGINE-PAGE-01 094 30P 보류(page 전송 코드트랙) · P-PHOTOBOOK-PAGEFEE-01 페이지비 전액 미청구,R1 · L4 판정 승계,,
STD-OPT-020,옵션·견적,옵션축,표지/내지/간지 용지 개별 선택,done,F-043;IA-043;SCOPE-043,WA-003;WA-005,N,N,raw/webadmin/webadmin/config/urls.py:356-360 (옵션그룹/옵션/항목 CRUD) · :368,R1 · L4 판정 승계,,
STD-OPT-021,옵션·견적,옵션축,표지/내지 인쇄도수 개별 선택,done,F-043;IA-043;SCOPE-043,WA-003;WA-005,N,N,raw/webadmin/webadmin/config/urls.py:356-360 · :368,R1 · L4 판정 승계,,
STD-OPT-022,옵션·견적,옵션축,제본 방식 선택(중철·무선·PUR·트윈링·하드커버),done,F-042;IA-042;P-PED-BOOK-W12-01;SCOPE-042,WA-003;WA-016,Y,N,raw/webadmin/webadmin/config/urls.py:356-360 · :320-330 (책등 계산),R1 · L4 판정 승계,,
STD-OPT-023,옵션·견적,옵션축,제본 방향 선택(좌철/상철 × 세로/가로),done,F-042;IA-042;SCOPE-042,WA-003,N,N,raw/webadmin/webadmin/config/urls.py:356-360,R1 · L4 판정 승계,,
STD-OPT-024,옵션·견적,후가공,코팅 선택(무광/유광 × 단면/양면),partial,F-039;IA-039;SCOPE-039;X-ENGINE-SETCOAT-01,WA-003;WA-025,Y,N,X-ENGINE-SETCOAT-01 price_simulate_set이 coat_side_cnt 드롭 → 셋트 경로 표지 코팅비 누락(C트랙),R1 · L4 판정 승계,,
STD-OPT-025,옵션·견적,후가공,박 선택(색상 다종 × 면 × 크기 × 내용같음/틀림),partial,F-044;IA-044;P-FOIL-DTLOPT-01;SCOPE-044;X-ENGINE-FOIL-01,WA-003,Y,N,X-ENGINE-FOIL-01 박 엔진 미지원 — 027/028/029 박 가산 전부 0(데이터로 못 고침·C트랙),R1 · L4 판정 승계,,
STD-OPT-026,옵션·견적,후가공,형압(양각/음각) 선택,partial,F-044;IA-044;SCOPE-044,WA-003,N,N,raw/webadmin/webadmin/config/urls.py:356-360 (옵션 축) · X-ENGINE-FOIL-01 동일 엔진 경로,R1 · L4 판정 승계,,
STD-OPT-027,옵션·견적,후가공,오시 선택(줄 수 × 방향),partial,F-041;IA-041;SCOPE-041,WA-003,N,N,raw/webadmin/webadmin/config/urls.py:356-360 · 오배선 실증 huni-product-lifecycle §7.4,R1 · L4 판정 승계,,
STD-OPT-028,옵션·견적,후가공,미싱 선택,partial,F-041;IA-041;P-DEDUP-PROC-3-01;SCOPE-041,WA-003,Y,N,P-DEDUP-PROC-3-01 공정 중복정리 BLOCKED 3건(미싱086 포함) — 부모↔자식 가격사슬 단절,R1 · L4 판정 승계,,
STD-OPT-029,옵션·견적,후가공,타공 선택(직경 × 개수 × 위치),partial,F-040;IA-040;P-PED-PUNCH-01;SCOPE-040;X-WGT-PUNCH-01,WA-003,Y,Y,X-WGT-PUNCH-01 시뮬레이터/위젯이 procs detail{타공수}를 전송해야 타공수별 가산 작동(코드트랙),R1 · L4 판정 승계,,
STD-OPT-030,옵션·견적,후가공,귀돌이/라운딩 선택(반경 × 모서리 위치),partial,F-040;IA-040;SCOPE-040;X-WGT-ATTB-01,WA-003,N,N,X-WGT-ATTB-01 합성 ATTB / size-linked 반경 잠복 — 컨버전 시 보정 필요,R1 · L4 판정 승계,,
STD-OPT-031,옵션·견적,후가공,도무송(전체/부분·모양·개수) 선택,done,F-040;IA-040;P-DIECUT-2-01;SCOPE-040,WA-003,Y,N,raw/webadmin/webadmin/config/urls.py:356-360 (옵션 항목 CRUD),R1 · L4 판정 승계,,
STD-OPT-032,옵션·견적,후가공,넘버링(일반/난수 × 자릿수 × 개수) 선택,new,,,N,N,print-story/02_capture/order-flow-steps.md §C-7-5 넘버링,R1 · L4 판정 승계,,
STD-OPT-033,옵션·견적,후가공,부분UV/에폭시 선택,partial,P-UNDER-5-01;X-GAP-UVFORM-01,,Y,N,X-GAP-UVFORM-01 webadmin UV 변형 입력 폼 적재경로 '미상' 정직 표기 잔존,R1 · L4 판정 승계,,
STD-OPT-034,옵션·견적,부자재,부자재 선택(케이스·폴리백·포장),done,F-046;F-047;IA-046;IA-047;SCOPE-046;SCOPE-047,WA-004;WA-009,N,N,raw/webadmin/webadmin/config/urls.py:363-365 (상품 템플릿/추가상품) · :378 (SKU 카탈로그),R1 · L4 판정 승계,,
STD-OPT-035,옵션·견적,부자재,상품별 기본제공 부자재 규칙 표시,todo,F-046;IA-046;SCOPE-046,,N,N,F-046/SCOPE-046/IA-046 B13 추가상품 PARTIAL·미착수,R1 · L4 판정 승계,,
STD-OPT-036,옵션·견적,부자재,추가상품(악세사리) 템플릿 묶음 선택,done,F-046;IA-046;SCOPE-046,WA-004;WA-009,N,N,raw/webadmin/webadmin/config/urls.py:363-365 · :378,R1 · L4 판정 승계,,
STD-OPT-037,옵션·견적,제약,옵션 조합 제약 규칙 평가(불가 조합 차단·사유 표시),partial,F-048;IA-048;SCOPE-048;X-CR-ENFORCE-CLIENT-01;X-CR-ENFORCE-ENGINE-01;X-CR-HANDOFF-01,WA-006;WA-036,Y,Y,raw/webadmin/webadmin/config/urls.py:371 (제약규칙 관리) · :249 (validate) — 그러나 X-CR-ENFORCE-CLIENT-01: 위젯/장바구니/주문 어디에도 validate 호출 없음,R1 · L4 판정 승계,,
STD-OPT-038,옵션·견적,제약,자재→가능 인쇄방식 게이팅,partial,F-048;IA-048;SCOPE-048;X-CR-ENFORCE-ENGINE-01,WA-006,Y,Y,raw/webadmin/webadmin/config/urls.py:371 · X-CR-ENFORCE-ENGINE-01 가격엔진이 제약을 전혀 참조하지 않음,R1 · L4 판정 승계,,
STD-OPT-039,옵션·견적,제약,공정 택일 그룹(상호배타) 처리,partial,F-048;IA-048;P-CPQ-CLASSA-01;SCOPE-048,WA-006;WA-003,N,Y,raw/webadmin/webadmin/config/urls.py:371 · P-CPQ-CLASSA-01 PRD_000146 고리 그룹 sel_typ/min/max NULL,R1 · L4 판정 승계,,
STD-OPT-040,옵션·견적,제약,필수 동반 옵션 강제(예 인쇄없음 시 후가공 필수),partial,F-048;IA-048;SCOPE-048;X-CR-C9-01,WA-006,Y,N,X-CR-C9-01 폼빌더에 수치 범위 조건 타입 부재 — 자유치수 19건+raw-only 7건 UI 관리 불가,R1 · L4 판정 승계,,
STD-OPT-041,옵션·견적,제약,수량 최소/최대/증분 검증,partial,F-036;IA-036;P-MINIBOARD-QTY-01;SCOPE-036,WA-003;WA-007,Y,Y,raw/webadmin/webadmin/config/urls.py:373 (validate) · P-MINIBOARD-QTY-01 min1 < 완제품가 시작4 저청구,R1 · L4 판정 승계,,
STD-OPT-042,옵션·견적,제약,사이즈 범위·비율 검증(매트릭스 밖 사이즈 차단),partial,F-035;IA-035;SCOPE-035;X-CR-C9-01,WA-007,Y,N,X-CR-C9-01 수치 범위 조건 타입 부재,R1 · L4 판정 승계,,
STD-OPT-043,옵션·견적,가격,옵션 변경 시 실시간 재견적,done,F-049;IA-049;SCOPE-049,WA-035;SB-011;SB-025,Y,N,raw/webadmin/webadmin/config/urls.py:248 (api/w/v1/price) · huni-widget.tsx:162-176 · src/app/api/printly/requote/route.ts:16-50,R1 · L4 판정 승계,,
STD-OPT-044,옵션·견적,가격,서버 권위 가격 계산(클라이언트 계산 금지),done,F-049;IA-049;SCOPE-049,WA-025;WA-035,Y,N,raw/webadmin/webadmin/catalog/pricing.py:1 (evaluate_price 1561줄) · config/urls.py:248,R1 · L4 판정 승계,,
STD-OPT-045,옵션·견적,가격,가격 0원/계산불가 상태 처리 및 사용자 안내,todo,P-ANCHOR-149-01;P-PRICED0-6-01;P-QUOTE0-100-01;P-ZEROQUOTE-119-01,,Y,Y,P-ZEROQUOTE-119-01 0원 견적 조합 119건/32상품 — 손님이 0원에 주문 가능(4주째 OPEN),R1 · L4 판정 승계 · [conflict 보존 · P-PRICED0-6-01] §29 03_schedule/blocked-before-widget.md:51-53 = BLOCKED-미바인딩 vs §23 HANDOFF.md:84 = 라이브 COMMIT 완료. 시점은 §29(06-30) < §23(07-01/02)이라 §29가 stale일 가능성이 높으나 라이브 재실측 전에는 단정 불가 (gaps-t1-data.md:47-50 기록).,,
STD-OPT-046,옵션·견적,가격,가격 내역 분해 표시(인쇄비·후가공비·부가세),partial,F-063;IA-063;SCOPE-063,WA-022;SB-011,Y,Y,"raw/webadmin/webadmin/config/urls.py:157,159 (가격 다이어그램/소스 추적 — 운영자용) · huni-widget.tsx:162-176",R1 · L4 판정 승계,,
STD-OPT-047,옵션·견적,가격,수량구간 할인 적용,partial,F-050;IA-050;SCOPE-050,WA-023,Y,N,"raw/webadmin/webadmin/config/urls.py:137,177-181 (수량구간 할인표 관리)",R1 · L4 판정 승계,,
STD-OPT-048,옵션·견적,가격,면적 기반 가격 계산(실사·현수막·아크릴),partial,P-ACRYL-INTEGRITY-156-01;P-AREA-CUSTOM-01;P-POSTER-FORMULA-SPLIT-01;P-POSTER-TRANSPOSE-01,WA-025,Y,Y,raw/webadmin/webadmin/catalog/pricing.py:1 · P-ACRYL-INTEGRITY-156-01 면적 미적재 156셀 + 12/13 상품 공식 0바인딩,R1 · L4 판정 승계,,
STD-OPT-049,옵션·견적,가격,원자합산형 가격 계산(디지털인쇄),partial,P-L1-109-01;P-ORPHAN-211-01;P-OVERCHARGE-8-01,WA-025;WA-018,Y,Y,raw/webadmin/webadmin/catalog/pricing.py:1 · config/urls.py:144-148 (단가 그리드 편집) · P-L1-109-01 109상품 가격공식 미바인딩,R1 · L4 판정 승계,,
STD-OPT-050,옵션·견적,가격,고정가형 가격 계산(수량×옵션),partial,P-ACC-20-01;P-GOODS-DIRECTPRICE-01;P-GOODS57-LOAD-01,WA-025;WA-024,Y,Y,raw/webadmin/webadmin/catalog/pricing.py:1 · config/urls.py:113-117 (시작가) · P-GOODS-DIRECTPRICE-01 굿즈파우치 직접단가 110건 미적재,R1 · L4 판정 승계,,
STD-OPT-051,옵션·견적,가격,셋트/부품조립 상품 합산 가격 계산,partial,P-SET-072-01;P-SET-088-01;P-VERIFY-SET7-01;X-SET-SIZCD-01,WA-008;WA-021,Y,Y,raw/webadmin/webadmin/config/urls.py:336 (셋트상품 관리) · :169 (셋트 가격 시뮬레이션) · X-SET-SIZCD-01 고정가형 셋트 화면 0원,R1 · L4 판정 승계,,
STD-OPT-052,옵션·견적,가격,판걸이수 기반 판형 원가 반영,partial,P-AXIS-265-01;X-ENGINE-PANSU-01,WA-025,Y,Y,X-ENGINE-PANSU-01 fn_calc_pansu에 prd_cd 인자 추가 + pricing.py 수정 필요(C트랙),R1 · L4 판정 승계,,
STD-OPT-053,옵션·견적,견적,견적 결과 저장(옵션보관함),todo,F-011;F-065;IA-011;IA-065;SCOPE-011;SCOPE-065,,N,N,F-065/SCOPE-065/IA-065 F5 옵션 보관함 저장·불러오기 CUSTOM·미착수,R1 · L4 판정 승계,,
STD-OPT-054,옵션·견적,견적,견적서 PDF/출력물 발급,todo,F-051;IA-051;SCOPE-051,,Y,N,F-051/SCOPE-051/IA-051 C3 견적서 생성·다운로드 CUSTOM·미착수,R1 · L4 판정 승계,,
STD-OPT-055,옵션·견적,견적,대량주문 견적 문의 접수,todo,F-070;F-116;IA-070;IA-116;SCOPE-070;SCOPE-116,SB-056,Y,Y,huni-skin-shopby src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent),R1 · L4 판정 승계,,
STD-ART-001,원고·파일,업로드,인쇄원고 파일 업로드(PDF/AI/EPS),partial,F-052;IA-052;SCOPE-052,WA-037;SB-019,N,Y,"raw/webadmin/webadmin/config/urls.py:250,252 · catalog/s3_artwork.py:208-280 (presign done) — 그러나 SB-019 stub: configurator-actions.tsx:74-86 버튼 라벨만 업로드·실동작은 장바구니 담기",R1 · L4 판정 승계,,
STD-ART-002,원고·파일,업로드,대용량 파일 분할/재개 업로드,partial,F-052;IA-052;SCOPE-052,WA-037,N,Y,raw/webadmin/webadmin/catalog/s3_artwork.py:208-280 (멀티파트),R1 · L4 판정 승계,,
STD-ART-003,원고·파일,업로드,업로드 진행률·실패 재시도,todo,F-052;IA-052;SCOPE-052,,N,Y,F-052/SCOPE-052/IA-052 D1 파일 업로드 CUSTOM·미착수,R1 · L4 판정 승계,,
STD-ART-004,원고·파일,업로드,건수별 개별 파일 업로드(디자인 N종),partial,F-052;IA-052;SCOPE-052,,N,Y,print-story/02_capture/order-flow-steps.md §A-4 건수 · §C-8 앞/뒷면 각각,R1 · L4 판정 승계 (lead 결정 2 로 뒤집음) · lead 결정 2 · new → partial (legacy 052 하위 변형),,
STD-ART-005,원고·파일,업로드,앞면/뒷면 파일 분리 업로드,partial,F-052;IA-052;SCOPE-052,,N,Y,print-story/02_capture/order-flow-steps.md §C-8,R1 · L4 판정 승계 (lead 결정 2 로 뒤집음) · lead 결정 2 · new → partial (legacy 052 하위 변형),,
STD-ART-006,원고·파일,업로드,주문 이후 파일 업로드 경로(결제 후 입고),partial,F-075;IA-075;SCOPE-075,WA-052,N,Y,raw/webadmin/webadmin/catalog/artwork_promote.py:1 (tmp→order 버킷 승격) · models.py:1081,R1 · L4 판정 승계,,
STD-ART-007,원고·파일,업로드,파일 재업로드·버전 이력 보관,partial,F-137;IA-137;SCOPE-137,WA-052,N,Y,raw/webadmin/webadmin/catalog/artwork_promote.py:1,R1 · L4 판정 승계,,
STD-ART-008,원고·파일,검판,파일 포맷 유효성 검사,todo,F-137;IA-137;SCOPE-137;X-DEC-FILECHECK-01,,N,Y,X-DEC-FILECHECK-01 OQ-G11 파일 검수 기준 미확정(1차),R1 · L4 판정 승계,,
STD-ART-009,원고·파일,검판,재단선/블리드 3mm 확보 검사,todo,F-137;IA-137;SCOPE-137;X-DEC-FILECHECK-01,,N,Y,X-DEC-FILECHECK-01 OQ-G11 파일 검수 기준 미확정(1차),R1 · L4 판정 승계,,
STD-ART-010,원고·파일,검판,색공간(CMYK) 검사 및 RGB 경고,todo,F-137;IA-137;SCOPE-137;X-DEC-FILECHECK-01,,N,Y,X-DEC-FILECHECK-01 OQ-G11 파일 검수 기준 미확정(1차),R1 · L4 판정 승계,,
STD-ART-011,원고·파일,검판,해상도(dpi) 검사,todo,F-137;IA-137;SCOPE-137;X-DEC-FILECHECK-01,,N,Y,X-DEC-FILECHECK-01 OQ-G11 파일 검수 기준 미확정(1차),R1 · L4 판정 승계,,
STD-ART-012,원고·파일,검판,폰트 아웃라인 여부 검사,todo,F-137;IA-137;SCOPE-137;X-DEC-FILECHECK-01,,N,Y,X-DEC-FILECHECK-01 OQ-G11 파일 검수 기준 미확정(1차),R1 · L4 판정 승계,,
STD-ART-013,원고·파일,검판,주문 사양과 파일 실측 사이즈 대조,todo,F-137;IA-137;SCOPE-137;X-DEC-FILECHECK-01,,N,Y,X-DEC-FILECHECK-01 OQ-G11 파일 검수 기준 미확정(1차),R1 · L4 판정 승계,,
STD-ART-014,원고·파일,검판,별색 채널·오버프린트 검사,todo,F-137;IA-137;SCOPE-137;X-DEC-FILECHECK-01,,N,Y,X-DEC-FILECHECK-01 OQ-G11 파일 검수 기준 미확정(1차),R1 · L4 판정 승계,,
STD-ART-015,원고·파일,검판,검판 결과 리포트 고객 노출,todo,F-137;IA-137;SCOPE-137,,N,Y,F-137/SCOPE-137/IA-137 파일확인처리 CUSTOM·미착수,R1 · L4 판정 승계,,
STD-ART-016,원고·파일,검판,자동검판 도구 연동(PitStop 등),new,,,N,N,print-kb/wiki/policy/order-mgmt.md#OMG-02 PitStop 연동 후보,R1 · L4 판정 승계,,
STD-ART-017,원고·파일,검판,검판 게이트 통과/보류 상태 관리,todo,F-137;IA-137;SCOPE-137,,N,Y,F-137/SCOPE-137/IA-137 파일확인처리,R1 · L4 판정 승계,,
STD-ART-018,원고·파일,검판,재업로드 요청 발송(문자/알림),todo,F-138;IA-138;SCOPE-138,,N,Y,F-138/SCOPE-138/IA-138 재업로드요청 문자 발송 PARTIAL·대기 · X-SMS-CONTRACT-01 알림톡/SMS 계약 미체결,R1 · L4 판정 승계,,
STD-ART-019,원고·파일,미리보기,업로드 파일 썸네일·PDF 미리보기,todo,F-053;F-160;IA-053;SCOPE-053;SCOPE-160,,N,Y,F-053/SCOPE-053/IA-053 D2 편집상품 미리보기·썸네일 CUSTOM·미착수,R1 · L4 판정 승계,,
STD-ART-020,원고·파일,미리보기,재단선 오버레이 미리보기,todo,IA-058;SCOPE-058,,N,N,SCOPE-058/IA-058 E2 인쇄영역·도련 가이드 PARTIAL·미착수,R1 · L4 판정 승계,,
STD-ART-021,원고·파일,에디터,온라인 디자인 에디터 진입,partial,F-054;IA-054;SCOPE-054,WA-041;SB-020,N,Y,"raw/webadmin/webadmin/config/urls.py:274,275 · catalog/edicus_lookup.py:214-260 (resolve/token done) — 그러나 SB-020 stub: configurator-actions.tsx:170-176 onClick 없음(데드 버튼)",R1 · L4 판정 승계,,
