axis,axis_name,row_id,track,step,title,status,verdict,owner_proposed,judged_by,prereq,evidence,axis_note
1,위젯·가격,STD-CAT-040,T2,A1,시작가가 API 로 샵바이에 내려가는데 쇼핑몰에 반영되지 않는 원인 확인,미착수,재배정,서희항·최숙진,rule-step,STD-CAT-039,후니정기미팅 정리260915.html §가격·템플릿 데이터 · 미결 2,시작가가 샵바이에 반영 안 되는 원인 규명 → ①
1,위젯·가격,STD-CAT-043,T2,A4,목록·검색 시작가를 webadmin `GET /api/w/v1/catalog`(게시 위젯+시작가) 로 이관 — 「10원~」 더미 대체 개발안,미착수,분할,김동학+서희항,merged-owner_side,STD-CAT-028,SPEC-TAKEOVER-001 spec.md D-2 ① · huni-skin-shopby/src/lib/api/server/catalog.ts(shopby salePrice 사용),시작가를 GET /api/w/v1/catalog 로 이관 = huni-mall 이 부르는 계약 → ③
1,위젯·가격,STD-OPT-004,T2,A3,옵션 선택 캐스케이드(상위 선택이 하위 목록 갱신),부분,담당맞음,서희항,merged-owner_side,—,raw/webadmin/webadmin/config/urls.py:249 (validate) · :368 (dim-choices),
1,위젯·가격,STD-OPT-005,T2,A3,토글형 후가공 섹션(켜야 하위 선택지 노출),부분,담당맞음,서희항,rule-step,—,print-story/02_capture/order-flow-steps.md §A-7 토글형 후가공,
1,위젯·가격,STD-OPT-006,T2,A3,옵션 그룹 접기/펼치기·진행 스텝 표시,부분,담당맞음,서희항,merged-owner_side,—,print-story/02_capture/order-flow-steps.md §C 옵션 테이블 복잡도,
1,위젯·가격,STD-OPT-016,T2,B2,작업 사이즈 입력·자동 도출(도련 포함),부분,재배정,서희항,merged-owner_side,—,P-BLEED-32-01 HOLD_BASIS 32건 — 라이브 완제품 사이즈에 블리드 미적용(자동제외 중),
1,위젯·가격,STD-OPT-019,T2,B2,페이지 수 입력(책자류 필수 축),부분,담당맞음,서희항,rule-step,—,X-ENGINE-PAGE-01 094 30P 보류(page 전송 코드트랙) · P-PHOTOBOOK-PAGEFEE-01 페이지비 전액 미청구,
1,위젯·가격,STD-OPT-024,T2,B2,코팅 선택(무광/유광 × 단면/양면),부분,담당맞음,서희항,rule-step,—,X-ENGINE-SETCOAT-01 price_simulate_set이 coat_side_cnt 드롭 → 셋트 경로 표지 코팅비 누락(C트랙),
1,위젯·가격,STD-OPT-025,T2,B2,박 선택(색상 다종 × 면 × 크기 × 내용같음/틀림),부분,재배정,서희항,merged-owner_side,—,X-ENGINE-FOIL-01 박 엔진 미지원 — 027/028/029 박 가산 전부 0(데이터로 못 고침·C트랙),
1,위젯·가격,STD-OPT-026,T2,B2,형압(양각/음각) 선택,부분,담당맞음,서희항,evidence-path,—,raw/webadmin/webadmin/config/urls.py:356-360 (옵션 축) · X-ENGINE-FOIL-01 동일 엔진 경로,
1,위젯·가격,STD-OPT-027,T2,B2,오시 선택(줄 수 × 방향),부분,담당맞음,서희항,evidence-path,—,raw/webadmin/webadmin/config/urls.py:356-360 · 오배선 실증 huni-product-lifecycle §7.4,
1,위젯·가격,STD-OPT-028,T2,B2,미싱 선택,부분,담당맞음,서희항,rule-step,—,P-DEDUP-PROC-3-01 공정 중복정리 BLOCKED 3건(미싱086 포함) — 부모↔자식 가격사슬 단절,
1,위젯·가격,STD-OPT-029,T2,B2,타공 선택(직경 × 개수 × 위치),부분,담당맞음,서희항,rule-step,—,X-WGT-PUNCH-01 시뮬레이터/위젯이 procs detail{타공수}를 전송해야 타공수별 가산 작동(코드트랙),
1,위젯·가격,STD-OPT-030,T2,B2,귀돌이/라운딩 선택(반경 × 모서리 위치),부분,담당맞음,서희항,rule-step,—,X-WGT-ATTB-01 합성 ATTB / size-linked 반경 잠복 — 컨버전 시 보정 필요,
1,위젯·가격,STD-OPT-032,T2,B2,넘버링(일반/난수 × 자릿수 × 개수) 선택,미착수,담당맞음,서희항,rule-step,—,print-story/02_capture/order-flow-steps.md §C-7-5 넘버링,
1,위젯·가격,STD-OPT-033,T2,B2,부분UV/에폭시 선택,부분,담당맞음,서희항,rule-step,—,X-GAP-UVFORM-01 webadmin UV 변형 입력 폼 적재경로 '미상' 정직 표기 잔존,
1,위젯·가격,STD-OPT-035,T2,B2,상품별 기본제공 부자재 규칙 표시,미착수,재배정,서희항,merged-owner_side,—,F-046/SCOPE-046/IA-046 B13 추가상품 PARTIAL·미착수,
1,위젯·가격,STD-OPT-037,T2,A3,옵션 조합 제약 규칙 평가(불가 조합 차단·사유 표시),부분,담당맞음,서희항,merged-owner_side,—,raw/webadmin/webadmin/config/urls.py:371 (제약규칙 관리) · :249 (validate) — 그러나 X-CR-ENFORCE-CLIENT-01: 위젯/장바구니/주문 어디에도 validate 호출 없음,
1,위젯·가격,STD-OPT-038,T2,A3,자재→가능 인쇄방식 게이팅,부분,담당맞음,서희항,evidence-path,—,raw/webadmin/webadmin/config/urls.py:371 · X-CR-ENFORCE-ENGINE-01 가격엔진이 제약을 전혀 참조하지 않음,
1,위젯·가격,STD-OPT-039,T2,A3,공정 택일 그룹(상호배타) 처리,부분,재배정,서희항,evidence-path,—,raw/webadmin/webadmin/config/urls.py:371 · P-CPQ-CLASSA-01 PRD_000146 고리 그룹 sel_typ/min/max NULL,
1,위젯·가격,STD-OPT-040,T2,A3,필수 동반 옵션 강제(예 인쇄없음 시 후가공 필수),부분,담당맞음,서희항,rule-step,—,X-CR-C9-01 폼빌더에 수치 범위 조건 타입 부재 — 자유치수 19건+raw-only 7건 UI 관리 불가,
1,위젯·가격,STD-OPT-042,T2,A3,사이즈 범위·비율 검증(매트릭스 밖 사이즈 차단),부분,담당맞음,서희항,rule-step,—,X-CR-C9-01 수치 범위 조건 타입 부재,
1,위젯·가격,STD-OPT-048,T2,A2,면적 기반 가격 계산(실사·현수막·아크릴),부분,재배정,서희항,evidence-path,—,raw/webadmin/webadmin/catalog/pricing.py:1 · P-ACRYL-INTEGRITY-156-01 면적 미적재 156셀 + 12/13 상품 공식 0바인딩,
1,위젯·가격,STD-OPT-050,T2,A2,고정가형 가격 계산(수량×옵션),부분,재배정,서희항,evidence-path,—,raw/webadmin/webadmin/catalog/pricing.py:1 · config/urls.py:113-117 (시작가) · P-GOODS-DIRECTPRICE-01 굿즈파우치 직접단가 110건 미적재,
1,위젯·가격,STD-OPT-051,T2,A2,셋트/부품조립 상품 합산 가격 계산,부분,재배정,서희항,merged-owner_side,—,raw/webadmin/webadmin/config/urls.py:336 (셋트상품 관리) · :169 (셋트 가격 시뮬레이션) · X-SET-SIZCD-01 고정가형 셋트 화면 0원,
1,위젯·가격,STD-OPT-053,T2,B2,견적 결과 저장(옵션보관함),미착수,재배정,서희항,rule-track,EXT-EDICUS,F-065/SCOPE-065/IA-065 F5 옵션 보관함 저장·불러오기 CUSTOM·미착수,
1,위젯·가격,STD-OPT-054,T2,B2,견적서 PDF/출력물 발급,미착수,재배정,서희항,rule-track,—,F-051/SCOPE-051/IA-051 C3 견적서 생성·다운로드 CUSTOM·미착수,
1,위젯·가격,T2-2,T2,A3,위젯 기본값 미지정 교정·재게시,부분,재배정,서희항,merged-owner_side,T2-1 · 결정 10(기본값 지정 주체),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:4,
1,위젯·가격,T2-3,T2,A4,샵바이 상품 연동 — 시작가 「10원~」 교정·상품 수 296/291/297 불일치 규명,부분,담당맞음,서희항,merged-owner_side,결정 23·29,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:5,
2,에디터·원고,STD-ART-002,T2,B3,대용량 파일 분할/재개 업로드,구현-미검증,담당맞음,서희항,merged-owner_side,—,raw/webadmin/webadmin/catalog/s3_artwork.py:208-280 (멀티파트),
2,에디터·원고,STD-ART-003,T2,B3,업로드 진행률·실패 재시도,부분,담당맞음,서희항,rule-step,—,F-052/SCOPE-052/IA-052 D1 파일 업로드 CUSTOM·미착수,
2,에디터·원고,STD-ART-004,T2,B3,건수별 개별 파일 업로드(디자인 N종),부분,담당맞음,서희항,merged-owner_side,—,print-story/02_capture/order-flow-steps.md §A-4 건수 · §C-8 앞/뒷면 각각,
2,에디터·원고,STD-ART-005,T2,B3,앞면/뒷면 파일 분리 업로드,부분,담당맞음,서희항,rule-step,—,print-story/02_capture/order-flow-steps.md §C-8,
2,에디터·원고,STD-ART-006,T2,B3,주문 이후 파일 업로드 경로(결제 후 입고),부분,담당맞음,서희항,evidence-path,STD-MFG-136;STD-MFG-054,raw/webadmin/webadmin/catalog/artwork_promote.py:1 (tmp→order 버킷 승격) · models.py:1081,
2,에디터·원고,STD-ART-007,T2,B3,파일 재업로드·버전 이력 보관,부분,담당맞음,서희항,evidence-path,STD-MFG-055,raw/webadmin/webadmin/catalog/artwork_promote.py:1,
2,에디터·원고,STD-ART-018,T4,C4,재업로드 요청 발송(문자/알림),미착수,담당맞음,서희항,rule-step,EXT-ALIMTALK;STD-MFG-128,F-138/SCOPE-138/IA-138 재업로드요청 문자 발송 PARTIAL·대기 · X-SMS-CONTRACT-01 알림톡/SMS 계약 미체결,
2,에디터·원고,STD-ART-019,T2,B3,업로드 파일 썸네일·PDF 미리보기,미착수,재배정,서희항,rule-step,—,F-053/SCOPE-053/IA-053 D2 편집상품 미리보기·썸네일 CUSTOM·미착수,
2,에디터·원고,STD-ART-020,T2,B3,재단선 오버레이 미리보기,미착수,재배정,서희항,rule-step,—,SCOPE-058/IA-058 E2 인쇄영역·도련 가이드 PARTIAL·미착수,
2,에디터·원고,STD-ART-021,T2,B3,온라인 디자인 에디터 진입,부분,재배정,서희항,merged-owner_side,—,"raw/webadmin/webadmin/config/urls.py:274,275 · catalog/edicus_lookup.py:214-260 (resolve/token done) — 그러나 SB-020 stub: configurator-actions.tsx:170-176 onClick 없음(데드 버튼)",
2,에디터·원고,STD-ART-023,T2,B3,에디터 작업물 저장·재편집,미착수,재배정,서희항,rule-track,STD-OPT-053,X-WGTF-EDICUS-01 에디터 연동 계약 미상(U-6/U-7),
2,에디터·원고,STD-ART-024,T2,B3,에디터 산출물 인쇄용 파일 변환·주문 연결,부분,담당맞음,서희항,merged-owner_side,EXT-PG,X-WGTF-EDICUS-01 · X-EDX-D8-01 EDICUS Link Manager POD 채널 이중 등록,
2,에디터·원고,STD-ART-025,T2,B3,선택 옵션(사이즈·페이지)과 에디터 캔버스 동기화,부분,재배정,서희항,rule-step,—,P-EDICUS-MISSING-01 EDICUS 미등록/결손 — 셋트문구 5종·레더하드커버·벽걸이캘린더 2사이즈,
2,에디터·원고,STD-ART-027,T4,C2,과거 주문 파일 재사용 재주문,미착수,분할,서희항+김동학,rule-track,—,F-010/SCOPE-010/IA-010 주문상세조회(편집상품 미리보기) CUSTOM·미착수,
2,에디터·원고,STD-ART-028,T4,C5,생산용 원고 자동 다운로드/전달,부분,담당맞음,서희항,evidence-path,—,raw/webadmin/webadmin/catalog/artwork_promote.py:1 (order 버킷 승격),
2,에디터·원고,STD-ART-030,T2,B3,「옵션 조합에 연결된 편집기 템플릿 없음」 오류 — 에디쿠스 템플릿 연결 점검,미착수,담당맞음,서희항,merged-owner_side,STD-ART-031,후니정기미팅 정리260915.html §가격·템플릿 데이터 · 미결 3,
2,에디터·원고,STD-ART-031,T2,B3,삭제된 사이즈 코드가 연결된 템플릿 전수조사(800여 개 중 노출 대상 선별),미착수,담당맞음,서희항,rule-step,—,후니정기미팅 정리260915.html §가격·템플릿 데이터 · 미결 4,
2,에디터·원고,STD-ART-032,T2,B3,에디쿠스 테스트용 단순 상품(메모패드 등) 제공,미착수,재배정,서희항,rule-step,—,후니정기미팅 정리260915.html §가격·템플릿 데이터 · 미결 5,
2,에디터·원고,STD-CAT-033,T2,A1,디자인 상품 화면 구조 — 카테고리 → 디자인 목록 → 상세 페이지,미착수,재배정,서희항,merged-owner_side,STD-CAT-036,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 확정 2,디자인상품 화면 구조 = Edicus 템플릿 노출 경로 → ②
2,에디터·원고,STD-CAT-035,T2,A1,디자인 식별 규약 — PS코드 1개 + 템플릿 경로(이름) 구분·정사각형 공용 템플릿,미착수,담당맞음,서희항,merged-owner_side,STD-ADP-035,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 확정 4,PS코드·템플릿 경로 식별 규약 = Edicus 연결 키 → ②
2,에디터·원고,STD-CAT-036,T2,A1,디자인 목록 API — webadmin 등록분을 신규몰이 불러오는 연동,미착수,담당맞음,서희항,merged-owner_side,STD-ADP-035,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 확정 5,디자인 목록 API = webadmin 등록분을 독립몰이 읽는 연동이나 대상이 Edicus 템플릿 → ②
2,에디터·원고,STD-MFG-004,T4,C5,원고 승격 tmp→order 버킷 CopyObject,부분,담당맞음,서희항,evidence-path,EXT-PG,raw/webadmin/webadmin/catalog/artwork_promote.py · order-to-mes-process.md §4-2 || P1판정(260902): raw/webadmin/webadmin/catalog/artwork_promote.py:179 S3.copy_to_order · §11 1단계 [x],
2,에디터·원고,STD-MFG-005,T4,C5,승격 시 원본 실존·크기 실측 대조(head_object) fail-closed,부분,담당맞음,서희항,evidence-path,EXT-PG,artwork_promote.py:161 _promote_one · order-to-mes-process.md §4 승격 검증 || P1판정(260902): raw/webadmin/webadmin/catalog/artwork_promote.py:165 S3.head_object · :161 _promote_one,
2,에디터·원고,STD-MFG-006,T4,C5,승격 실패 시 주문 보류(HOLD)+사유 기록,부분,담당맞음,서희항,evidence-path,EXT-PG,artwork_promote.py:51 ORD_HOLD · order-to-mes-process.md §11 1단계 || P1판정(260902): raw/webadmin/webadmin/catalog/artwork_promote.py:51 ORD_HOLD,
2,에디터·원고,STD-MFG-008,T4,C5,원고 키 회차(r{n}) 규약·재업로드 누적 보관,부분,담당맞음,서희항,evidence-path,EXT-PG,[상위:STD-ART-007] raw/webadmin/webadmin/catalog/s3_artwork.py build_order_key() · order-to-mes-process.md §4 키 규약 || P1판정(260902): raw/webadmin/webadmin/catalog/s3_artwork.py:135 build_order_key(rev=1),
2,에디터·원고,STD-MFG-009,T4,C5,MES 넘길 파일 목록 산출(t_ord_artworks 최신 회차),부분,담당맞음,서희항,evidence-path,EXT-PG,raw/webadmin/webadmin/catalog/models.py:1096 TOrdArtworks · artwork_promote.py:319 latest_artworks || P1판정(260902): raw/webadmin/webadmin/catalog/artwork_promote.py:319 latest_artworks · models.py:1096,
2,에디터·원고,STD-MFG-064,T4,C4,편집기 상품 수정요청·수정완료 왕복,미착수,담당맞음,서희항,merged-owner_side,EXT-EDICUS;EXT-ALIMTALK,[상위:STD-ART-023] 후니프린팅_주문프로세스_20251001.pdf p.1 case3 || P1판정(260902): auto-vs-human §2.2 #37·#38 — 편집기 수정요청/수정완료 왕복 미구현,
2,에디터·원고,STD-MYP-003,T3,D2,편집상품 미리보기,미착수,분할,서희항+김동학,manual-read,EXT-EDICUS,SB-020 stub — huni-skin-shopby/src/components/product/configurator-actions.tsx:170-176 (onClick 없음),
2,에디터·원고,STD-MYP-030,T3,D2,"편집 디자인 보관함 — 편집 종료 후 보관, 장바구니 담기 전까지 수정 가능",부분,분할,김동학+서희항,merged-owner_side,STD-ART-024,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 확정 7 / 후니-오픈잔여작업-실무진안내_260909.html §항목 11 · ④ 완료 기준,
2,에디터·원고,T2-4,T2,B2,위젯 견적·원고 업로드·편집기(Edicus) 경로 검증,부분,담당맞음,서희항,merged-owner_side,T3-1(담기 결함),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:9,
3,API/SDK(huni-mall 이음매),BLK-S1-5,T4,C1,[선행 입력] `order/register` 계약(엔드포인트·페이로드·서버키),미착수,분할,서희항+신우진,rule-track,—,.moai/specs/SPEC-LAUNCHPLAN-001/research.md:305,
3,API/SDK(huni-mall 이음매),BLK-S2-1,T4,C1,[선행 입력] Railway 운영 변수 4종 설정 여부(값 아님) — `WAPI_SERVER_KEY_REQUIRED`·`SHOPBY_WEBHOOK_SECRET`·`SHOPBY_SYSTEM_KEY`·`SHOPBY_ACCESS_TOKEN`,미착수,분할,서희항+신우진,rule-track,—,.moai/specs/SPEC-LAUNCHPLAN-001/research.md:314,
3,API/SDK(huni-mall 이음매),BLK-S2-5,T4,C2,[선행 입력] Lightsail 이전 후 크론·워커 실행 형태,미착수,분할,서희항+신우진,rule-track,—,.moai/specs/SPEC-LAUNCHPLAN-001/research.md:318,
3,API/SDK(huni-mall 이음매),STD-MFG-001,T4,C5,주문 등록 API 수신(자사몰→우리·site_key/order_no/line_no/token),부분,담당맞음,서희항,manual-read,EXT-PG,raw/webadmin/webadmin/config/urls.py:268 POST /api/w/v1/order/register · order-to-mes-process.md §8.0 SF-1 || P1판정(260902): raw/webadmin/webadmin/config/urls.py:268 api_order_register · §11 0단계 [x],POST /api/w/v1/order/register 수신 = ③ 이음매 계약(urls.py:268)
3,API/SDK(huni-mall 이음매),STD-MFG-002,T4,C5,주문 등록 멱등 처리(재시도 already:true·같은 자리 다른 사양 409),부분,담당맞음,서희항,evidence-path,EXT-PG,"order-to-mes-process.md §8.0 SF-1 · §11 0단계 || P1판정(260902): raw/webadmin/webadmin/catalog/widget_api.py:4314,4329 _ord_row_response(already=False/True) · §11 0단계 [x]",
3,API/SDK(huni-mall 이음매),STD-MFG-003,T4,C5,결제 사양 전문 보관(t_ord_orders·서명 token 검증 후 전개),부분,담당맞음,서희항,evidence-path,EXT-PG,order-to-mes-process.md §6.5 · raw/webadmin/webadmin/catalog/models.py:1043 TOrdOrders || P1판정(260902): raw/webadmin/webadmin/catalog/models.py:1043 TOrdOrders · §6.5,
3,API/SDK(huni-mall 이음매),STD-MFG-022,T4,C7,주문 상태머신(REGISTERED/PROMOTING/PROMOTED/HOLD/PAID/FILE_CHECK/FILE_HOLD/MES_SENT/IN_PRODUCTION/PRODUCED/SHIPPED/DONE/CANCELED),부분,담당맞음,서희항,evidence-path,STD-MFG-136;EXT-MES,order-to-mes-process.md §6.2 · artwork_promote.py:49-52 || P1판정(260902): raw/webadmin/webadmin/catalog/artwork_promote.py:49-52 (REGISTERED/PROMOTING/PROMOTED/HOLD 4종 실재) · models.py:1070 ord_sts · §11 2단계 「주문 상태머신」 미체크,
3,API/SDK(huni-mall 이음매),STD-MFG-023,T4,C7,상태 단위=주문상품옵션(orderProductOptionNo)·주문 단위는 롤업,부분,담당맞음,서희항,evidence-path,—,"order-to-mes-process.md §6.3 || P1판정(260902): raw/webadmin/webadmin/catalog/models.py:1078 shop_line_no · :1093 unique_together(site_cd,shop_ord_no,shop_line_no)",
3,API/SDK(huni-mall 이음매),STD-MFG-024,T4,C7,3시스템 매핑 테이블(handoff_id·orderNo+orderProductOptionNo·MES 작업번호),부분,담당맞음,서희항,evidence-path,EXT-MES,order-to-mes-process.md §6.4 || P1판정(260902): raw/webadmin/webadmin/catalog/models.py:1043 TOrdOrders(handoff·shop_ord_no·shop_line_no 보유),
3,API/SDK(huni-mall 이음매),STD-MFG-030,T4,C7,우리가 올린 상태변경 웹훅 메아리 필터(무한루프 방지),미착수,담당맞음,서희항,merged-owner_side,EXT-MES;EXT-NHN;STD-MFG-136,order-to-mes-process.md §8.1 SB-2 분기표 || P1판정(260902): §8.1 SB-2 분기표 설계만 · 코드 0건,
3,API/SDK(huni-mall 이음매),STD-MFG-136,T4,C5,샵바이 웹훅 이벤트 수신 후 소비(결제완료 → 주문 상태 반영 · 생산 전환 착수),미착수,담당맞음,서희항,evidence-path,EXT-PG;EXT-NHN,L0/N3/ARCHITECTURE-v2.md §10 A-9 · raw/webadmin/webadmin/config/urls.py:271 (수신 엔드포인트 실재) · raw/webadmin/webadmin/catalog/shopby_hook.py (수신함만 · 소비자 grep 0건),샵바이 웹훅 소비 = t57 이음매 ④
3,API/SDK(huni-mall 이음매),STD-PAY-013,T3,B6,결제 금액 위변조 검증(서버 재계산 대조),부분,분할,김동학+서희항,manual-read,—,huni-skin-shopby/src/lib/api/widget-order.ts:26-35 (10원×orderCnt 적재 — 견적가 우회 적재) · X-PRICE-BRIDGE-01 동적 계산가 무손실 환원 경로 미확정,서버 재계산 대조 = 가격 브리지 계약 → ③
3,API/SDK(huni-mall 이음매),STD-PAY-031,T3,B6,위젯 총액↔shopby 청구액 「10원×수량」 모델 정합 검증(표시↔청구 불일치 알려진 이슈),미착수,분할,김동학+서희항,manual-read,EXT-PG,huni-skin-shopby/README.md:70 「⚠ 알려진 이슈」 · commit 223c490 `orderCnt=총액÷10` · commit 30cb88a 본문 「10원×수량 모델과 일치」,「10원×수량」 표시↔청구 정합 = 가격 브리지 계약 → ③
3,API/SDK(huni-mall 이음매),STD-SYS-008,T4,C3,인쇄 도메인 DB ↔ 커머스 상품 동기화,부분,재배정,서희항,manual-read,—,WA-045 done — raw/webadmin/webadmin/catalog/shopby_sync.py:1-30 · WA-046 done — catalog/shopby_client.py:1-50 · SB-015 partial — huni-skin-shopby/src/lib/printly/product-code-map.ts:41-49 (수동 7건만 등록),
3,API/SDK(huni-mall 이음매),STD-SYS-010,T4,C3,원고 저장소(스토리지) 연동,구현-미검증,재배정,서희항,evidence-path,—,WA-037 raw/webadmin/webadmin/config/urls.py:251 upload/presign · catalog/s3_artwork.py:208-280 · WA-052 catalog/artwork_promote.py:1,
3,API/SDK(huni-mall 이음매),STD-SYS-016,T7,E4,주문/결제 실패 모니터링·알림,부분,재배정,서희항,evidence-path,—,WA-055 done — raw/webadmin/webadmin/catalog/abuse_log.py:1 · rate_alerts.py:61-75 (텔레그램 알림),
3,API/SDK(huni-mall 이음매),STD-SYS-045,T4,C3,후니 위젯 서버키 헤더(X-Huni-Server-Key) 전송 배선 — 제공자가 WAPI_SERVER_KEY_REQUIRED 를 켜면 재견적이 403,미착수,분할,김동학+서희항,merged-owner_side,EXT-HUNI-SERVERKEY,huni-skin-shopby/src grep `X-Huni-Server-Key` 0곳 · huni-skin-next/src/lib/printly/server-key.ts(포크 구현·commit 6231dc4) · SPEC-TAKEOVER-001 spec.md:43·D-4,
3,API/SDK(huni-mall 이음매),T4-2,T4,C2,원고 승격 실파일 1건 종단 + 웹훅 해석 소비자 구현(입금→PAID 전이),구현-미검증,담당맞음,서희항,rule-step,T4-1 · 결정 13(웹훅 등록 경로),_workspace/huni-launch-runway/07_rebaseline/S/S2-pipeline/pipeline-status.csv:13,웹훅 해석 소비자 구현(입금→PAID) → ③
4,생산연동(PitStop·MES),STD-ADO-015,T4,C5,생산 지시 데이터 연계(JDF/XJDF),미착수,담당맞음,서희항,rule-step,—,print-kb/wiki/base/prepress-file.md#BPF-004 · L4 사유: 생산 지시 데이터 연계(JDF/XJDF)가 기존 분모에 없다. 근거출처=print-kb prepress-file.md#BPF-004 로 오염 아님,
4,생산연동(PitStop·MES),STD-ART-008,T4,C4,파일 포맷 유효성 검사,미착수,provided,서희항,merged-owner_side,EXT-PITSTOP,X-DEC-FILECHECK-01 OQ-G11 파일 검수 기준 미확정(1차),provided 판정 8행 중 하나 — PitStop 제품 제공 기능. 우리 일은 연동·확인 → ④
