std_id,대분류,기능,매핑legacy_id,매핑asis_id,상태,근거,사유
STD-ADP-011,운영자·상품가격,굿즈 상품 등록,F-110;SCOPE-110;IA-110;P-GOODS57-LOAD-01;P-GOODS-NOAUTH-5-01,WA-001;WA-002,done,raw/webadmin/webadmin/config/urls.py:333 · raw/webadmin/webadmin/config/urls.py:353,굿즈도 동일 상품 화면(prd_typ 로 구분) — 굿즈 전용 등록 화면이 따로 있는 구조가 아님
STD-ADP-012,운영자·상품가격,포장재 상품 등록,F-112;SCOPE-112;IA-112,WA-001,done,raw/webadmin/webadmin/config/urls.py:333 상품 뷰어(prd_typ 공통),포장재도 공통 상품 화면
STD-ADP-013,운영자·상품가격,상품-카테고리 귀속(다중분류),P-CAT-INTEGRITY-01;P-CATCONF-QUEUE-01;P-YELLOW-CAT-01;SCOPE-109;IA-109;F-153;SCOPE-153;X-DEC-CATTREE-01;X-SHOPBY-ASSIGN-VOLATILE-01;X-SHOPBY-HYGIENE-01;P-DEDUP-CATBLIND-01,WA-012,done,raw/webadmin/webadmin/catalog/admin.py:2071 ProductCategoriesInline(상품 편집화면에서 다중 카테고리 지정) · raw/webadmin/webadmin/config/urls.py:349 카테고리 마스터,다중분류·주카테고리(main_cat_yn) 인라인 라이브. 샵바이측 배정 휘발성(X-SHOPBY-ASSIGN-VOLATILE)은 별개 축
STD-ADP-014,운영자·상품가격,상품 진열/노출 상태 관리,X-SKIN-REACH-01;P-PRODUCT-IMAGE-01,WA-001;SB-005,partial,raw/webadmin/webadmin/catalog/admin.py:2244 del_yn/use_yn 제네릭 처리 · huni-skin-shopby/src/lib/api/server/catalog.ts:5 상품 목록 조회,노출 플래그는 있으나 전시 진열 운영툴이 없어 판매중 217건 중 117건 도달 불가(X-SKIN-REACH)
STD-ADP-015,운영자·상품가격,상품 상세페이지 콘텐츠 편집,X-PB-GATE-01;X-PB-CONCEPT-01;X-PB-DESIGN-01;X-PB-INVENTORY-01;X-PB-OPSSIM-01;X-PB-REVERIFY-01;X-PB-CLEANUP-01;X-PB-DOC-01;X-PB-EMPTYVAL-01;X-PB-C7-01;X-PB-RISK-01;X-PB-T4-01;X-PB-UX-01;X-PB-PARTNER-BUG-01;X-PB-PARTNER-CFG-01;X-PB-PARTNER-OPT-01,SB-016,partial,huni-skin-shopby/src/app/(main)/product/[slug]/page.tsx:51-56 Pie Canvas 발행 상세탭 조회,발행물 조회는 배선됐으나 편집기는 파트너사 페이지빌더이고 게이트 NO-GO(X-PB-GATE) — 운영자 편집 동선 미확정
STD-ADP-016,운영자·상품가격,셋트(부품조립) 상품 구성 관리,P-SET-072-01;P-SET-088-01;P-SET-INNER-PAGE-01;P-SET-MEMBRANE-PRINT-01;P-SET-PREMIUM-UNDER-01;P-PHOTOBOOK-DBL-01;P-VERIFY-SET7-01;X-SET-UI-MEMBER-01;X-SET-UI-4-01;X-SET-SIZCD-01;X-ENGINE-SETCOAT-01;P-EDX-BOOK5-01,WA-008;WA-021,done,raw/webadmin/webadmin/config/urls.py:336 셋트상품 관리 · raw/webadmin/webadmin/catalog/models.py:510 셋트 모델 · raw/webadmin/webadmin/catalog/admin.py:2071 ProductSetsInline,셋트 구성 그릇·화면 라이브. 붙은 12건은 구성/가격 결함
STD-ADP-017,운영자·상품가격,상품별 옵션그룹 구성,P-OPT-D7-65-01;P-CPQ-OPT-020-01;P-DEADPARENT-500-01;P-CPQ-CLASSA-01,WA-003,done,raw/webadmin/webadmin/config/urls.py:356-360 옵션그룹/옵션/항목 CRUD,옵션 3계층 CRUD 라이브
STD-ADP-018,운영자·상품가격,옵션 항목 ↔ 차원 참조 연결,X-CPQ-MEMBERSHIP-08-01;P-AXIS-265-01;X-DDL-REFPARAM-SLOT-01;X-EDX-VESSEL-01;X-ENGINE-OPTKEY-01;X-VERIFY-ADAPTER-01,WA-005,done,raw/webadmin/webadmin/config/urls.py:368 차원 선택지(dim-choices) 관리,polymorphic ref_dim_cd 연결 화면 존재. 축 미적재 265건은 데이터
STD-ADP-019,운영자·상품가격,옵션 참조 무결성 검증,P-HYGIENE-670-01;X-SENSOR-DIMVALS-01;X-SENSOR-VERIFYLOAD-01,WA-007,done,raw/webadmin/webadmin/config/urls.py:373 상품 유효성 검증(validate),무결성 검증 엔드포인트 라이브. 센서 자체 결함(하드코딩 기대행수)은 별건
STD-ADP-020,운영자·상품가격,추가상품 템플릿 구성,P-ACRYL-ADDON-6-01;P-DBMAP-APPROVAL-01,WA-004,done,raw/webadmin/webadmin/config/urls.py:363-365 상품 템플릿(추가상품) 관리,추가상품 템플릿 CRUD 라이브
STD-ADP-021,운영자·상품가격,제약규칙 등록(UI 폼빌더),X-CR-C9-01;X-CR-C10-01;X-CR-C3-01;X-CR-HANDOFF-01;P-CONSTRAINT-DATA-01;X-FOIL-MINQTY-01,WA-006,done,raw/webadmin/webadmin/config/urls.py:371 제약규칙(JSONLogic) 관리 · raw/webadmin/webadmin/catalog/models.py:801 제약 모델,폼빌더 화면 라이브. 수치범위 조건타입 부재(X-CR-C9)·RAW-ONLY(X-CR-C10)는 기능 결손 잔여
STD-ADP-022,운영자·상품가격,제약규칙 시뮬레이션·미리보기,X-CR-ENFORCE-CLIENT-01;X-CR-ENFORCE-ENGINE-01,WA-006,done,raw/webadmin/webadmin/config/urls.py:167 price_sim_constraints — '제약 cascade: 현재 선택 → 각 차원 불가값(비활성)',시뮬레이터 안에 제약 미리보기 cascade 가 실재(L2 미수집 항목 — 직접 열어 확인). 단 강제 지점 부재는 잔여
STD-ADP-023,운영자·상품가격,가격공식 등록·상품 바인딩,F-108;SCOPE-108;IA-108;P-L1-109-01;P-ORPHAN-211-01;P-POSTER-FORMULA-SPLIT-01;X-DEC-NAMECARD-FORMULA-01;P-WIRE-PROPOSAL-LOAD-01;P-CALENDAR-DESIGNBLOCKED-5-01;X-ENGINE-GP2-01;X-ENGINE-TWINRING-01;X-ENGINE-PAGE-01;X-ENGINE-BOOK-01;P-PED-BOOK-W12-01;P-PED-BOOK-W34-01;P-BOOK-5ITEM-01;P-PHOTOBOOK-PAGEFEE-01,WA-017;WA-025,done,raw/webadmin/webadmin/catalog/price_views.py:1882 TPrdProductPriceFormulas.objects.update_or_create (상품↔공식 바인딩 저장) · raw/webadmin/webadmin/config/urls.py:159 price_source_save · raw/webadmin/webadmin/catalog/pricing.py:1 evaluate_price,L2 가 전문 미독(§4-6)이라 놓친 저장 경로를 직접 확인 — 바인딩 추가/삭제가 실제로 동작한다
STD-ADP-024,운영자·상품가격,가격구성요소 등록·차원 지정,F-104;SCOPE-104;IA-104;P-EDX-SIZECONF-01;P-DUPSIZE-WIRING-01;P-EDX-MISSINGCELL-01;P-OVERCHARGE-8-01;P-SILENT-7-01;P-PED-PUNCH-01;X-ENGINE-AUTOPICK-01;P-EDX-HIGH40-01,WA-018;WA-019,done,raw/webadmin/webadmin/catalog/admin.py:2200-2206 PriceComponentAdminForm 사용차원 순서지정 위젯 + 단가유형 그룹제한 · raw/webadmin/webadmin/config/urls.py:144-148 단가 그리드,구성요소 등록·차원 지정 화면 라이브. use_dims 미충전으로 인한 과대청구(P-OVERCHARGE-8)는 데이터
STD-ADP-025,운영자·상품가격,단가행 일괄 등록(엑셀 업로드),P-19SHEET-BATCH-01;P-AUTH-3SHEET-01;P-SOT-RELOAD-65-01;P-GOODS-DIRECTPRICE-01;P-STATIONERY-SPARSE-01;P-DESIGNED22-01;P-POSTER-TRANSPOSE-01;P-STICKER-REPRICE-01;P-DCAL-LOAD-01;P-PED-STATIONERY-9-01;X-BATCH-REST-01;P-ACRYL-TBD-01;P-3JEOL-01;P-NEEDSBASICS-97-01;P-DBMAP-NEXT-01;P-DBMAP-OPEN-01;X-CONFIRM-PRICEAUTH-01;X-CONFIRM-PRICE-2-01;X-CONFIRM-FOMEX-01;X-CONFIRM-STICKER-01;X-CONFIRM-MEMOPAD-01;X-CONFIRM-GOODS-FIN1-01;P-HDX-BACKLOG-01;P-SET-PREMIUM-UNDER-01,WA-018,partial,raw/webadmin/webadmin/catalog/price_views.py:1650 '그리드에 보이는 행이 곧 이 구성요소의 전체 단가표(엑셀처럼)' · raw/webadmin/webadmin/catalog/templates/catalog/comp_price_grid_page.html:142-145 엑셀 복사·붙여넣기,★표준이 요구한 '엑셀 파일 업로드'는 없다 — 있는 것은 엑셀 클립보드 복붙 그리드. openpyxl/xlsx 임포트 코드 0건(전역 grep). 19시트 배치 적재가 사람 손 복붙에 묶여 있는 원인
STD-ADP-026,운영자·상품가격,단가유형(단가형/합가형) 설정,X-ENGINE-PRCTYP03-01;X-CONFIRM-PROCQTY-01;X-CONFIRM-QTYBASIS-01;X-DEC-VAT-01,WA-018,done,raw/webadmin/webadmin/catalog/admin.py:2202 'Phase 11: 사용차원 순서지정 위젯 + 단가유형 그룹제한(basecodes prc_typ_cd)',단가형/합가형 지정 UI 존재. prc_typ 오적재(X-ENGINE-PRCTYP03)는 데이터 교정
STD-ADP-027,운영자·상품가격,수량구간 할인테이블 관리,P-GOODS-DISCOUNT-203-01;P-PED-DSCLINK-4-01;X-CONFIRM-DSCDOUBLE-01;P-MINIBOARD-QTY-01,WA-023,done,raw/webadmin/webadmin/config/urls.py:137 할인테이블(수량구간)MD · raw/webadmin/webadmin/catalog/admin.py:2219-2231 수량구간 편집 팝업 · raw/webadmin/webadmin/catalog/price_views.py:2012 구간 그리드,수량구간 할인 관리 화면 라이브
STD-ADP-028,운영자·상품가격,면적 매트릭스 단가 관리,P-AREA-CUSTOM-01;P-ACRYL-INTEGRITY-156-01;X-ENGINE-ACRYL-AREA-01;X-CONFIRM-FOILAREA-01;X-CONFIRM-FOIL-042-SHEET-01;P-RC1-PRESET-01;X-ENGINE-FOIL-01,WA-018,partial,raw/webadmin/webadmin/config/urls.py:144-148 단가 그리드(차원 조합 행) · raw/webadmin/webadmin/catalog/pricing.py:1 evaluate_price,면적을 차원으로 표현할 그릇은 있으나 아크릴 면적 바인딩이 과소청구 확정이라 보류 중(X-ENGINE-ACRYL-AREA)·156셀 미적재 — 운영자가 면적 매트릭스를 온전히 관리하는 상태가 아님
STD-ADP-029,운영자·상품가격,템플릿 직접단가 관리,X-WGT-W2B-01,WA-018,done,"raw/webadmin/webadmin/catalog/price_views.py price_source_save kind='tmpl_price'(tmpl_cd·apply_ymd·unit_price, del_all 포함) · raw/webadmin/webadmin/config/urls.py:159",템플릿 직접단가 추가/삭제 경로 실재 — L2 미수집(§4-6 전문 미독 구간)
STD-ADP-030,운영자·상품가격,가격 적용시작일 기반 이력 관리,,WA-017,done,"raw/webadmin/webadmin/catalog/models.py:336,411 apply_bgn_ymd 복합PK · raw/webadmin/webadmin/catalog/pricing.py:363 apply_bgn_ymd__lte 최신본 선택 · raw/webadmin/webadmin/catalog/price_views.py:1039 '상품별 최신(apply_bgn_ymd) 공식' · raw/webadmin/webadmin/config/urls.py:159 적용시작일 지정 저장",적용시작일 이력이 그릇·엔진·저장경로 3층 모두에 실재. 대응 legacy 0건 — 아래 사유 참조
STD-ADP-031,운영자·상품가격,가격 시뮬레이터(운영자 검산),P-GOLDEN-83-01;P-VERIFY-104-01;P-FOIL-E2E-01;X-VERIFY-PROD-01;X-OPS-ADMINPW-01;P-DIECUT-2-01,WA-020;WA-021;WA-022,done,raw/webadmin/webadmin/config/urls.py:172 price-simulator 전용 페이지 · raw/webadmin/webadmin/config/urls.py:169 셋트 시뮬레이션 · raw/webadmin/webadmin/config/urls.py:157 가격 구조 다이어그램,운영자 검산 시뮬레이터 라이브. 골든 전수대조 미수행은 검증 과제
STD-ADP-032,운영자·상품가격,가격뷰어(계산 결과 조회),,WA-017;WA-024,done,raw/webadmin/webadmin/config/urls.py:32 가격 뷰어(공식/구성요소/단가행) · raw/webadmin/webadmin/config/urls.py:113-117 시작가 산출/수동설정,가격뷰어 라이브
STD-ADP-033,운영자·상품가격,가격 미산출(0원) 상품 진단 리포트,P-ZEROQUOTE-119-01;P-QUOTE0-100-01;P-QUOTE0-NAMECARD-01;P-ANCHOR-149-01;P-PRICED0-6-01;P-DRIFT-10-01;P-D5-17-01;P-MUG-193-01;P-PHOTOBOOK-D12-01;P-PHOTOCARD-024-01;P-WIDGET-BLOCKED-200-01;P-READINESS-FOLLOWUP-3-01;P-L2-31-01;P-DTLOPT-SWEEP-01;P-UNDER-5-01;P-UNDERCHARGE-BATCH-3-01;P-DBMAP-UNDERCHARGE-01;P-EDX-BOOK5-01,WA-019,todo,raw/webadmin/webadmin/config/urls.py:150 구성요소 사용처/중복 점검(dupcheck) — 0원 진단과는 다른 화면. 0원/미산출 리포트 화면은 urls.py 전체에 부재,0원 견적이 4주째 OPEN(P-ZEROQUOTE-119)인데 운영자가 스스로 찾아낼 화면이 없다 — 진단이 매번 하네스 실행에 묶임
STD-ADO-001,운영자·주문운영,주문 목록·검색·필터,F-136;SCOPE-136;IA-136;SCOPE-162;F-162,WA-040;SB-059;SB-060,partial,raw/webadmin/webadmin/catalog/models.py:1043 TOrdOrders(주문등록) + raw/webadmin/webadmin/catalog/admin.py:2049 제네릭 admin 자동등록(단독PK라 등록됨) · huni-skin-shopby/src/app/(admin)/admin/page.tsx:1-8 자리표시만,webadmin 에 뜨는 것은 '주문↔사양·원고 다리' 표이지 매출·결제·배송이 실린 주문 원장이 아니다. 실주문 운영은 샵바이 셀러어드민 소관이며 자사 화면은 빈 스캐폴드
STD-ADO-002,운영자·주문운영,주문 상세 조회(사양·파일·금액),F-136;SCOPE-136;IA-136;X-ORDER-SUBMIT-SPEC-01;X-FILEMETA-01,WA-040;WA-052;SB-059,partial,raw/webadmin/webadmin/catalog/models.py:1081 TOrdArtworks(주문 원고) · raw/webadmin/webadmin/catalog/artwork_promote.py:1 tmp→order 승격,사양·원고는 주문번호로 조회 가능. 금액 내역은 샵바이측
STD-ADO-003,운영자·주문운영,주문 상태 변경(단건),F-140;SCOPE-140;IA-140,WA-040,partial,raw/webadmin/webadmin/catalog/models.py:1070 ord_sts(주문상태) 컬럼 + 제네릭 admin 편집,상태 컬럼을 제네릭 admin 으로 고칠 수는 있으나 운영 동선(사유·이력·알림 연동)이 없는 raw 편집
STD-ADO-004,운영자·주문운영,주문 상태 일괄 변경,F-143;SCOPE-143;IA-143,,todo,,일괄 변경 UI 부재 — webadmin urls.py·shopby src/app 양쪽 모두 해당 라우트 없음
STD-ADO-005,운영자·주문운영,상태 변경 시 고객 알림 자동발송,F-140;SCOPE-140;IA-140;X-SMS-CONTRACT-01,,todo,,알림톡/SMS 서비스 계약 자체가 미체결(X-SMS-CONTRACT) — 발송 배선 이전 단계
STD-ADO-006,운영자·주문운영,주문서(작업지시서) 출력,F-139;SCOPE-139;IA-139,,todo,,주문서(작업지시서) 출력 경로 부재
STD-ADO-007,운영자·주문운영,고객 SMS/알림톡 수동 발송,F-144;SCOPE-144;IA-144;X-SMS-CONTRACT-01,,todo,,수동 발송 화면 부재 + 계약 미체결
STD-ADO-008,운영자·주문운영,파일 확인 처리(검판 판정),F-137;SCOPE-137;IA-137;X-DEC-FILECHECK-01;SCOPE-160;F-160,WA-052,todo,,원고 파일 승격(WA-052)은 있으나 검판 '판정'(합격·반려·사유) 화면이 없다. 파일 검수 기준 자체도 미확정(X-DEC-FILECHECK)
STD-ADO-009,운영자·주문운영,재업로드 요청 발송,F-138;SCOPE-138;IA-138,,todo,,재업로드 요청 발송 경로 부재(SMS 계약 종속)
STD-ADO-010,운영자·주문운영,검수 게이트 관리(G1 파일·G3 가공·G4 출고),,,new,,검수 게이트(G1 파일·G3 가공·G4 출고) 단계 관리가 기존 3개 분모 어디에도 없다. 근거출처=print-kb order-mgmt.md#OMG-05 로 ia.md 오염 아님
STD-ADO-011,운영자·주문운영,불량 판정·재작업 지시,,,new,,불량 판정·재작업 지시가 기존 분모에 없다. 근거출처=print-kb operations.md#OPS-04 로 ia.md 오염 아님
STD-ADO-012,운영자·주문운영,인쇄 공정 상태 트래킹,SCOPE-157;F-157;X-MES-SPEC-01;SCOPE-159;F-159,,todo,,생산정보 전달(주문→생산BOM)은 legacy 에 있으나 MES↔Front 통신 규격 미확정(X-MES-SPEC)
STD-ADO-013,운영자·주문운영,작업 큐/일정 배정,,,new,,작업 큐/일정 배정이 기존 분모에 없다. ★단 근거출처가 print-quote/04_design/ia.md(TR-PROC 워크큐) — §4-1 오염 구역이라 '독립 발견'으로 세면 안 된다
STD-ADO-014,운영자·주문운영,판걸이/임포지션 정보 산출,X-ENGINE-PANSU-01,WA-025,partial,raw/webadmin/webadmin/catalog/pricing.py:1 evaluate_price 안에서 판걸이수 계산(fn_calc_pansu) 사용,가격 계산 목적의 판걸이수는 산출되나 운영자가 임포지션 정보를 조회·출력하는 화면은 없다
STD-ADO-015,운영자·주문운영,생산 지시 데이터 연계(JDF/XJDF),,,new,,생산 지시 데이터 연계(JDF/XJDF)가 기존 분모에 없다. 근거출처=print-kb prepress-file.md#BPF-004 로 오염 아님
STD-ADO-016,운영자·주문운영,바코드/라벨 출력,,,new,,"바코드/라벨 출력이 기존 분모에 없다. ★근거출처가 ia.md(TR-PROC-3) — 오염 구역, 독립 발견 아님"
STD-ADO-017,운영자·주문운영,외주 발주 등록·관리,,,new,,외주 발주 등록·관리가 기존 분모에 없다. 근거출처=print-kb operations.md#OPS-05 로 오염 아님
STD-ADO-018,운영자·주문운영,외주 입고 전수검수 기록,,,new,,외주 입고 전수검수 기록이 기존 분모에 없다. 근거출처=print-kb operations.md#OPS-05 로 오염 아님
STD-ADO-019,운영자·주문운영,외주 정산(월 마감),F-134;SCOPE-134;IA-134,,todo,,legacy 는 '굿즈 발주/정산 Excel' 까지만 있고 월마감 외주정산은 그 부분집합이 아니다 — 인접 legacy 가 있으므로 new 로 올리지 않고 todo 로 둔다
STD-ADO-020,운영자·주문운영,송장 등록·일괄 업로드,X-CHK-DELIVERY-01,,todo,,송장 등록·일괄 업로드는 샵바이 셀러어드민 native 예상이나 연동 경로 미확인(X-CHK-DELIVERY)
STD-ADO-021,운영자·주문운영,출고 처리·배송중 전이,X-CHK-DELIVERY-01;X-DEC-CALLER-01;X-DEC-MIRROR-01,,todo,,출고 전이 호출 주체(후니 직접 vs 어드민 위임)가 미결(X-DEC-CALLER)
STD-ADO-022,운영자·주문운영,클레임 접수 목록·처리,X-SHOPBY-CLAIM-FSM-01,,todo,,클레임 상태머신이 미폐합(수거진행 중간상태 누락 등)
STD-ADO-023,운영자·주문운영,환불 실행·정산 반영,X-PG-CONTRACT-01;X-CHK-PGTEST-01,SB-032,todo,,PG 계약 미체결로 결제수단이 ACCOUNT/NONE 뿐(SB-032 absent) — 환불 실행 경로가 성립하지 않음
STD-ADO-024,운영자·주문운영,증빙서류 발급 관리,F-142;SCOPE-142;IA-142;X-TAXDOC-01;SCOPE-152;F-152,SB-053,todo,,고객측 증빙 화면은 정적 표 UI만(SB-053 stub)이고 발급 정책·팝빌 연동이 미결(X-TAXDOC)
STD-ADC-001,운영자·회원CS,회원 목록·검색·상세,F-123;SCOPE-123;IA-123,SB-059;SB-060,todo,,샵바이 셀러어드민 native 로 해결 예정(SCOPE-123 SOLVED)이나 자사 코드 근거는 0 — 자사 화면은 빈 스캐폴드
STD-ADC-002,운영자·회원CS,회원등급 수동 조정,SCOPE-146;F-146;X-DEC-GRADE-01,,todo,,grade_cd ↔ 샵바이 memberGrade 매핑이 미결(X-DEC-GRADE) — 등급가가 걸려 돈 영향
STD-ADC-003,운영자·회원CS,탈퇴회원 관리,SCOPE-124;IA-124,,todo,,샵바이 native 예상 · 자사 코드 근거 없음
STD-ADC-004,운영자·회원CS,프린팅머니 수동 지급·차감,F-125;SCOPE-125;IA-125;X-DEC-PRINTMONEY-01;X-MONEY-EXTKEY-01,SB-051,todo,,프린팅머니가 샵바이 적립금 재해석인지 별도 원장인지 미결(X-DEC-PRINTMONEY). 고객측 충전도 no-op(SB-051 stub)
STD-ADC-005,운영자·회원CS,쿠폰 생성·발행 관리,F-126;SCOPE-126;IA-126,SB-049,todo,,고객측 쿠폰 조회/등록은 done(SB-049)이나 운영자 발행 화면 근거 없음
STD-ADC-006,운영자·회원CS,쿠폰 등록·사용 내역 조회,SCOPE-127;IA-127;SCOPE-128;IA-128,,todo,,쿠폰 등록·사용 내역 운영 화면 근거 없음
STD-ADC-007,운영자·회원CS,공지사항 관리,SCOPE-114;IA-114,SB-054,todo,,"고객측 공지 조회는 done(SB-054, 샵바이 게시판)이나 운영자 등록·수정 화면은 자사 코드에 없음(셀러어드민 소관)"
STD-ADC-008,운영자·회원CS,FAQ 관리,SCOPE-115;IA-115,SB-056,todo,,FAQ 는 고객측 라우트조차 부재(SB-056 absent) — 운영 화면 이전 단계
STD-ADC-009,운영자·회원CS,상품Q&A 답변 관리,SCOPE-119;IA-119,,todo,,상품Q&A 답변 운영 화면 근거 없음
STD-ADC-010,운영자·회원CS,1:1 문의 답변 관리,SCOPE-120;IA-120,SB-056,todo,,1:1 문의는 고객측 라우트도 부재(SB-056 absent)
STD-ADC-011,운영자·회원CS,이용후기(리뷰) 관리·블라인드,F-122;SCOPE-122;IA-122,SB-018;SB-052,todo,,고객측 리뷰 조회·작성은 done(SB-018/SB-052)이나 운영자 블라인드·관리 화면 근거 없음
STD-ADC-012,운영자·회원CS,대량견적/기업상담/디자인상담 접수 관리,F-116;SCOPE-116;IA-116;SCOPE-117;IA-117;SCOPE-118;IA-118,,todo,,대량견적·기업상담·디자인상담 접수 관리 화면 근거 없음
STD-ADC-013,운영자·회원CS,메인/기획전 배너 관리,SCOPE-155,SB-001;SB-002;SB-003,todo,,메인 배너·BEST 큐레이션의 데이터원이 legacy mock 빈배열/정적 상수(SB-002 stub·SB-003 partial) — 운영자가 바꿀 자리가 없다
STD-ADC-014,운영자·회원CS,인쇄 가이드 콘텐츠 관리,IA-087,WA-049,done,raw/webadmin/webadmin/config/urls.py:72-87 가이드파일 업로드/관리 · raw/webadmin/webadmin/catalog/s3_guide.py:266-350,인쇄 가이드 파일 관리(S3)는 webadmin 에 라이브
STD-FIN-001,정산·통계,월별 매출 통계,SCOPE-133;IA-133,,todo,,월별 매출 통계 화면 근거 없음(샵바이 셀러어드민 통계 소관 추정)
STD-FIN-002,정산·통계,일별/기간별 매출 조회,,,new,,"일별/기간별 매출 조회가 기존 분모에 없다(legacy 는 월별만). ★근거출처가 ia.md — 오염 구역, 독립 발견 아님"
STD-FIN-003,정산·통계,결제수단별 매출 집계,,,new,,결제수단별 매출 집계가 기존 분모에 없다. 근거출처=print-kb order-payment.md#PAY-01 로 오염 아님
STD-FIN-004,정산·통계,상품별 판매 통계,F-129;SCOPE-129;IA-129;F-130;SCOPE-130;IA-130;F-131;SCOPE-131;IA-131;F-132;SCOPE-132;IA-132,,todo,,상품통계 4종이 legacy 에 있으나 구현 근거 없음
STD-FIN-005,정산·통계,상품군별 매출 비중,,,new,,상품군별 매출 비중이 기존 분모에 없다. ★근거출처가 ia.md(상품통계 4종) — 오염 구역
