legacy_id,원천,기능서술,원판정,돈여부,주문여부,L4c 비고
F-050,runway,No50 인쇄상품 — C2 수량별 가격표 보기 [CUSTOM·2차·M],미착수,True,False,
F-051,runway,No51 인쇄상품 — C3 견적서 생성·다운로드 [CUSTOM·2차·M],미착수,True,False,
F-052,runway,No52 인쇄상품 — D1 파일 업로드(PDF) [CUSTOM·1차·L],미착수,False,True,
F-053,runway,No53 인쇄상품 — D2 편집상품 미리보기·썸네일 [CUSTOM·1차·M],미착수,False,False,
F-054,runway,No54 인쇄상품 — D3 온라인 에디터 연동(Edicus) [CUSTOM·3차·XL],미착수,False,True,
F-055,runway,No55 인쇄상품 — D4 가변데이터 인쇄(VDP) [CUSTOM·3차·L],미착수,False,False,
F-059,runway,No59 인쇄상품 — E3 주문가능 자재 목록 모달 [CUSTOM·2차·M],미착수,False,True,
F-061,runway,No61 인쇄상품 — F1 주문 전 검증(필수옵션·파일·로그인) [PARTIAL·1차·M],미착수,False,True,
F-062,runway,No62 인쇄상품 — F2 주문 데이터 생성(선택옵션→주문 변환) [CUSTOM·1차·L],미착수,True,True,
F-063,runway,No63 인쇄상품 — F3 우측 플로팅 주문박스(가격·CTA) [PARTIAL·1차·M],미착수,True,True,
F-064,runway,No64 인쇄상품 — F4 장바구니 담기 [PARTIAL·1차·M],미착수,True,True,
F-065,runway,No65 인쇄상품 — F5 옵션 보관함 저장·불러오기 [CUSTOM·2차·M],미착수,False,False,
F-070,runway,No70 고객센터 — 대량주문 견적문의 [PARTIAL·2차·M],미착수,True,True,
F-074,runway,No74 결제 — 수동카드결제(PC+모바일) [CUSTOM·3차·M],미착수,True,False,
F-075,runway,No75 주문 — 파일/편집 정보입력 [CUSTOM·1차·XL],미착수,False,True,
F-076,runway,No76 주문 — 보관함/장바구니 [PARTIAL·1차·M],미착수,False,True,
F-077,runway,No77 주문 — 배송정보입력 [PARTIAL·1차·M],미착수,False,True,
F-080,runway,No80 결제하기(이니시스) — 게이트에서 SOLVED→조건부 재라벨 (가격브리지 종속),미착수,True,True,
F-081,runway,No81 주문완료+메일 — SOLVED→PARTIAL 재라벨,미착수,False,True,
F-082,runway,No82 주문 — 디자인 의뢰하기 [CUSTOM·3차·M],미착수,False,True,
F-087,runway,No87 가이드 — 작업시 유의사항(11개) [PARTIAL·2차·M],미착수,False,False,
F-088,runway,No88 마케팅 — 랜딩페이지 5종 [PARTIAL·3차·L],미착수,False,False,
F-089,runway,No89 마케팅 — 이용후기 메인 [PARTIAL·3차·M],미착수,False,False,
F-090,runway,No90 마케팅 — 체험단 모집 메인 [CUSTOM·3차·M],미착수,False,False,체험단 — 프로모션 축(L4b) 추정
F-091,runway,No91 상품 — 포장재상품 주문하기 [CUSTOM·2차·L],미착수,True,True,
F-092,runway,No92 상품 — 굿즈상품 주문하기+파우치&백 [CUSTOM·2차·L],미착수,False,True,
F-093,runway,No93 상품 — 수작 상품(메인+상품페이지) [CUSTOM·3차·L],미착수,False,False,
F-095,runway,No95 거래처 — 거래처관리 [CUSTOM·2차·M],미착수,False,False,거래처(B2B 고객)·매장게시판 — 운영자 화면이지만 표준 대응행은 B2B(L4b) 추정. webadmin 은 TCusCustomers 모델만 있고 전용 화면 부재(WA-060 partial)
F-096,runway,No96 거래처 — 매장게시판 [PARTIAL·3차·S],미착수,False,False,거래처(B2B 고객)·매장게시판 — 운영자 화면이지만 표준 대응행은 B2B(L4b) 추정. webadmin 은 TCusCustomers 모델만 있고 전용 화면 부재(WA-060 partial)
F-097,runway,No97 원장관리 — 계좌관리 [CUSTOM·2차·S],미착수,False,False,
F-098,runway,No98 원장관리 — 원장관리(오프라인 거래) [CUSTOM·2차·L],미착수,True,False,원장관리(계좌·오프라인 거래·업체별 미수금) — 돈이 걸린 B2B 원장. 내 정산·통계 12행에 대응 std 행이 없다. ★L1 표준의 진짜 결손 후보 — lead 교집합에서 우선 검토 요망
F-099,runway,No99 원장관리 — 업체별 미수금 [CUSTOM·2차·M],미착수,True,False,원장관리(계좌·오프라인 거래·업체별 미수금) — 돈이 걸린 B2B 원장. 내 정산·통계 12행에 대응 std 행이 없다. ★L1 표준의 진짜 결손 후보 — lead 교집합에서 우선 검토 요망
F-101,runway,No101 상품관리 — 사이즈선택 팝업 [CUSTOM·1차·M],미착수,False,False,
F-102,runway,No102 상품관리 — 소재선택 팝업 [CUSTOM·1차·M],미착수,False,False,
F-103,runway,No103 상품관리 — 종이선택 팝업 [CUSTOM·1차·M],미착수,False,False,
F-109,runway,No109 상품관리 — 굿즈 카테고리관리 [CUSTOM·2차·M],미착수,False,False,
F-111,runway,No111 상품관리 — 수작 상품등록 [CUSTOM·3차·M],미착수,False,False,수작/디자인 상품등록 — 상품 등록 계열이나 L1 운영자·상품가격 33행에 인쇄/굿즈/포장재만 있고 수작·디자인 행이 없다. ★표준 결손 후보(상품유형 SOT 상 디자인.04 는 폐기 축이라 의도적 제외일 수 있음)
F-113,runway,No113 상품관리 — 디자인 상품등록 [CUSTOM·3차·M],미착수,False,False,수작/디자인 상품등록 — 상품 등록 계열이나 L1 운영자·상품가격 33행에 인쇄/굿즈/포장재만 있고 수작·디자인 행이 없다. ★표준 결손 후보(상품유형 SOT 상 디자인.04 는 폐기 축이라 의도적 제외일 수 있음)
F-121,runway,No121 게시판 — 체험단관리 [CUSTOM·3차·M],미착수,False,False,체험단 — 프로모션 축(L4b) 추정
F-141,runway,No141 주문관리 — 주문관리-후불결제 [PARTIAL·2차·M],미착수,True,True,주문관리-후불결제 — 주문운영 화면이지만 후불(여신)은 B2B 축(L4b) 추정. 경계 항목
F-150,runway,No150 주문 — 도서산간 추가배송비 데이터화 [PARTIAL·1차·M],미착수,False,True,
F-154,runway,No154 상품 — 상품 검색·필터 엔진 [PARTIAL·2차·M],미착수,False,False,
F-156,runway,No156 마이페이지 — 첫구매/생일 자동쿠폰 [PARTIAL·3차·S],미착수,True,False,
F-161,runway,No161 주문 — 주문상태 추적(고객 마이페이지) [PARTIAL·1차·M],미착수,False,True,
P-ACC-20-01,runway,상품악세사리 20건 L1(기성) — 고정가 라이브 적재 여부 미실측,검증대기,True,True,
P-ACRYL-RINGCONFIRM-01,runway,아크릴키링 고리 견적 실화면 + 아크릴 3상품 입력경로 규명 (담당자 회신 대기),검증대기,True,False,
P-EDICUS-MISSING-01,runway,EDICUS 미등록/결손 — 셋트문구 5종 · 레더하드커버 · 벽걸이캘린더 2사이즈,미착수,False,True,
P-EDITORYN-01,runway,editor_yn 교정 미적용 — N→Y 13건 · Y→N 5건 (5건은 PRICE=0 위험),미착수,True,True,
P-FOIL-DTLOPT-01,runway,박 공정상세옵션(prcs_dtl_opt) 설계 미완 + 적재본 미작동 (key=siz_width 교체 필요),미착수,True,False,
P-MISMAP-FP-12-01,runway,오매핑 FP 가드 12건 — 오염이 아닐 수 있어 판정 필요,검증대기,False,False,
P-PED-CANVAS-01,runway,Q-SB-CH1 — CANVAS_HANGING 차원 정합 (셀 표기 분리),미착수,True,False,
P-PED-NEXT-01,runway,가격엔진 설계 다음 시작점 — 실 적재 승인 큐 소진 · 확정 결함 정립(D-CB-1/2/4) · 인간 결정 큐,미착수,True,False,
P-PED-POSTER-WIRE-01,runway,"G-S1 — 후가공 배선 0건 (PRF_POSTER disp_seq 2~), 컨펌큐 해소 후 배선",미착수,True,False,
P-POSTER-OPT-POLLUTION-01,runway,실사 28상품(특히 134/135) 옵션 레이어 오염 — 도수·사이즈·자재·스티커·후가공이 타상품에서 대량 혼입 (면적 적재 1차 차단),미착수,True,True,
P-REVIEW-25-01,runway,REVIEW 잔여 25건 — 대부분 분담 FP·기추적,검증대기,False,False,
P-STICKER-INTEGRITY-01,runway,스티커 무결성 게이트 NO-GO — 돈크리티컬 실결함 다수 라이브 재현,미착수,True,False,
X-AGED-ADMIN-01,runway,admin-analysis / feature-matrix 출처 AGED (3.5개월) — 라이브 재확인 권장,검증대기,False,False,
X-AUTH-CONTRACT-01,runway,OQ-G9 휴대폰 본인인증 서비스 계약 미체결 (1차 영향),미착수,False,False,
X-BFF-ENDPOINT-01,runway,후니 evaluate_price 호출 가능 HTTP 엔드포인트·인증 미특정 · CPQ 옵션/제약 조회 쿼리 미확정,미착수,True,False,
X-CHK-BACKUP-01,runway,백업·복구 절차 미확인 (DB 스냅샷·복구 리허설),미착수,False,False,
X-CHK-CAPACITY-01,runway,서버 용량·오토스케일·모니터링 기준 미확인,미착수,False,False,
X-CHK-CS-01,runway,고객센터 응대 스크립트·FAQ 미확인,미착수,False,False,
X-CHK-DNS-01,runway,도메인·SSL·DNS 전환 계획 미확인,미착수,False,False,
X-CHK-MIGDRILL-01,runway,회원·머니 이관 리허설 미실행 (명세는 있으나 드라이런 기록 없음),미착수,False,False,
X-CHK-OLDSITE-01,runway,이전 사이트 종료/병행 운영 계획 미확인,미착수,False,False,
X-CHK-ONCALL-01,runway,장애 대응 연락망·에스컬레이션 경로 미확인,미착수,False,False,
X-CHK-PRIVACY-01,runway,약관·개인정보처리방침 개정 및 게시 미확인,미착수,False,False,
X-CHK-SEO-01,runway,SEO·구 URL 리다이렉트 맵 미확인,미착수,False,False,
X-CHK-TRAINING-01,runway,운영자 교육·인수인계 세션 미확인,미착수,False,False,
X-DEC-EDICUS-01,runway,OQ-G16 온라인 에디터(Edicus) 도입 결정 미정,미착수,False,True,
X-DEC-EXTMEMBER-01,runway,I-AUTH-3 외부회원 연동(ncpstore) 채택 + 1:1 등록 결정 필요,미착수,False,False,
X-DEC-IMMUTABLE-01,runway,I-BOUND-2 클레임 추적성 — 동적옵션 immutable 정책 유지 전제,미착수,True,True,
X-DEC-MALLMODE-01,runway,I-AUTH-1 몰 운영방식 결정 필요 (스킨몰 vs headless),미착수,False,True,
X-DEC-NAVERPAY-01,runway,NaverPay 별도 mini-OrderSheet 1차 범위 포함 여부 미결,미착수,True,True,
X-DEC-REDCAT-01,runway,I-RED-1 RED 카테고리(가격소스 0) 브리지 범위 결정 필요,미착수,True,True,
X-DEC-SELFVERIFY-01,runway,OQ-G12 비밀번호 변경·탈퇴 본인확인 방법 미결 (1차),미착수,False,False,
X-DEC-SHIPPING-01,runway,OQ-G13 배송비·도서산간 권역 정책 미확정 (1차 W7-9),미착수,True,True,
X-DEC-SUJAK-01,runway,OQ-G17 수작 브랜드 유지 여부 미결,미착수,False,False,
X-DEC-WRITEPOLICY-01,runway,POLICY-1 server-api 카탈로그 쓰기 허용 범위 미결 (현 단계 쓰기 금지),미착수,True,True,
X-DOC-ADMINMANUAL-01,runway,라이브 admin 매뉴얼 업데이트 미실행 — round-13~21 적재분의 admin 화면 반영 여부 미대조,미착수,False,False,
X-EDX-D3-01,runway,D-3 template_uri 보관 vs 런타임 조회 미결 — 원천 API 미수확,미착수,False,False,
X-EDX-D6-01,runway,D-6 하트 이미지피켓(use_yn=N) 런칭 범위 포함 여부 미결,미착수,False,False,
X-EDX-D8-01,runway,D-8 EDICUS Link Manager POD 채널 이중 등록 — 실매출 라이브 운영 리스크,미착수,False,True,
X-EDX-D9-01,runway,"D-9 명함 cateCode=TEST — EDICUS 원장 결함 의심, 콘솔 확인 요청 미회신",미착수,False,False,
X-EDX-F12-01,runway,[적재 전 필수] F-12 런북 probe_fmz_cnt 채움 — 빠지면 315만원 누락 재통과,검증대기,True,False,
X-GAP-UVFORM-01,runway,webadmin UV 변형 입력 폼 적재경로 '미상' 정직 표기 잔존,검증대기,False,False,
X-KB-01,runway,온톨로지 KB 후속 3건 — live-snapshot 재캡처 · PRICE_GAP_HINTS 필드 마커 강화 · 앨범/포토 INTENT 미등재,미착수,False,False,
X-MAPPING-MASTER-01,runway,prd_cd↔productNo · selections↔optionNo 매핑 마스터 소유·동기화 주체 미정 (+ 67노드 매핑표 · 동기화 범위·주기),미착수,False,True,
X-MIG-CONSENT-01,runway,L4 교정 A7 — 마케팅 동의 내부모순 (동의일시 날조 금지·법적 리스크),미착수,False,False,
X-MIG-CUTOVER-01,runway,MQ-19 컷오버 동결 창 운영 가능 여부 미확정,미착수,True,False,
X-MIG-EXTRAINFO-01,runway,회원 부가정보 담을 그릇 미결 — extraInfo 수용 범위 · 사업자정보 다건 · 다중주소,미착수,False,False,
X-MIG-MEMBER-SCHEMA-01,runway,회원 이관 원천 스키마 미확인 — 해시·가입일·휴면·탈퇴·동의일시·중복이메일·등급 3원 매핑·본인인증 상태,미착수,True,False,
X-MIG-MONEY-RECON-01,runway,프린팅머니 컷오버 대사 게이트 미실행 — 전 회원 잔액 diff/hash · 합계 불일치 시 즉시 NO-GO,미착수,True,False,
X-MIG-MONEY-SCHEMA-01,runway,프린팅머니 이관 원천 스키마 미확인 — 잔액 스냅샷·거래 원장·만료정책·음수 잔액·PG 트랜잭션 보존,미착수,True,False,
X-NHN-POLICY-01,runway,NHN 공식 회신 — 동적 가격 산정은 샵바이 미제공·커스텀 불가,미착수,True,True,
X-NHN-REPLY-01,runway,NHN 2차 답신 미작성 — 역질문 2건(내부 견적엔진 정의 · 구매시점 가격변동 기준+실조합 수치) 답변 필요,미착수,True,True,
X-NHN-REVIEW-01,runway,P-B 동적옵션 등록이 상품심사 승인대기를 유발하는가 — 미검증 (D 채택 결정적 관문),미착수,True,True,
X-OLDDB-ACCESS-01,runway,원천 구 DB 미접근 — 회원·머니 이관 질문 20건이 전부 미확정,미착수,True,False,
X-OOS-MBO-01,runway,[런칭 무관] 다중브랜드 온톨로지 잔여 6건 — 공급자 라우팅 데이터 0 · 코퍼스 편향 · 승격 대기 · 레드 미착수 · 팀파일 버그 · 구조 게이트 미검증,미착수,False,False,
X-OOS-PRINTLY-01,runway,[런칭 무관] 프린틀리 별도사업 잔여 5건 — catalog 부재·노후·정식 하네스화 미정·지니 입력 대기·수렴 2트랙,미착수,False,False,
X-OOS-PRINTSTORY-01,runway,[런칭 무관] print-story 발표 아티팩트 잔여 2건 — 저작 귀속 · 특허 등록 여부 미확인,미착수,False,False,
X-OOS-RPMETA-01,runway,[런칭 무관] RP-Meta 역공학 잔여 7건 — deepcheck carry-forward 미검증 · 인간 결정 · DDL 제안 3건,미착수,False,False,
X-OPS-SITEKEY-01,runway,OQ-D2 후니 site_key 취득 방식 미결 (psql 조회 vs .env 신규 키),미착수,False,False,
X-OPS-TOKEN-01,runway,SHOPBY_SERVER_ACCESS_TOKEN 만료 시 재발급 절차 미실행,미착수,False,True,
X-ORDER-FLOW-VERIFY-01,runway,라이브 주문 동선 미검증 — cart 버튼 셀렉터 미검출·주문 경로 코드 미확인,검증대기,False,True,
X-PAY-FLOW-01,runway,결제 확정 흐름 미상 — 주문 생성 전용 POST·PG 콜백 · paymentAmtForVerification 산식,검증대기,True,True,
X-PERF-CONCURRENCY-01,runway,동시성 — 고객별 견적행 분리(견적ID) 부하 실측 없음,검증대기,True,True,
X-PRICE-BRIDGE-01,runway,동적 계산가 무손실 환원 경로 미확정 — 1차 최대 리스크 (양측 독립 동일 지목),미착수,True,True,
X-REPO-GITIGNORE-01,runway,하네스 자산 git 미추적 — hpti 인스펙터 에이전트 · §16 recipe-viz agents/skills 화이트리스트 누락,미착수,False,False,
X-RVF-GATE-01,runway,V-PRICE(신규 14필드) 게이트 NO-GO — VP-1·VP-6 FAIL,미착수,True,True,
X-RVF-N1-01,runway,N1 ADD_CLR_YN 미전송 → 색수 미상향 저청구 (HIGH),미착수,True,False,
X-RVF-N245-01,runway,N2 REAM_CNT · N4 PACK/MAX_PRN_CNT · N5 DOSU_COD 미전송 — byte 정합 잔여,미착수,True,False,
X-RVF-N3-01,runway,N3 모델A 래더 미구현 — 떡메모지·굿즈 견적 불가 (HIGH·라이브 비준),미착수,True,True,
X-RVF-N6-01,runway,N6 GSELGLV/TPTKDFT ATTB×10 미반영 — 후가공·수량 저청구 잠복,미착수,True,False,
X-RVF-SUB-01,runway,V-WIDGET·V-EDITOR 재검증 서브시스템 미착수 (산출 0건),미착수,False,True,
X-SHOPBY-CART-CHANNEL-01,runway,Q-CART-2 post-cart channelType 예시 vs 스키마 불일치 — 라이브 실측 필요,검증대기,False,True,
X-SHOPBY-GATE-01,runway,샵바이 게이트 1R·2R 모두 조건부 GO — BLOCKED 3관문 및 2R 조건 미이행분 잔존,미착수,True,True,
X-SHOPBY-IPALLOW-01,runway,샵바이 server API IP 허용목록 — 등록 직후 산발적 400 S0001 거부,미착수,False,True,
X-SHOPBY-MAXLEN-01,runway,A-BIND-1 optionInputs inputValue maxLength 미확정,검증대기,False,True,
X-SHOPBY-NATIVE-01,runway,OQ-G19 샵바이 가입완료 메일·체험단·관리자 권한 native 지원 범위 미확인,검증대기,False,False,
X-SHOPBY-ORDERSHEET-01,runway,order-sheet 실계약 미명문화 — required vs live cartNos-only · 중복 시 우선순위 · recurringPaymentDelivery shape,검증대기,True,True,
X-SHOPBY-SPEC-FIX-01,runway,샵바이 API 명세 오기 5건 (put-product-options 경로/필드 환각 · groupId 타입 · 교환 operationId · get-categories 오기 · refresh 각주),미착수,True,True,
X-SHOPBY-TERMS-01,runway,Q-MISC-1 reserve 필수 agreementTermsAgrees termsType 세트 미상,검증대기,False,True,
X-SIM-PRODUCT-SEMANTIC-01,runway,OQ-D1 상품 의미 불일치 — 가격엔진 상품 ≠ 샵바이 쓰기 상품 (값 생존만 실증됨),검증대기,True,True,
X-SKIN-DEVREQ-01,runway,스킨 파트너사 수정 요청 5건 (하위 건수 표기 · 헤더 드롭다운 · 상세 URL 오리다이렉트 · BEST SELLERS 하드코딩 · depth3 미렌더),미착수,False,True,
X-WGT-ADAPTER-01,runway,후니 어댑터(createHuniAdapter) 구현 0줄 — 위젯 컨버전 미착수,미착수,False,False,
X-WGT-ANCHOR-01,runway,G-3 어댑터 주석 라인앵커 stale — deob 재생성으로 참조 어긋남,미착수,False,False,
X-WGT-ATTB-01,runway,합성 ATTB / size-linked 반경(L-3·G-4) 잠복 — 컨버전 시 보정 필요,미착수,False,False,
X-WGT-AUDIT-01,runway,위젯 4축 감사 — 임계경로 인계 사슬 단절 + 4월→6월 역공학 드리프트,미착수,False,False,
X-WGT-B1DEAD-01,runway,B-1 size 분기 영구 도달불능 dead code (컨버전 게이트 GSCDPOP),미착수,False,False,
X-WGT-DATA-DEP-01,runway,후니 DB의 가격·제약·위젯용 테이블 미작성이 위젯 임계경로,미착수,True,False,
X-WGT-F3FIX-01,runway,F-3 TieredDiscount 정대표 GSBGRDY fixture 미보유 (비차단 잔존),검증대기,True,False,
X-WGT-F4-01,runway,F-4 finish-select-box 임계치 분기 부재 — 후니 후가공 데이터 확정 대기,미착수,False,False,
X-WGT-G5-01,runway,G-5 의류 apparel 배타삼항이 DIR_MTR 필수 가격축을 드롭 (실결함 확정),미착수,True,False,
X-WGT-G6-01,runway,G-6 굿즈 수량 필드축 스왑 — ORD_CNT vs PRN_CNT 가격권위 배선 불일치,미착수,True,False,
X-WGT-HTTP-01,runway,G-INT-0 런타임 가격경로가 fixture 정적룩업 — 실 HTTP 배선 회귀가드 부재,검증대기,True,False,
X-WGT-OPTMAP-01,runway,"_opt_maps 자동변환이 위젯 전용 — 시뮬레이터 미동작, 위젯 경로 별도 작업 필요",미착수,False,True,
X-WGT-PRICEEQ-01,runway,의류·ACC·포스터 가격 동등성 미마감 — PRICE>0 재캡처 미완,검증대기,True,False,
X-WGT-PUNCH-01,runway,타공 위젯 코드트랙 — 시뮬레이터/위젯이 procs detail{타공수}를 전송해야 타공수별 가산이 작동,미착수,True,True,
X-WGTF-BRIDGE-01,runway,U-12 productRedWidgetSDK.js(브릿지/로더) 라인 단위 근거 부재,검증대기,False,False,
X-WGTF-CODE-01,runway,캡처 상품코드·BNSTDFT/STDRCAD 정의 미상 (U-11 · U-13),검증대기,False,False,
X-WGTF-EDICUS-01,runway,에디터 연동 계약 미상 (U-6 KOI vs RP 타입 결정요인 · U-7 createProject projectOptions),검증대기,False,False,
X-WGTF-PDF-01,runway,PDF 업로드 경로 미상 (U-5 최종 제출 필드 · U-2 uploadType 규칙 · U-10 PDF 가용성),검증대기,False,True,
X-WGTF-S3-01,runway,S3 presigned 업로드 계약 미상 (U-3 엔드포인트 호스트 · U-4 유효기간),검증대기,False,False,
X-WGTF-SCOPE-01,runway,U-14 26 카테고리 중 신위젯 적용 범위 미상 — matrix 카테고리 행이 추정값,검증대기,False,False,
X-WGTF-SUBMIT-01,runway,위젯→장바구니/주문 제출 계약 미상 (U-1 sdkCreatePot · U-9 호스트 핸드오프),검증대기,False,True,
SCOPE-001,scope,쇼핑몰 / 로그인 / 일반 로그인,SOLVED,,,
SCOPE-002,scope,쇼핑몰 / 로그인 / 아이디 찾기 (이메일 발송),SOLVED,,,
SCOPE-003,scope,쇼핑몰 / 로그인 / 비밀번호 찾기 (휴대폰 임시PW),PARTIAL,,,
SCOPE-004,scope,쇼핑몰 / 회원가입 / 약관동의,SOLVED,,,
SCOPE-005,scope,쇼핑몰 / 회원가입 / 정보입력,PARTIAL,,,
SCOPE-006,scope,쇼핑몰 / 회원가입 / 이메일 중복확인,SOLVED,,,
SCOPE-007,scope,쇼핑몰 / 회원가입 / 휴대전화 인증,PARTIAL,,,
SCOPE-008,scope,쇼핑몰 / 회원가입 / 가입완료 메일 발송,SOLVED,,,
SCOPE-009,scope,쇼핑몰 / 마이페이지 / 주문조회,SOLVED,,,
SCOPE-010,scope,쇼핑몰 / 마이페이지 / 주문상세조회(편집상품 미리보기),CUSTOM,,,
SCOPE-011,scope,쇼핑몰 / 마이페이지 / 옵션보관함 (저장된 인쇄옵션),CUSTOM,,,
SCOPE-012,scope,쇼핑몰 / 마이페이지 / 쿠폰관리 ,SOLVED,,,
SCOPE-013,scope,쇼핑몰 / 마이페이지 / 쿠폰등록,SOLVED,,,
SCOPE-014,scope,쇼핑몰 / 마이페이지 / 프린팅머니,PARTIAL,,,
SCOPE-015,scope,쇼핑몰 / 마이페이지 / 머니충전,CUSTOM,,,
SCOPE-016,scope,쇼핑몰 / 마이페이지 / 나의 상품Q&A + 문의하기,SOLVED,,,
SCOPE-017,scope,쇼핑몰 / 마이페이지 / 나의 리뷰,SOLVED,,,
SCOPE-018,scope,쇼핑몰 / 마이페이지 / 리뷰쓰기(사진업로드) 수정/삭제,PARTIAL,,,
SCOPE-019,scope,쇼핑몰 / 마이페이지 / 나의 체험단 활동내역 + 후기,CUSTOM,,,체험단 — 프로모션 축(L4b) 추정
SCOPE-020,scope,쇼핑몰 / 마이페이지 / 1:1문의 + 문의하기,SOLVED,,,
SCOPE-021,scope,쇼핑몰 / 마이페이지 / 회원정보수정,PARTIAL,,,
SCOPE-022,scope,쇼핑몰 / 마이페이지 / 회원정보수정_비밀번호입력,SOLVED,,,
SCOPE-023,scope,쇼핑몰 / 마이페이지 / 비밀번호변경,SOLVED,,,
SCOPE-024,scope,쇼핑몰 / 마이페이지 / 회원탈퇴,SOLVED,,,
SCOPE-025,scope,쇼핑몰 / 마이페이지 / 증빙서류발급내역 (현금영수증+세금계산서),PARTIAL,,,
SCOPE-026,scope,쇼핑몰 / 마이페이지 / 사업자정보(목록),PARTIAL,,,
SCOPE-027,scope,쇼핑몰 / 마이페이지 / 사업자정보등록(쓰기),PARTIAL,,,
SCOPE-028,scope,쇼핑몰 / 마이페이지 / 현금영수증정보,PARTIAL,,,
SCOPE-029,scope,쇼핑몰 / 마이페이지 / 메인,PARTIAL,,,
SCOPE-030,scope,쇼핑몰 / 마이페이지 / 서브메인(랜딩페이지),PARTIAL,,,
SCOPE-031,scope,쇼핑몰 / 마이페이지 / LIST (검색결과),PARTIAL,,,
SCOPE-032,scope,쇼핑몰 / 인쇄상품 / A1 상품 기본정보 세팅(상품코드·주문가능·회원),PARTIAL,,,
SCOPE-033,scope,쇼핑몰 / 인쇄상품 / A2 상품별 옵션 목록 불러오기,CUSTOM,,,
SCOPE-034,scope,쇼핑몰 / 인쇄상품 / B1 규격(사이즈) 선택,CUSTOM,,,
