system,group,screen_id,screen_name,role,function,work_type,counterpart,direction,owner_side,plan_row_id,status,evidence
pagebuilder,블록 편집,pc-block-synced-scope,동기화 범위 경계(사이트 내부),시스템(무인),사이트 간 원본 참조 불가 — 묶음(사이트) 분할 경계를 결정,provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:126-146
pagebuilder,블록 편집,pc-block-linked,연결된 페이지·섹션 블록,운영자(CS·상품),다른 페이지·섹션의 최신 내용을 원본 ID로 참조,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:14-15
pagebuilder,블록 편집,pc-block-external,외부 콘텐츠(임베드) 블록,운영자(CS·상품),허용 HTTPS만 iframe 임베드 — 갤러리·리뷰 병합의 유일 경로,config,,,,STD-SYS-021,미확인,_workspace/huni-page-compose/01_recon/pie-canvas-model.md:74 · 허용 도메인 정책 미공개(_workspace/huni-page-compose/99_proposal/proposal.md:171 S1)
pagebuilder,블록 편집,pc-block-tabs,탭 레이아웃 블록,운영자(CS·상품),한 페이지 안에서 블록을 탭으로 배치,provided,,,,STD-CAT-034,미확인,_workspace/huni-page-compose/01_recon/pie-canvas-model.md:75 (도움말 근거만 · 편집기 실물 미확인)
pagebuilder,블록 편집,pc-block-backlink,백링크 패널,운영자(CS·상품),현재 대상을 참조하는 블록 위치 역추적,provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:120
pagebuilder,동적 페이지·콘텐츠 모델,pc-content-model,콘텐츠 모델 만들기,운영자(CS·상품),모델+콘텐츠 뷰+page.dynamic 동시 생성,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:198 · :210-221
pagebuilder,동적 페이지·콘텐츠 모델,pc-content-field,콘텐츠 필드 편집(타입 22종),운영자(CS·상품),Label·Key·Type·Required·Help·Options 정의,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:255-277
pagebuilder,동적 페이지·콘텐츠 모델,pc-dynamic-page,동적 페이지 설정(routePattern),운영자(CS·상품),페이지 1개로 URL N개 생성 — 상품별 복제 제거,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:38-56 · :199-201
pagebuilder,동적 페이지·콘텐츠 모델,pc-entry-add,콘텐츠 항목 추가,운영자(CS·상품),상품 1개 = 항목 1행 등록(slug·status),config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:202-206
pagebuilder,동적 페이지·콘텐츠 모델,pc-entry-import,콘텐츠 항목 CSV·JSON 일괄 가져오기,운영자(CS·상품),상품마스터 CSV로 N건 일괄 등록(전부 draft 진입),config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:225-244
pagebuilder,동적 페이지·콘텐츠 모델,pc-entry-export,콘텐츠 항목 JSON·CSV 내보내기,운영자(CS·상품),항목 양방향 반출,provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:385
pagebuilder,동적 페이지·콘텐츠 모델,pc-entry-status,항목 상태 전환(초안·예약·공개·보관),운영자(CS·상품),검수 후 일괄 공개 전환,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:205-207
pagebuilder,동적 페이지·콘텐츠 모델,pc-entry-version,항목 버전·직전 버전 복원,운영자(CS·상품),버전 N·이전 기록 M개 표시 + 1단계 롤백,provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:279-281
pagebuilder,동적 페이지·콘텐츠 모델,pc-template-binding,템플릿 값 바인딩({{entry.필드}}),운영자(CS·상품),템플릿 텍스트를 공개 항목 값으로 치환,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:248-252
pagebuilder,동적 페이지·콘텐츠 모델,pc-content-view,콘텐츠 뷰(표·보드·캘린더),운영자(CS·상품),저장 뷰 정의 + 여러 페이지에서 재사용,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:219 · :388
pagebuilder,후니 상품 연동,pc-link-product,상품 연결(사이트↔상품),운영자(CS·상품),GET/POST/DELETE link-product — productId 단수로 1:1 고정,integrate,webadmin,pagebuilder→webadmin,pagebuilder,NEW,미확인,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:414-421 (NEW — 파트너사 엔드포인트 · 실측 사이트 2곳 모두 linked:false · C7 구조 충돌)
pagebuilder,후니 상품 연동,pc-products-api,후니 상품 API 소비(/api/printly/products),시스템(무인),상품 257건 반환 — 콘텐츠 항목 CSV의 원천,integrate,webadmin,pagebuilder→webadmin,pagebuilder,NEW,미확인,_workspace/huni-page-compose/06_gate/gate-verdict.md:16 (E3 — HTTP 401로 재현 불가 · 257은 미재실측)
pagebuilder,후니 상품 연동,pc-data-proxy,서버 데이터 프록시(/api/data-proxy),시스템(무인),블록 데이터바인딩용 서버측 외부 API 호출(CORS 우회·cacheSeconds),integrate,webadmin,pagebuilder→webadmin,pagebuilder,NEW,미확인,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:85-96 (405 확인까지 · 허용 도메인·인증 정책 미공개 S2)
pagebuilder,후니 상품 연동,pc-data-binding,섹션 데이터 바인딩 설정,운영자(CS·상품),블록에 API 소스 연결 + 바인딩 배지 표시,config,,,,STD-SYS-021,미확인,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:70-84 (번들 코드 근거 · 편집기 실화면 미확인)
pagebuilder,후니 상품 연동,pc-data-connections,데이터 연결 관리,운영자(CS·상품),연결 식별자만 블록에 저장(비밀값은 서버 암호화),config,,,,STD-SYS-021,미확인,_workspace/huni-page-compose/01_recon/pie-canvas-model.md:76 · pie-canvas-engine-capabilities.md:387
pagebuilder,후니 상품 연동,pc-new-product,상품 상세 만들기(/sites/new-product),운영자(CS·상품),후니 전용 상품 상세 생성 진입점 — 현재 「서비스 준비중」 미구현,integrate,webadmin,pagebuilder→webadmin,pagebuilder,NEW,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:400-406 (NEW — 파트너사 미구현 · 우리가 만들 수 없음)
pagebuilder,후니 상품 연동,pc-product-collection,상품 컬렉션 블록,운영자(CS·상품),상품 카탈로그를 카드 격자로 표시,provided,,,,STD-SYS-021,미확인,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:17 · :171 (데이터 출처가 후니 연동인지 수동 입력인지 불명)
pagebuilder,후니 상품 연동,pc-shop-publish,쇼핑몰 발행,운영자(CS·상품),연동 활성 계정에만 노출되는 발행 흐름,provided,,,,STD-SYS-021,미확인,_workspace/huni-page-compose/01_recon/pie-canvas-model.md:80 (도움말 근거만 · 후니 계정 미확인)
pagebuilder,후니 상품 연동,pc-edicus-link,에디쿠스 연동,운영자(CS·상품),제작·편집 연동 기능,provided,,,,NEW,미확인,_workspace/huni-page-compose/01_recon/pie-canvas-model.md:79 · :92 (NEW — 도움말 1행 외 근거 없음 · 연결 범위 미조사 G2)
pagebuilder,후니 상품 연동,pc-api-extend-d1,상품 상세 데이터 API 확장(D1),시스템(무인),/api/printly/products에 제본·제작기간·유의사항 필드 추가 — 체크리스트·디자인가이드의 데이터 공급원,integrate,webadmin,webadmin→pagebuilder,webadmin,STD-CAT-011,미착수,_workspace/huni-page-compose/99_proposal/proposal.md:200
pagebuilder,상세페이지 탭,pc-tab-detail,탭① 상품설명,운영자(CS·상품),동적 페이지 템플릿 1벌 + {{entry.name}} 바인딩,config,,,,STD-CAT-007,미착수,_workspace/huni-page-compose/99_proposal/report.html:552
pagebuilder,상세페이지 탭,pc-tab-checklist,탭② 체크리스트(/checklist),운영자(CS·상품),표 서식은 1곳 + 값은 상품 API 바인딩,config,,,,STD-CAT-012,미착수,_workspace/huni-page-compose/99_proposal/report.html:553
pagebuilder,상세페이지 탭,pc-tab-guide,탭③ 디자인가이드(/guide),운영자(CS·상품),뼈대 1벌 + sizes[] 반복 블록으로 규격별 전개,config,,,,STD-CAT-019,미착수,_workspace/huni-page-compose/99_proposal/report.html:554
pagebuilder,상세페이지 탭,pc-tab-design,탭④ 디자인보기(/design),운영자(CS·상품),갤러리 임베드 URL(?prd_cd=) + iframe 허용 헤더(D2),integrate,webadmin,pagebuilder→webadmin,webadmin,STD-CAT-034,미착수,_workspace/huni-page-compose/99_proposal/proposal.md:201 · raw/webadmin/webadmin/config/urls.py:288-290 (api/w/v1/designs·design-image)
pagebuilder,상세페이지 탭,pc-tab-shipping,탭⑤ 포장/배송,운영자(CS·상품),동기화 블록으로 사이트 전체 공통 반영,config,,,,NEW,미착수,_workspace/huni-page-compose/99_proposal/report.html:556 (NEW — 계획행에 포장/배송 탭 단독 행 없음)
pagebuilder,상세페이지 탭,pc-tab-review,탭⑥ 상품리뷰,운영자(CS·상품),ShopBy 소유 리뷰 위젯을 embed 블록으로 임베드(D3),integrate,shopby,pagebuilder→shopby,shopby,STD-CAT-014,미착수,_workspace/huni-page-compose/99_proposal/proposal.md:202 · report.html:557
pagebuilder,상세페이지 탭,pc-tab-assembly,스토어프론트 탭 조립(D4),시스템(무인),Pie Canvas 게시 스냅샷(slug=prodCode) + 갤러리·리뷰 임베드를 탭 6종으로 배치,integrate,huni-mall,pagebuilder→huni-mall,huni-mall,STD-CAT-034,미착수,_workspace/huni-page-compose/99_proposal/proposal.md:203
pagebuilder,가이드북,pc-guidebook-tab-content,디자인가이드 본문 콘텐츠,운영자(CS·상품),가이드 본문(뼈대·문구)을 Pie Canvas 페이지에서 편집,config,,,,STD-INF-007,미착수,_workspace/huni-page-compose/99_proposal/report.html:554 · 01_recon/pie-canvas-surface-recon.md:52 (사이트 페이지 「디자인가이드」)
pagebuilder,가이드북,pc-guidebook-file-source,작업가이드 파일 원천 경계,시스템(무인),가이드 파일 실체는 webadmin S3 업로드·관리 — 소비자는 자사몰 웹서버(pagebuilder 경유 아님),integrate,webadmin,webadmin→huni-mall,webadmin,STD-ADC-014,미확인,raw/webadmin/webadmin/config/urls.py:72-89 · raw/webadmin/webadmin/catalog/widget_api.py:6003-6012 (「소비자가 브라우저가 아니라 자사몰 웹서버」 — Pie Canvas 소비 근거 0건)
pagebuilder,가이드북,pc-guidebook-file-bind,가이드 파일의 페이지빌더 바인딩,시스템(무인),api/w/v1/guides 파일 목록을 동적 페이지 블록에 바인딩,integrate,webadmin,pagebuilder→webadmin,webadmin,STD-CAT-020,미확인,raw/webadmin/webadmin/config/urls.py:281 · _workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:85-96 (data-proxy 허용 도메인 미공개라 연결 가부 판정 불가)
pagebuilder,게시·운영,pc-publish,미리보기·게시,운영자(CS·상품),게시 스냅샷 공개(공개 페이지는 마지막 스냅샷만 노출),provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-model.md:80 · 99_proposal/proposal.md:151
pagebuilder,게시·운영,pc-template-export,페이지·사이트를 템플릿으로 저장,운영자(CS·상품),.template.json 무손실 내보내기(id·userId·host 제거),provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:326-334 · :360-372
pagebuilder,게시·운영,pc-template-import,내 템플릿 가져오기,운영자(CS·상품),.template.json 가져오기 — 브라우저 localStorage 20개 상한(계정 동기화 아님),provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:335-346 · :375-380
pagebuilder,게시·운영,pc-template-gallery,템플릿 갤러리,운영자(CS·상품),파트너사가 서버에 심은 템플릿 선택 — 후니는 갤러리에 추가 불가,provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:300-322
pagebuilder,게시·운영,pc-site-json-backup,사이트 전체 JSON 조회,시스템(무인),GET /api/sites/{host} — 백업·감사·마이그레이션 원천,integrate,webadmin,pagebuilder→webadmin,pagebuilder,NEW,미확인,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:383 (NEW — 인증 영역이라 게이트 재실측 실패 06_gate/gate-verdict.md:16)
pagebuilder,운영진 관리 화면,pc-admin-common-list,① 공통 컨텐츠 목록,운영자(CS·상품),무엇이 공통인지 목록화(재사용 현황·거버넌스 진입점),build,,,,NEW,미착수,_workspace/huni-page-compose/08_ux/ux-spec.md:15 (프로토타입만 · 결함 4건 선해소 조건 99_proposal/proposal.md:204)
pagebuilder,운영진 관리 화면,pc-admin-scope-preview,② 반영 범위 미리보기,운영자(CS·상품),저장 전에 도달 N/미도달 M/예외 K를 묶음별로 표시,build,,,,NEW,미착수,_workspace/huni-page-compose/08_ux/ux-spec.md:16
pagebuilder,운영진 관리 화면,pc-admin-override,③ 예외(override) 지정,운영자(CS·상품),상품 선택 후 칸 채움=예외·비움=공통 복귀,build,,,,NEW,미착수,_workspace/huni-page-compose/08_ux/ux-spec.md:17 · 06_gate/gate-verdict.md:39 (PASS 조건부 — 의도적 빈 값 표현 불가·확인 게이트 부재)
pagebuilder,운영진 관리 화면,pc-admin-bulk-confirm,④ 일괄 반영 확인,운영자(CS·상품),「N개 상품에 반영됩니다」 선표시 + 확인 체크 없으면 저장 비활성,build,,,,NEW,미착수,_workspace/huni-page-compose/08_ux/ux-spec.md:18 (부분 실패 경로 스펙 부재 99_proposal/proposal.md:196)
pagebuilder,운영진 관리 화면,pc-admin-rollback,⑤ 롤백·버전 비교,운영자(CS·상품),버전 선택 → 복원(새 버전으로 기록),build,,,,NEW,미착수,_workspace/huni-page-compose/08_ux/ux-spec.md:19 (되돌리기 버튼 5개 전부 대상 미전달 — 06_gate/gate-verdict.md:20 E6)
pagebuilder,운영진 관리 화면,pc-admin-backref,⑥ 역참조,운영자(CS·상품),묶음별 참조 위치·삭제 영향 표시(삭제 기능 없음),build,,,,NEW,미착수,_workspace/huni-page-compose/08_ux/ux-spec.md:20
pagebuilder,파트너사 개발 요청,pc-req-f1-display-cond,템플릿 표시 조건(F1),시스템(무인),전체·카테고리·태그·개별로 템플릿 적용 범위 지정,integrate,pagebuilder,pagebuilder→pagebuilder,pagebuilder,NEW,미착수,_workspace/huni-page-compose/99_proposal/proposal.md:183 (NEW — 파트너사 코드 · 후니 불가)
pagebuilder,파트너사 개발 요청,pc-req-f2-partial-override,동기화 블록 부분 override(F2),시스템(무인),뼈대는 공유하고 일부 문구만 인스턴스별로 덮어쓰기,integrate,pagebuilder,pagebuilder→pagebuilder,pagebuilder,NEW,미착수,_workspace/huni-page-compose/99_proposal/proposal.md:184 (NEW — 파트너사 코드 · 후니 불가)
pagebuilder,파트너사 개발 요청,pc-req-f3-link-1n,사이트↔상품 1:N 연결(F3),시스템(무인),link-product를 복수 productId로 확장 — C7 구조 충돌 해소,integrate,webadmin,pagebuilder→webadmin,pagebuilder,NEW,미착수,_workspace/huni-page-compose/99_proposal/proposal.md:185 · :173 (NEW — 파트너사 코드 · 후니 불가)
pagebuilder,파트너사 개발 요청,pc-req-s1-domain-allow,외부 콘텐츠 허용 도메인 등록(S1),시스템(무인),후니 갤러리·리뷰 도메인을 임베드 허용 목록에 등록,integrate,pagebuilder,pagebuilder→pagebuilder,pagebuilder,NEW,미착수,_workspace/huni-page-compose/99_proposal/proposal.md:171 (NEW — 파트너사 설정 · 후니 불가)
pagebuilder,빌더 기존 자산(분모밖),pc-design-workspace,디자인(design) 작업공간,운영자(CS·상품),인쇄물 디자인(명함·엽서·포스터) 컴포넌트·Variant 편집·내보내기,provided,,,,NEW,미확인,[오픈분모밖] _workspace/huni-page-compose/01_recon/pie-canvas-model.md:43 (NEW — 오픈 분모 밖 · Pie Canvas 1급 개념 · 후니 상세페이지 surface 아님 · 역공학 문서로만 확인)
pagebuilder,빌더 기존 자산(분모밖),pc-project-kanban,프로젝트(project) 칸반 보드,운영자(CS·상품),고객·멤버·산출물을 칸반으로 관리,provided,,,,NEW,미확인,[오픈분모밖] _workspace/huni-page-compose/01_recon/pie-canvas-model.md:44 (NEW — 오픈 분모 밖 · Pie Canvas 1급 개념 · 후니 상세페이지 surface 아님 · 역공학 문서로만 확인)
