L0,L1,L2,process_id,process_name,step_no,step,row_id,기능,시스템,담당자,상태,원장판정,근거,cross,원장전용
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,클레임,P04,클레임 접수·사유분류·귀책판정·승인거부·철회,2,2. 귀책 구분 판정(구매자/판매자/단순변심),STD-CLM-011,귀책 구분(구매자/판매자/단순변심),셀러어드민,최숙진,미착수,재배정,huni-shopby/01_research/order-to-delivery-contract.md §4.2 responsibleObjectType,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,클레임,P04,클레임 접수·사유분류·귀책판정·승인거부·철회,3,3. 클레임 목록·상세 조회,STD-CLM-012,클레임 목록·상세 조회,huni-mall,김동학,미착수,담당맞음,X-SHOPBY-CLAIM-FSM-01 클레임 상태머신 미폐합 — 수거진행 중간상태 누락·입금대기/교환대기/환불완료 전이 미정의,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,클레임,P04,클레임 접수·사유분류·귀책판정·승인거부·철회,4,4. 판매자 클레임 승인·거부 처리,STD-CLM-013,판매자 클레임 승인·거부 처리,셀러어드민,최숙진,미착수,재배정,X-SHOPBY-CLAIM-FSM-01 클레임 상태머신 미폐합,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,환불,P04,클레임 접수·사유분류·귀책판정·승인거부·철회,5,5. 클레임 철회,STD-CLM-009,클레임 철회,huni-mall,김동학,미착수,담당맞음,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,불량,P05,인쇄 불량 접수·재제작,1,1. 인쇄 불량 접수(사진 첨부),STD-CLM-014,인쇄 불량 접수(사진 첨부),huni-mall,김동학,미착수,담당맞음,print-kb/wiki/policy/operations.md#OPS-04 클레임/불량,t64 생산·출고 카드 — 재제작 작업지시·공정 재투입,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,불량,P05,인쇄 불량 접수·재제작,2,2. 재제작(재작업) 처리 경로 결정·운영,STD-CLM-015,재제작(재작업) 처리 경로,결정(PM),신우진+최숙진,미착수,분할,print-kb/wiki/policy/operations.md#OPS-04 재제작 우선,t64 생산·출고 카드 — 재제작 작업지시·공정 재투입,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,문의,P06,1:1 문의·상품 Q&A 응대,1,1. 1:1 문의 등록·답변(고객 화면),STD-CLM-016,1:1 문의 등록·답변,huni-mall,김동학,미착수,담당맞음,huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent),,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,문의,P06,1:1 문의·상품 Q&A 응대,2,2. 상품 Q&A 등록·답변(고객 화면),STD-CLM-017,상품 Q&A 등록·답변,huni-mall,김동학,미착수,담당맞음,huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent),,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,문의(원장전용),P06,1:1 문의·상품 Q&A 응대,3,3. [구IA#69] 상품Q&A 확인·답변(운영자),STD-CLM-024,[구IA#69] 상품Q&A (확인/답변),셀러어드민,최숙진,미실측,담당맞음,IA No.69 상품Q&A · 샵바이 기본 기능(R1d 미확인),,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,문의(원장전용),P06,1:1 문의·상품 Q&A 응대,4,4. [구IA#70] 1:1문의 확인·답변(운영자),STD-CLM-025,[구IA#70] 1:1문의 (확인/답변),셀러어드민,최숙진,미실측,담당맞음,IA No.70 1:1문의 · 샵바이 기본 기능(R1d 미확인),,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,문의,P07,기업인쇄·디자인 상담 접수·응대,1,1. 기업인쇄 상담 접수(고객 화면),STD-CLM-019,기업인쇄 상담 접수,huni-mall,김동학,미착수,담당맞음,huni-skin-shopby src/app/(main) 하위 inquiry 라우트 부재 (SB-056 absent),,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,문의,P07,기업인쇄·디자인 상담 접수·응대,2,2. 디자인 상담 접수(고객 화면),STD-CLM-020,디자인 상담 접수,huni-mall,김동학,미착수,담당맞음,huni-skin-shopby src/app/(main) 하위 inquiry 라우트 부재 (SB-056 absent),,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,문의(원장전용),P07,기업인쇄·디자인 상담 접수·응대,3,3. 디자인 의뢰하기(주문 흐름 내),STD-CLM-021,디자인 의뢰하기(주문 흐름 내),huni-mall,김동학,미착수,재배정,https://shopby.huniprinting.co.kr/checkout/202609160243938684 @ 2026-09-16 21:33,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,문의(원장전용),P07,기업인쇄·디자인 상담 접수·응대,4,4. [구IA#67] 기업인쇄상담 확인·답변(운영자),STD-CLM-022,[구IA#67] 기업인쇄상담 (확인/답변),셀러어드민,최숙진,미실측,담당맞음,IA No.67 기업인쇄상담 · webadmin 해당 없음 @ 2026-09-16 21:28,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,문의(원장전용),P07,기업인쇄·디자인 상담 접수·응대,5,5. [구IA#68] 디자인상담 확인·답변(운영자),STD-CLM-023,[구IA#68] 디자인상담 (확인/답변),셀러어드민,최숙진,미실측,담당맞음,IA No.68 디자인상담 · webadmin 해당 없음 @ 2026-09-16 21:28,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정보·콘텐츠,정보(원장전용),P08,회사·정책 정보 페이지 게시,1,1. 회사소개 페이지,STD-INF-001,회사소개 페이지,huni-mall,김동학,부분,재배정,"L3/legacy-normalized.json#IA-083,SCOPE-083 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A84:K84 · L2/as-is-inventory.csv#SB-058 huni-skin-shopby/src/app/(main)/company/page.tsx:1",,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정보·콘텐츠,정보(원장전용),P08,회사·정책 정보 페이지 게시,2,2. 오시는 길(약도·교통 안내),STD-INF-002,찾아오시는 길(약도·교통 안내),huni-mall,김동학,작동,재배정,https://shopby.huniprinting.co.kr/location@2026-09-16 21:27,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정보·콘텐츠,정보(원장전용),P08,회사·정책 정보 페이지 게시,3,3. 이용약관 페이지 게시,STD-INF-003,이용약관 페이지 게시,huni-mall,김동학,작동,재배정,https://shopby.huniprinting.co.kr/terms@2026-09-16 21:27,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정보·콘텐츠,정보(원장전용),P08,회사·정책 정보 페이지 게시,4,4. 개인정보처리방침 페이지 게시,STD-INF-004,개인정보처리방침 페이지 게시,huni-mall,김동학,작동,재배정,https://shopby.huniprinting.co.kr/privacy@2026-09-16 21:27,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정보·콘텐츠,정보(원장전용),P08,회사·정책 정보 페이지 게시,5,5. 푸터 SNS 4종·입점제휴문의·카톡상담 링크 연결,STD-INF-008,푸터 SNS 4종·입점제휴문의·카톡상담 링크가 '#',huni-mall,김동학,미착수,재배정,https://shopby.huniprinting.co.kr/ @ 2026-09-16 21:26,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정보·콘텐츠,공지(원장전용),P09,공지사항 등록·열람,1,1. 공지사항 고객 화면(목록·상세),STD-INF-005,공지사항 고객 화면(목록·상세),huni-mall,김동학+최숙진,부분,분할,https://shopby.huniprinting.co.kr/notice @ 2026-09-16 21:27,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정보·콘텐츠,공지(원장전용),P09,공지사항 등록·열람,2,2. [구IA#64] 공지사항 관리(등록/수정/html생성),STD-INF-009,[구IA#64] 공지사항 관리 (등록/수정/html생성),셀러어드민,최숙진,미실측,담당맞음,IA No.64 공지사항 · webadmin 해당 없음 @ 2026-09-16 21:28 · 샵바이 게시판(R1d 미확인),,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,문의,P09,공지사항 등록·열람,3,3. 공지사항·FAQ 열람(고객 진입 경로),STD-CLM-018,공지사항·FAQ 열람,huni-mall,김동학,부분,재배정,huni-skin-shopby/src/app/(main)/notice/page.tsx:1-27 · src/lib/api/server/board.ts:1 (공지 done) — FAQ 라우트 부재(SB-056 absent),,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정보·콘텐츠,안내(원장전용),P10,FAQ·가이드북 등록·열람,1,1. 자주묻는질문(FAQ) 고객 화면,STD-INF-006,자주묻는질문(FAQ) 고객 화면,huni-mall,김동학,미착수,담당맞음,https://shopby.huniprinting.co.kr/faq 404 @ 2026-09-16 21:27,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정보·콘텐츠,안내(원장전용),P10,FAQ·가이드북 등록·열람,2,2. 가이드북 고객 화면(작업 유의사항 11종),STD-INF-007,가이드북 고객 화면(작업 유의사항 11종),huni-mall,최숙진+김동학,부분,분할,https://shopby.huniprinting.co.kr/guide @ 2026-09-16 21:27,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정보·콘텐츠,안내(원장전용),P10,FAQ·가이드북 등록·열람,3,3. [구IA#65] 자주묻는질문 관리(운영자),STD-INF-010,[구IA#65] 자주묻는질문 관리,셀러어드민,최숙진,미실측,담당맞음,IA No.65 FAQ · webadmin 해당 없음 @ 2026-09-16 21:28,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정보·콘텐츠,콘텐츠(원장전용),P11,이용후기·뉴스 콘텐츠 운영,1,1. [구IA#72] 이용후기 관리(관리자 등록/수정),STD-INF-011,[구IA#72] 이용후기관리 (관리자등록/수정),셀러어드민,최숙진,미실측,담당맞음,IA No.72 이용후기 · 샵바이 상품후기(R1d 미확인),t62 회원·혜택 카드 P14 — 고객이 쓰는 리뷰·보상,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정보·콘텐츠,콘텐츠(원장전용),P11,이용후기·뉴스 콘텐츠 운영,2,2. 뉴스·소식 공간 신설(형태·메뉴명 결정),STD-INF-012,뉴스·소식 공간 신설(갤러리형/게시판형/커뮤니티형 중 택1 + 메뉴명),결정(PM),김동학,미착수,재배정,후니-오픈잔여작업-실무진안내_260909.html §항목 5 · ④ 완료 기준,t62 회원·혜택 카드 P14 — 고객이 쓰는 리뷰·보상,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,기초데이터,P12,기초데이터 마스터 등록·관리,1,1. 사이즈 마스터 등록·관리,STD-ADP-001,사이즈 마스터 등록·관리,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/catalog/tsizsizes/@2026-09-16 21:28,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,기초데이터,P12,기초데이터 마스터 등록·관리,2,2. 소재(자재) 마스터 등록·관리,STD-ADP-002,소재(자재) 마스터 등록·관리,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/master/mat/@2026-09-16 21:28,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,기초데이터,P12,기초데이터 마스터 등록·관리,3,3. 용지·평량 마스터 관리,STD-ADP-003,용지·평량 마스터 관리,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/paper-management/@2026-09-16 21:28,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,기초데이터,P12,기초데이터 마스터 등록·관리,4,4. 도수/색상 코드 관리,STD-ADP-004,도수/색상 코드 관리,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/catalog/tclrcolorcounts/@2026-09-16 21:28,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,기초데이터,P12,기초데이터 마스터 등록·관리,5,5. 공정(후가공) 마스터 관리,STD-ADP-005,공정(후가공) 마스터 관리,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/master/proc/@2026-09-16 21:33,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,기초데이터,P12,기초데이터 마스터 등록·관리,6,6. 기초코드 논리삭제·이름변경 정책 적용,STD-ADP-009,기초코드 논리삭제·이름변경 정책 적용,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/basecode-master/@2026-09-16 21:28,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,기초데이터,P13,판형·제본·공정 규칙 관리,1,1. 판형(출력판형)·판걸이수 관리,STD-ADP-007,판형(출력판형)·판걸이수 관리,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/product-viewer/?prd=PRD_000069@2026-09-16 21:30,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,기초데이터,P13,판형·제본·공정 규칙 관리,2,2. 제본 방식 마스터·책등 계산 규칙,STD-ADP-008,제본 방식 마스터 관리,webadmin,서희항,구현-미검증,담당맞음,raw/webadmin/webadmin/config/urls.py:320-330 책등(spine) 계산 규칙 · raw/webadmin/webadmin/catalog/spine_calc.py:1,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,기초데이터,P13,판형·제본·공정 규칙 관리,3,3. 공정 택일그룹 관리(옵션그룹 흡수분),STD-ADP-006,공정 택일그룹 관리,webadmin,서희항,구현-미검증,담당맞음,raw/webadmin/webadmin/catalog/admin.py:1595 '(제거됨 — Phase 7/07-08) 공정 택일그룹 모델: 옵션그룹으로 흡수·DROP' · raw/webadmin/webadmin/config/urls.py:356-360 옵션그룹 CRUD,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,상품,P14,상품 등록·진열·셋트 구성,1,1. 인쇄/제본 상품 등록,STD-ADP-010,인쇄/제본 상품 등록,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/product-viewer/@2026-09-16 21:28,상품·카탈로그(STD-CAT) 카드 — 고객이 보는 카탈로그·검색,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,상품,P14,상품 등록·진열·셋트 구성,2,2. 굿즈 상품 등록,STD-ADP-011,굿즈 상품 등록,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/product-viewer/?prd=PRD_000146@2026-09-16 21:30,상품·카탈로그(STD-CAT) 카드 — 고객이 보는 카탈로그·검색,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,상품,P14,상품 등록·진열·셋트 구성,3,3. 포장재 상품 등록,STD-ADP-012,포장재 상품 등록,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/sku-catalog/@2026-09-16 21:28,상품·카탈로그(STD-CAT) 카드 — 고객이 보는 카탈로그·검색,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,상품(원장전용),P14,상품 등록·진열·셋트 구성,4,4. 디자인 상품 등록,STD-ADP-035,디자인 상품 등록,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/design-md/@2026-09-16 21:33,상품·카탈로그(STD-CAT) 카드 — 고객이 보는 카탈로그·검색,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,상품(원장전용),P14,상품 등록·진열·셋트 구성,5,5. 수작 상품 등록,STD-ADP-034,수작 상품 등록,미확인,서희항·최숙진,미실측,재배정,"L3/legacy-normalized.json#F-111,IA-111,SCOPE-111 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:112 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A112:K112 || P1판정(260902): 수작 상품 등록은 셀러어드민 상품 등록 화면 소관 — 접속 보류로 확인 불가",상품·카탈로그(STD-CAT) 카드 — 고객이 보는 카탈로그·검색,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,상품,P14,상품 등록·진열·셋트 구성,6,6. 셋트(부품조립) 상품 구성 관리,STD-ADP-016,셋트(부품조립) 상품 구성 관리,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/set-products/@2026-09-16 21:28,상품·카탈로그(STD-CAT) 카드 — 고객이 보는 카탈로그·검색,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,상품,P14,상품 등록·진열·셋트 구성,7,7. 상품-카테고리 귀속(다중분류),STD-ADP-013,상품-카테고리 귀속(다중분류),webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/catalog/tprdproducts/@2026-09-16 21:32,상품·카탈로그(STD-CAT) 카드 — 고객이 보는 카탈로그·검색,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,상품(원장전용),P14,상품 등록·진열·셋트 구성,8,8. [구IA#59] 굿즈 카테고리 관리,STD-ADP-036,[구IA#59] 굿즈 카테고리관리,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/category-master/@2026-09-16 21:28,상품·카탈로그(STD-CAT) 카드 — 고객이 보는 카탈로그·검색,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,상품,P14,상품 등록·진열·셋트 구성,9,9. 상품 진열/노출 상태 관리,STD-ADP-014,상품 진열/노출 상태 관리,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/catalog/tprdproducts/@2026-09-16 21:32,상품·카탈로그(STD-CAT) 카드 — 고객이 보는 카탈로그·검색,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,상품,P15,상품 상세페이지 콘텐츠 편집·발행,1,1. 상품 상세페이지 콘텐츠 편집,STD-ADP-015,상품 상세페이지 콘텐츠 편집,페이지빌더,김동학,부분,담당맞음,huni-skin-shopby/src/app/(main)/product/[slug]/page.tsx:51-56 Pie Canvas 발행 상세탭 조회,시스템·플랫폼 — 페이지 빌더 트랙(STD-SYS-021),N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,품질,P15,상품 상세페이지 콘텐츠 편집·발행,2,2. 페이지 빌더(운영자 화면 편집) 구축,STD-SYS-021,페이지 빌더(운영자 화면 편집),페이지빌더,김동학,미착수,담당맞음,print-quote/04_design/ia.md §2.3 빌더 트랙 · L4 사유: 페이지빌더 게이트 NO-GO — 문서 정본 승격 불가. 15건 전부 미해소.,시스템·플랫폼 — 페이지 빌더 트랙(STD-SYS-021),N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,옵션,P16,옵션그룹 구성·차원 연결·무결성 검증,1,1. 상품별 옵션그룹 구성,STD-ADP-017,상품별 옵션그룹 구성,webadmin,서희항,구현-미검증,담당맞음,raw/webadmin/webadmin/config/urls.py:356-360 옵션그룹/옵션/항목 CRUD,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,옵션,P16,옵션그룹 구성·차원 연결·무결성 검증,2,2. 옵션 항목 ↔ 차원 참조 연결,STD-ADP-018,옵션 항목 ↔ 차원 참조 연결,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/tmpl-combo-md/@2026-09-16 21:28,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,옵션,P16,옵션그룹 구성·차원 연결·무결성 검증,3,3. 추가상품 템플릿 구성,STD-ADP-020,추가상품 템플릿 구성,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/sku-catalog/@2026-09-16 21:28,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,옵션,P16,옵션그룹 구성·차원 연결·무결성 검증,4,4. 옵션 참조 무결성 검증,STD-ADP-019,옵션 참조 무결성 검증,webadmin,서희항,구현-미검증,담당맞음,raw/webadmin/webadmin/config/urls.py:373 상품 유효성 검증(validate),,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,제약,P17,제약규칙 등록·시뮬레이션,1,1. 제약규칙 등록(UI 폼빌더),STD-ADP-021,제약규칙 등록(UI 폼빌더),webadmin,서희항,구현-미검증,담당맞음,raw/webadmin/webadmin/config/urls.py:371 제약규칙(JSONLogic) 관리 · raw/webadmin/webadmin/catalog/models.py:801 제약 모델,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,제약,P17,제약규칙 등록·시뮬레이션,2,2. 제약규칙 시뮬레이션·미리보기,STD-ADP-022,제약규칙 시뮬레이션·미리보기,webadmin,서희항,구현-미검증,담당맞음,raw/webadmin/webadmin/config/urls.py:169 price_sim_constraints — '제약 cascade: 현재 선택 → 각 차원 불가값(비활성)',,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,가격,P18,가격공식·구성요소 설계·바인딩,1,1. 가격공식 등록·상품 바인딩,STD-ADP-023,가격공식 등록·상품 바인딩,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/price-viewer/?prd=PRD_000069@2026-09-16 21:30,,N
