row_id,data_role,track,step,title,std_ids,owner_name,target_date,effort_lb_days,week_plus_cnt,undetermined_cnt,nondev_cnt,open_rows,date_basis,evidence,check_method,prereq,status,data_owner,data_work,api_path,api_evidence,forced_by_impl,api_basis,wait_target,irreversible,note,source
T3-3,top,T3,B6,주문서·결제 — 결제수단 범위 결정 후 스킨 결제 분기·주문 성립 1건 종단,STD-ORD-009;STD-ORD-010;STD-ORD-011;STD-ORD-012;STD-ORD-013;STD-ORD-014;STD-ORD-015;STD-ORD-016;STD-ORD-017;STD-ORD-018;STD-ORD-019;STD-ORD-020;STD-ORD-021;STD-ORD-022;STD-ORD-023;STD-ORD-024;STD-ORD-025;STD-ORD-026;STD-ORD-027;STD-ORD-028;STD-ORD-029;STD-ORD-030;STD-ORD-031;STD-ORD-032;STD-PAY-001;STD-PAY-002;STD-PAY-003;STD-PAY-005;STD-PAY-007;STD-PAY-008;STD-PAY-009;STD-PAY-010;STD-PAY-011;STD-PAY-012;STD-PAY-013;STD-PAY-014;STD-PAY-019;STD-PAY-020;STD-PAY-021;STD-PAY-022;STD-PAY-023;STD-PAY-024;STD-PAY-025;STD-PAY-026;STD-PAY-027;STD-PAY-028;STD-PAY-029;STD-PAY-031,김동학,2027-01-25,34.5,4,0,24,39,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:12,장바구니에서 주문하기를 눌러 주문서 페이지에 접속하고 무통장 결제로 주문 완료 화면까지 가서 입금계좌가 표시되는지 조회한다,T3-1 · T5-1(PG 신청·결제수단 노출) · 결정 3,부분,huni,dev,shop-api,order-shop-public.endpoints.json POST /order-sheets,,사람 판정 260917 — 주문서 생성,,,구간=B6·B7,top
T3-4,top,T3,D2,마이페이지 배송지 결함·비로그인 노출·홈/목록 더미 정리,STD-CAT-004;STD-CAT-005;STD-CAT-006;STD-CAT-007;STD-CAT-008;STD-CAT-009;STD-CAT-010;STD-CAT-011;STD-CAT-012;STD-CAT-013;STD-CAT-014;STD-CAT-015;STD-CAT-016;STD-CAT-017;STD-CAT-018;STD-CAT-021;STD-CAT-027;STD-CAT-029;STD-CAT-034;STD-CAT-019;STD-CAT-020;STD-INF-005;STD-INF-006;STD-INF-007;STD-INF-009;STD-INF-010;STD-INF-011;STD-OPT-057;STD-OPT-058;STD-MYP-001;STD-MYP-002;STD-MYP-003;STD-MYP-004;STD-MYP-005;STD-MYP-010;STD-MYP-011;STD-MYP-012;STD-MYP-013;STD-MYP-016;STD-MYP-017;STD-MYP-018;STD-MYP-019;STD-MYP-030;STD-MYP-031;STD-MYP-032;STD-MYP-040;STD-PRM-001;STD-PRM-002;STD-PRM-003;STD-PRM-004;STD-PRM-005;STD-PRM-006;STD-PRM-007;STD-PRM-008;STD-PRM-009;STD-PRM-010;STD-PRM-011;STD-PRM-015;STD-PRM-016;STD-PRM-018;STD-PRM-019;STD-PRM-020;STD-ADC-001;STD-ADC-002;STD-ADC-003;STD-ADC-004;STD-ADC-005;STD-ADC-006;STD-ADC-007;STD-ADC-008;STD-ADC-009;STD-ADC-010;STD-ADC-011;STD-ADC-012;STD-ADC-013;STD-ADC-014;STD-ADC-015;STD-ADC-016;STD-ADC-017,김동학,2026-12-08,53.5,1,0,35,66,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S6-defects/defect-code-analysis.md:58,로그인 후 마이페이지 배송지 메뉴를 열어 「불러올 수 없습니다」 문구 없이 배송지 목록이 조회되는지 본다,T3-1,부분,huni,dev,shop-api,order-shop-public.endpoints.json GET /profile/shipping-addresses,,D2∈구간집합 · 규칙 /배송지/,,,구간=D2·B1·A5,top
T3-5,top,T3,D3,취소·반품·문의 — 범위 결정 후 스킨 버튼·문의 라우트 구현,STD-CLM-018;STD-CLM-001;STD-CLM-002;STD-CLM-003;STD-CLM-004;STD-CLM-005;STD-CLM-006;STD-CLM-007;STD-CLM-008;STD-CLM-009;STD-CLM-010;STD-CLM-011;STD-CLM-012;STD-CLM-013;STD-CLM-014;STD-CLM-015;STD-CLM-016;STD-CLM-017;STD-CLM-019;STD-CLM-020;STD-CLM-021;STD-CLM-022;STD-CLM-023;STD-CLM-024;STD-CLM-025;STD-CLM-026;STD-ADO-022;STD-ADO-023,신우진,2026-12-29,69,11,0,8,27,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:23,마이페이지 주문 상세 페이지를 열어 취소 신청 버튼이 보이는지 조회하고 1:1 문의 메뉴가 # 이 아닌 화면으로 열리는지 본다,결정 27 · 차단 입력 S1-6,없음,huni,config,shop-api,claim-shop-public.endpoints.json POST /profile/claims/cancel,,D3∈구간집합 · 규칙 /취소|반품|교환|클레임/,,,구간=D3,top
T4-1,top,T4,C1,주문 등록 다리 — 스킨이 결제 직후 order/register 를 부르게 배선(부르는 쪽 0건),NEW,김동학,미산정(원장 미완 행 없음),0,0,0,0,0,임계경로 미산정 구간,_workspace/huni-launch-runway/07_rebaseline/S/S2-pipeline/pipeline-status.csv:2,테스트 주문 후 webadmin 관리자 화면에서 주문 등록 목록을 조회해 방금 주문번호 행이 보이는지 확인한다,차단 입력 S1-5(order/register 계약) · T3-3,부분,huni,dev,none,샵바이 비경유,,C1 · 매칭 규칙 없음,,,NEW 사유: 원장에 이 할 일로 묶을 미완 행이 없다 — 새 행이 필요하다,top
T4-2,top,T4,C2,원고 승격 실파일 1건 종단 + 웹훅 해석 소비자 구현(입금→PAID 전이),STD-ART-026;STD-SYS-007;STD-SYS-008;STD-SYS-009;STD-SYS-010;STD-SYS-011;STD-SYS-012;STD-SYS-013;STD-SYS-014;STD-SYS-015;STD-SYS-023;STD-SYS-029;STD-SYS-030;STD-SYS-031;STD-SYS-039;STD-SYS-041;STD-SYS-045,서희항,2027-02-15,13.5,1,0,5,12,가장 이른 완료일(하한) · 선행 T4-1 미산정/회신 대기분 0 으로 계산,_workspace/huni-launch-runway/07_rebaseline/S/S2-pipeline/pipeline-status.csv:13,webadmin 관리자 화면에서 웹훅 수신 목록을 열어 입금 이벤트 행의 상태가 처리됨으로 조회되는지 본다,T4-1 · 결정 13(웹훅 등록 경로),구현-미검증,huni,dev,none,샵바이 비경유,,C2 · 매칭 규칙 없음,,,구간=C2·C3,top
T4-3,top,T4,C4,파일 검수 경로 결정·구축 — PitStop 조달 또는 사람 검수(D-P1·D-P2),STD-ART-018;STD-ART-033;STD-ART-034;STD-ART-035;STD-ADO-009,서희항,2026-09-18,2,0,0,3,5,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S2-pipeline/pipeline-status.csv:17,webadmin 관리자 메뉴에서 검수 대기 목록 화면을 열어 승격된 주문 파일이 행으로 조회되는지 본다,외부(PitStop 공급사) 견적·라이선스,없음,huni,dev,none,샵바이 비경유,,C4 · 매칭 규칙 없음,,,구간=C4,top
T4-4,top,T4,C5,접수 화면·주문 상태머신·MES 접수 전송(D-P5·D-P6·D-P7),STD-ADO-001;STD-ADO-002;STD-ADO-003;STD-ADO-004;STD-ADO-005;STD-ADO-006;STD-ADO-007;STD-ADO-014;STD-ADO-025;STD-ADO-026;STD-ADO-028;STD-MFG-136,서희항,2026-10-08,11,1,0,3,8,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S2-pipeline/pipeline-status.csv:20,webadmin 관리자 메뉴에서 접수 화면을 열어 주문을 제작대기로 전환한 뒤 MES 화면에서 작업이 조회되는지 본다,T4-3 · 외부(MES 공급사) WCF 스펙,없음,huni,dev,none,샵바이 비경유,,C5 · 매칭 규칙 없음,,,구간=C5,top
T4-5,top,T4,C6,출고·송장 — 셀러어드민 수동 등록 경로 확인 + 생산 상태의 고객 반영 방식 결정,STD-SHP-008;STD-SHP-009;STD-SHP-010;STD-SHP-011;STD-SHP-012;STD-SHP-013;STD-SHP-014;STD-SHP-015;STD-ADO-020;STD-ADO-021,최숙진,2026-10-15,4,0,0,5,7,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:19,셀러어드민 배송준비중 주문 메뉴를 열어 송장번호 저장 버튼과 송장 일괄 업로드 화면이 조회되는지 본다,T4-4,없음,nhn,config,admin-manual,해당 엔드포인트 없음 (셀러어드민 화면으로만 제공),N,nhn · Server API 대응 규칙 없음,,,구간=C6·C7,top
T5-1,top,T5,E1,셀러어드민 기초정보 7항목·대표전화/메일 교체·PG 신청·결제수단 노출·운영자 계정,STD-SHP-001;STD-SHP-002;STD-SHP-003;STD-SHP-004;STD-SHP-005;STD-SHP-006;STD-SHP-007;STD-SHP-017;STD-B2B-001;STD-B2B-002;STD-B2B-003;STD-B2B-006;STD-B2B-007;STD-B2B-010;STD-B2B-011;STD-B2B-013;STD-B2B-014;STD-FIN-001;STD-FIN-002;STD-FIN-003;STD-FIN-004;STD-FIN-005;STD-FIN-006;STD-FIN-008;STD-FIN-009;STD-FIN-010;STD-FIN-011;STD-FIN-012;STD-FIN-013;STD-FIN-020;STD-SYS-001;STD-SYS-002;STD-SYS-003;STD-SYS-004;STD-SYS-005;STD-SYS-006;STD-SYS-025;STD-SYS-028;STD-SYS-034;STD-SYS-035;STD-SYS-037;STD-SYS-038,최숙진,2026-12-03,52,9,0,19,33,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:26,셀러어드민 기초정보 관리 메뉴를 열어 회사명·사업자등록번호 칸이 채워져 있는지 조회하고 결제수단 설정 화면에서 노출이 사용함인지 본다,사업자등록증 기준 번호 확정(지니),부분,nhn,config,admin-manual,해당 엔드포인트 없음 (셀러어드민 화면으로만 제공),N,nhn · Server API 대응 규칙 없음,,,구간=E1,top
T5-2,top,T5,D1,알림 — SMS 사용설정·알림톡 33건 개별 판단 후 켜기·템플릿 카카오 검수,STD-SHP-016;STD-PRM-012;STD-PRM-013;STD-PRM-014;STD-ADO-027,최숙진,2026-09-28,6,0,0,1,4,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:21,셀러어드민 SMS 관리 메뉴를 열어 사용설정이 사용함인지 조회하고 알림톡 템플릿 목록에 검수 승인 행이 있는지 본다,외부(카카오) 템플릿 검수,부분,nhn,config,admin-manual,해당 엔드포인트 없음 (셀러어드민 화면으로만 제공),N,nhn · Server API 대응 규칙 없음,,,구간=D1,top
T5-3,top,T5,E3,법정 표기 단일화(사업자번호 206-29-88022 우세)·증빙 화면 목업 제거(D-5),STD-INF-001;STD-INF-002;STD-INF-003;STD-INF-004;STD-INF-008;STD-PAY-015;STD-PAY-016;STD-PAY-017;STD-PAY-018;STD-PAY-030;STD-MYP-014;STD-MYP-015;STD-MYP-020;STD-MYP-021;STD-MYP-034;STD-MYP-035;STD-MYP-036;STD-MYP-037;STD-MYP-038;STD-MYP-039;STD-B2B-012;STD-ADO-024,김동학,2026-10-21,20.5,1,0,9,19,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S6-defects/defect-code-analysis.md:68,shopby.huniprinting.co.kr 마이페이지 증빙서류발급 페이지에 접속해 가짜 주문 행이 없고 푸터와 같은 사업자번호가 보이는지 조회한다,사업자등록증 원본 확인(지니),부분,huni,dev,none,샵바이 비경유,,E3 · 매칭 규칙 없음,,,구간=E3·D4,top
T5-4,top,T5,D4,현금영수증·세금계산서 발급 주체 결정(Shopby / 자체 / 외부),STD-PAY-015;STD-PAY-016;STD-MYP-014;STD-MYP-015;STD-MYP-035;STD-MYP-039;STD-B2B-012;STD-ADO-024,신우진,2026-12-21,12,1,0,3,8,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:24,결정 기록 문서를 열어 발급 주체 결정 문장이 적혀 있는지 조회하고 셀러어드민 현금영수증 설정 화면 상태를 본다,T5-1(PG 신청),없음,huni,config,none,샵바이 비경유,,사람 판정 260917 — 결정 행,,,구간=D4,top
T6-1,top,T6,D5,프린팅머니 잔액 이관 — 추출 주체·개발 주체 결정 후 6단계,STD-MYP-006;STD-MYP-008;STD-MYP-009;STD-MYP-024;STD-MYP-026;STD-MYP-041;STD-MYP-043;STD-MYP-045;STD-MYP-047;STD-MYP-053;STD-MYP-054;STD-B2B-004;STD-B2B-005;STD-B2B-008;STD-B2B-009,채훈희,2026-11-05,32,6,0,8,15,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S3-migration/migration-status.md:24,결정 기록 문서를 열어 개발 주체 결정 문장을 조회하고 구 사이트 관리자 화면에서 잔액 추출 파일 목록이 보이는지 본다,외부(구 사이트 운영사) DB 접속 · 결정 6,없음,huni,config,none,샵바이 비경유,,D5 · 매칭 규칙 없음,,,구간=D5,top
T6-2,top,T6,D5,Shopby 엔터프라이즈 플랜·외부포인트 정식 적용 회신,STD-MYP-022;STD-MYP-027;STD-MYP-051,외부(NHN커머스),회신 요청 2026-09-18 · 회신 시점 미정,0,0,0,2,2,외부 대기 — 소요 0,_workspace/huni-launch-runway/07_rebaseline/S/S3-migration/migration-status.md:67,NHN커머스 회신 메일을 열어 외부포인트 적용 가능 여부를 조회하고 셀러어드민 앱 스토어 목록에 외부포인트 앱이 보이는지 본다,—,대기,ext,wait,none,샵바이 비경유(외부 벤더 대기),,ext,외부(NHN커머스),,구간=D5,top
T6-3,top,T6,D5,토스페이먼츠 계약 4건 회신(면제·수수료·업종 심사·샌드박스),STD-MYP-007;STD-MYP-022;STD-MYP-023;STD-MYP-025;STD-MYP-028;STD-MYP-029;STD-MYP-042;STD-MYP-044;STD-MYP-046;STD-MYP-048;STD-MYP-049;STD-MYP-050;STD-MYP-052,외부(토스페이먼츠),회신 요청 2026-09-18 · 회신 시점 미정,13.5,1,0,7,13,외부 대기 — 소요 0,_workspace/huni-launch-runway/07_rebaseline/S/S3-migration/migration-status.md:54,토스페이먼츠 가맹점 관리자 콘솔에 접속해 심사 상태 화면에서 승인 여부를 조회한다,—,대기,ext,wait,none,샵바이 비경유(외부 벤더 대기),,ext,외부(토스페이먼츠),,구간=D5,top
T7-1,top,T7,E4,오픈 테스트 진입 조건 9항을 리허설 체크리스트로 승격,STD-SYS-016;STD-SYS-017;STD-SYS-018;STD-SYS-019;STD-SYS-020;STD-SYS-021;STD-SYS-022;STD-SYS-032;STD-SYS-033;STD-SYS-043;STD-SYS-046;STD-SYS-047,신우진,2026-10-07,10.5,0,0,3,11,가장 이른 완료일(하한) · 선행 T1-1·T1-2·T1-3 미산정/회신 대기분 0 으로 계산,_workspace/huni-launch-runway/07_rebaseline/S/S4-infra/migration-plan.md:89,리허설 체크리스트 문서를 열어 9항 각 행의 확인 화면 링크를 눌러 전부 통과로 조회되는지 본다,T1-1·T1-2·T1-3·T1-4,미착수,huni,config,none,샵바이 비경유,,E4 · 매칭 규칙 없음,,,구간=E4,top
T7-2,top,T7,E4,종단 주문 테스트 — 실주문 1건이 결제→접수→MES→송장→고객 조회까지,STD-SYS-032,신우진,2027-01-25,0,0,0,1,1,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:29,테스트 주문번호로 셀러어드민 주문 목록과 마이페이지 주문조회 페이지를 열어 배송중 상태와 송장번호가 양쪽에 조회되는지 본다,T7-1 · T3-3 · T4-4,미착수,huni,config,none,샵바이 비경유,,E4 · 매칭 규칙 없음,,,구간=E4,top
T7-3,top,T7,E4,Go/No-Go 판정 회의·컷오버·롤백 트리거 확정,NEW,채훈희,미산정(원장 미완 행 없음),0,0,0,0,0,임계경로 미산정 구간,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:29,Go/No-Go 회의록 문서 페이지를 열어 네 상태 판정과 결정권자 서명 줄을 조회하고 컷오버 표의 비상조치 칸이 채워졌는지 본다,T7-2,미착수,huni,config,none,샵바이 비경유,,E4 · 매칭 규칙 없음,,,NEW 사유: 원장에 이 할 일로 묶을 미완 행이 없다 — 새 행이 필요하다,top
STD-CAT-001,detail,T2,A4,대분류/중분류/소분류 다단 카테고리 트리 노출,STD-CAT-001,김동학,,,,,,,,https://shopby.huniprinting.co.kr/@2026-09-16 21:33,https://shopby.huniprinting.co.kr/ 상단 「인쇄홍보물」에 마우스를 올려 명함·전단지/리플렛·쿠폰/상품권·봉투/홀더 외 4개 중분류가 펼쳐지면 완료.,—,작동,huni,dev,none,샵바이 비경유,,A4 · 매칭 규칙 없음,,,분류=검증 · 오픈차단여부=작업 항목 · 작업량=반일 · 소요 미합산(분류=검증),ledger-v4
STD-CAT-002,detail,T2,A4,카테고리별 상품 리스팅(정렬·페이징),STD-CAT-002,김동학,,,,,,,,huni-skin-shopby/src/lib/api/server/catalog.ts:5 · src/components/shop/shop-list.tsx:18-24,"https://shopby.huniprinting.co.kr/shop/1142983 에서 상품 카드가 나열되고 「신상품/리뷰순/인기순」을 눌러 순서가 바뀌며, 가격이 실제 시작가로 보이면 완료.",—,부분,huni,dev,none,샵바이 비경유,,A4 · 매칭 규칙 없음,,,분류=수정 · 오픈차단여부=작업 항목 · 작업량=1일,ledger-v4
STD-CAT-003,detail,T2,A4,상품군 전용 랜딩(출력/책자/실사/패키지/굿즈),STD-CAT-003,김동학,,,,,,,,F-088/SCOPE-088/IA-088 랜딩페이지 5종(종이·제본·캘린더·파우치·스티커) 미착수,https://shopby.huniprinting.co.kr/ 홈에서 종이/제본/캘린더/파우치/스티커 랜딩 배너를 눌러 각 상품군 소개 페이지가 열리면 완료.,—,미착수,huni,dev,none,샵바이 비경유,,A4 · 매칭 규칙 없음,,,분류=개발 · 오픈차단여부=작업 항목 · 작업량=2-3일,ledger-v4
STD-CAT-004,detail,T3,B1,상품명 통합검색,STD-CAT-004,김동학,,,,,,,,https://shopby.huniprinting.co.kr/search?q=스티커@2026-09-16 21:26,https://shopby.huniprinting.co.kr/ 상단 검색창에 「스티커」를 입력하고 검색을 누르면 「‘스티커’ 검색결과 총 N개」가 나오면 완료.,—,작동,huni,dev,shop-api,product-shop-public.endpoints.json GET /products/search,,B1∈구간집합 · 규칙 /검색/,,,분류=검증 · 오픈차단여부=작업 항목 · 작업량=반일 · 소요 미합산(분류=검증),ledger-v4
STD-CAT-005,detail,T3,B1,종이/소재명 기준 검색(아트지·스노우지 등),STD-CAT-005,김동학,,,,,,,,SCOPE-154 상품 검색·필터 엔진 PARTIAL,https://shopby.huniprinting.co.kr/search?q=아트지 로 검색해 아트지를 쓰는 상품이 결과에 나오면 완료.,—,미착수,huni,dev,shop-api,product-shop-public.endpoints.json GET /products/search,,B1∈구간집합 · 규칙 /검색/,,,분류=개발 · 오픈차단여부=작업 항목 · 작업량=2-3일,ledger-v4
