system,group,screen_id,screen_name,role,function,work_type,counterpart,direction,owner_side,plan_row_id,status,evidence
pitstop,프리플라이트 실행,PS-16,별색 채널·오버프린트 검사,시스템(무인),별색 채널 정리·오버프린트 설정 필요 여부 판정,provided,-,-,-,STD-ART-014,미착수,order-to-mes-process.md §5.2 B목록 '오버프린트 설정'·'별색 채널 정리' · planrows-pitstop.csv STD-ART-014
pitstop,프리플라이트 실행,PS-17,파일 열림·손상·암호 검사,시스템(무인),파일이 열리지 않음/손상됨/암호 걸림 여부 판정,provided,-,-,-,STD-MFG-048,미착수,order-to-mes-process.md §5.2 A목록 '파일이 열리지 않음/손상됨'·'암호가 걸려 있음' · planrows-pitstop.csv STD-MFG-048([상위:STD-ART-008] 동일 항목)
pitstop,프리플라이트 실행,PS-18,자동검판 도구 연동(PitStop 등),시스템(무인),PitStop Server 구매·인스턴스 준비 완료 후 검판 결과를 웹어드민에 연동,integrate,pitstop,pitstop→webadmin,webadmin,STD-ART-016,미착수,print-kb/wiki/policy/order-mgmt.md#OMG-02 PitStop 연동 후보 · planrows-pitstop.csv STD-ART-016 — 인스턴스 준비 자체가 미완료
pitstop,판정·리포트,PS-19,판정 3갈래 분기(A/B/C),운영자(CS·상품),치명(자동재업로드)·경고(담당자검수)·담당자발 재업로드 3분기 로직,build,-,-,-,STD-MFG-049,미착수,order-to-mes-process.md §5.2 표(3갈래 분기) · planrows-pitstop.csv STD-MFG-049([상위:STD-ART-017] 설계만·코드 0건)
pitstop,판정·리포트,PS-20,검사 감사기록 보관,시스템(무인),검사시각·엔진/시그니처버전·판정·탐지명·파일해시·PitStop 리포트를 감사기록으로 저장,integrate,pitstop,pitstop→webadmin,webadmin,STD-MFG-052,미착수,raw/webadmin/docs/artwork-scan-integration.md '감사 기록으로 남길 것' · planrows-pitstop.csv STD-MFG-052(설계만·그릇 없음)
pitstop,판정·리포트,PS-21,FR-6 프리플라이트 재실행 요청 수신,생산(MES),담당자가 MES에서 재검사를 원할 때 검사 큐 재투입,integrate,mes,mes→webadmin,webadmin,STD-MFG-051,미착수,raw/webadmin/docs/order-to-mes-process.md §8.4 FR-6 표 · planrows-pitstop.csv STD-MFG-051(§8.4 FR-6·코드 0건)
pitstop,반려·재요청,PS-22,치명 오류 자동 재업로드 요청(A분기),시스템(무인),"자동목록 판정 시 즉시 알림톡+재업로드 링크 발급, 상태 FILE_HOLD",integrate,pitstop,pitstop→webadmin,webadmin,STD-MFG-054,미착수,raw/webadmin/docs/order-to-mes-process.md §5.3·§8.4 FR-4 · planrows-pitstop.csv STD-MFG-054([상위:STD-ART-018] 서명 1회성 링크 발급 설계만)
pitstop,반려·재요청,PS-23,재업로드 화면,고객,위젯 업로드 컴포넌트를 재사용해 지정 파일을 재업로드,build,-,-,-,STD-MFG-055,미착수,raw/webadmin/docs/order-to-mes-process.md §5.3 '재업로드 화면' · planrows-pitstop.csv STD-MFG-055([상위:STD-ART-007] 설계만)
pitstop,반려·재요청,PS-24,재업로드 시 회차 증가+자동 재검사,시스템(무인),"업로드되면 회차(r2,r3…)가 올라가고 검사·프리플라이트가 자동 재실행",integrate,pitstop,webadmin→pitstop,webadmin,STD-MFG-056,미착수,raw/webadmin/docs/order-to-mes-process.md §5.3 '회차가 올라가고 검사·프리플라이트가 자동 재실행' · planrows-pitstop.csv STD-MFG-056
pitstop,반려·재요청,PS-25,원고 보완 대기 중 결제완료 상태 유지,시스템(무인),파일 보완 대기 동안 주문상태를 PAY_DONE으로 유지(고객 취소권 보존),build,-,-,-,STD-MFG-057,미착수,raw/webadmin/docs/order-to-mes-process.md §5.3 마지막 문단 '결제완료(PAY_DONE)로 유지' · planrows-pitstop.csv STD-MFG-057
pitstop,사람 육안 검수,PS-27,파일 확인 처리(검판 판정) 화면,운영자(CS·상품),합격·반려·사유를 기록하는 검판 판정 화면(Plan B: MES화면/수기),build,-,-,-,STD-ADO-008,미착수,print-kb/wiki/policy/order-mgmt.md#OMG-02 · planrows-pitstop.csv STD-ADO-008 — 원고 파일 승격(WA-052)은 있으나 판정 화면 없음 · 파일 검수 기준 자체(X-DEC-FILECHECK) 미확정
pitstop,사람 육안 검수,PS-29,PitStop 경고(B분기) 결과 육안 검수,운영자(CS·상품),PitStop 경고 판정 항목을 담당자가 눈으로 확인해 직접 수정하거나 C분기(재업로드 요청)로 넘긴다,manual,-,-,-,STD-ADO-008,미착수,raw/webadmin/docs/order-to-mes-process.md §5.2 B분기 '담당자 검수'·'담당자가 고치면 아무것도 안 감' · planrows-pitstop.csv STD-ADO-008(Plan B: 파일확인을 담당자 눈으로)
pitstop,반려·재요청,PS-30,담당자 발 재업로드 요청(C분기) 판단·발송,운영자(CS·상품),"애매하거나 담당자가 직접 판단해 재업로드가 필요하다고 결정한 경우, 담당자가 버튼을 눌러 알림톡을 발송한다",manual,-,-,-,STD-MFG-049,미착수,raw/webadmin/docs/order-to-mes-process.md §5.2 C분기 '담당자 판단 -> 담당자가 버튼을 눌러 알림톡' · planrows-pitstop.csv STD-MFG-049(3갈래 표) - 동일 요건의 인적 판단 슬라이스(PS-19는 로직/build)
